product_code,nombre,descripcion
11016001,VIRGEN LEV. FRESCA PAQ 500G 100A,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 0.5 kg."
40154114,MTK MARG. MASAS CJ4PILX5KG - 100A,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
11016082,VIRGEN LEV. FRESCA CJ 20 PAQ 500G 100A,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 10 kg."
11058181,CALSA LPF CLASICA CJ 4D/20FP/50G 100 A,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 4 kg."
40178014,PREMIUM MASAS LOW TRANS CJ4PILX5KG 100A,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg."
11081082,LEUDEX LEV. FRESCA CJ 20 PAQ 500G,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 10 kg."
40153114,MTK MARG. HOJAL CJ4PILX5KG- 100A,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg."
72920022,LP KOLAROMA LIMON BIDON 1 LT,"Esencias y Colorantes Calsa para panificación, línea Esencia & Color, presentación comercial de 1 l."
72401129,LP ESENCIA VAIN. BIDON 5 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 5 l."
40123015,PARATAPAS MARG. TAPAS CJ2PILX10KG,"Margarinas Calsa para panificación, línea Tapas, presentación comercial de 20 kg."
40040015,SUPER MARG. HOJ. # ** CJ2PILX10KG - 100A,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg."
72401155,LP ESENCIA VAIN. CJ 4X5 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 20 l."
72930022,LP KOLAROMA NARANJA BIDON 1 LT,"Esencias y Colorantes Calsa para panificación, línea Esencia & Color, presentación comercial de 1 l."
31316093,CALSA GRASA OLEOMARGARINA CJX20KG - 100A,"Grasas/Shortenings Calsa para panificación, línea Refinada Blanda, presentación comercial de 20 kg."
63250144,LP MEJ. FORMULA UNO CJ2X10 KG,"Mejoradores Calsa para panificación, línea Comun, presentación comercial de 20 kg."
72401021,LP ESENCIA VAIN. BIDON 2 LT,"Esencias y Colorantes Calsa para panificación, línea Esencias, presentación comercial de 2 l."
40171014,PREMIUM HOJ LOW TRANS CJ4PILX5KG - 100A,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg."
