product_code,nombre,unidad_medida,unidad_medida_desc,division,rubro,segmento,lineas_venta_2024_2026
9103847,TARJETA INVITACION NIÑOS,?,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109295,Cuchillito para pan CALSA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,174
9109316,CHOMBA BLANCA CALSA A (L),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,2
9109317,CHOMBA BLANCA CALSA A (XL),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109517,Cortaplumas Victorinox Spartan,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109519,Linterna Maglite,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109520,Llavero AGL 503,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109522,CUADERNILLO NAVIDAD 2011,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109523,VIRGEN - BANNER COLGANTE (NOV 11),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109525,LP - DIPTICO FACTURAS Y MEDIAL (DIC2011),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109530,Almanaque CALSA 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109533,LP - FLYER PAN DULCE (OCT 2011),None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109535,FLYER PROMOCION LAS MEJORES DE LA CUADRA,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109538,Tríptico Maestro Calsa 2 para panaderías,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109540,Díptico Maestro Calsa 2 FDV,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109542,Catálogo de premios Maestro Calsa 2,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109543,Banner Maestro Calsa 2,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109607,AFICHE - DIA DE LOS ENAMORADOS - 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109609,AFICHE - PASCUAS 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109610,AFICHE - DIA DEL NIÑO 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109611,AFICHE - DIA DEL AMIGO 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109612,AFICHE - FELICES FIESTAS 2012,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
9109614,Flyer Pormo Margarinas Premium,None,NULL,Participaciones publicitarias,Articulos promocionales,Productos promocionales,0
