product_code,nombre,familia_precio,presentacion_total,precio_unidad,metodo_precio,fuente_url
11016001,VIRGEN LEV. FRESCA PAQ 500G 100A,levadura_fresca,0.5 kg,5700,web_directo,https://distribuidoraalpes.com.ar/producto/levadura-prensada-virgen-x-500-grs-calsa/
32025093,PASTELGRAS GRASA CJX20KG - 100A,grasa,20 kg,129000,web_directo,https://distribuidorachichi.com.ar/productos/77-grasa-pastelgras-x-20-kg.html
40154114,MTK MARG. MASAS CJ4PILX5KG - 100A,margarina,20 kg,144800,web_directo,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/
73166030,I360 PREM. PAN DE QUESO. BOL2KG,premezcla,2 kg,21100,web_directo,https://www.distribuidorajumbalay.com.ar/levadura-premezcla-pan-de-queso-x-2-kg-calsa--det--PRM000
11016082,VIRGEN LEV. FRESCA CJ 20 PAQ 500G 100A,levadura_fresca,10 kg,108300,web_directo,https://distribuidoraalpes.com.ar/producto/levadura-prensada-virgen-x-500-grs-calsa/
11058181,CALSA LPF CLASICA CJ 4D/20FP/50G 100 A,levadura_fresca,4 kg,40800,web_extrapolado,https://distribuidoraalpes.com.ar/producto/levadura-prensada-virgen-x-500-grs-calsa/
40178014,PREMIUM MASAS LOW TRANS CJ4PILX5KG 100A,margarina,20 kg,134300,web_extrapolado,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/
11081082,LEUDEX LEV. FRESCA CJ 20 PAQ 500G,levadura_fresca,10 kg,112300,web_extrapolado,https://distribuidoraalpes.com.ar/producto/levadura-prensada-virgen-x-500-grs-calsa/
40153114,MTK MARG. HOJAL CJ4PILX5KG- 100A,margarina,20 kg,141800,web_extrapolado,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/
73166143,I360 PREM. PAN DE QUESO. CJ6X2KG,premezcla,12 kg,120100,web_directo,https://www.distribuidorajumbalay.com.ar/levadura-premezcla-pan-de-queso-x-2-kg-calsa--det--PRM000
72920022,LP KOLAROMA LIMON BIDON 1 LT,kolaroma,1 l,27400,web_extrapolado,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html
72401129,LP ESENCIA VAIN. BIDON 5 LT,esencia,5 l,15000,web_directo,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html
40123015,PARATAPAS MARG. TAPAS CJ2PILX10KG,margarina,20 kg,140200,web_extrapolado,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/
40040015,SUPER MARG. HOJ. # ** CJ2PILX10KG - 100A,margarina,20 kg,137100,web_extrapolado,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/
72401155,LP ESENCIA VAIN. CJ 4X5 LT,esencia,20 l,57000,web_directo,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html
72471156,LP ESENCIA MANTECA CJ 6X2 LT,esencia,12 l,36200,web_extrapolado,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html
72930022,LP KOLAROMA NARANJA BIDON 1 LT,kolaroma,1 l,26500,web_extrapolado,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html
72810145,LP CREMA PASTELERA CJ6X3 KG,crema,18 kg,189100,web_directo,https://marinosrl.com.ar/producto/400_crema-pastelera-calsa-(en-frio)-x-3-kg
15017082,MAURIPAN LEV. SECA MS CJ 20 PAQ 500G,levadura_seca,10 kg,234100,web_directo,https://tienda.elnuevoemporio.com.ar/tienda/otros-alimentos/levadura-seca-instantanea-mauripan-x-500gr
72471021,LP ESENCIA MANTECA BIDON 2 LT,esencia,2 l,6100,web_extrapolado,https://distribuidorachichi.com.ar/productos/73-0100100_ESENCIA-DE-VAINILLA-CALSA-X-5-L-7790813000016.html
31316093,CALSA GRASA OLEOMARGARINA CJX20KG - 100A,margarina,20 kg,144800,web_extrapolado,https://distribuidoraalpes.com.ar/categoria-producto/grasas-margarinas/
