priority,base_product_code,base_nombre,base_familia,related_product_code,related_nombre,related_familia,support_comprobantes,confidence,lift,score
1,63250144,LP MEJ. FORMULA UNO CJ2X10 KG,Mejoradores,73166143,I360 PREM. PAN DE QUESO. CJ6X2KG,Premezclas,1002,0.516761,10.899568,17.85604
2,63230490,"LP MEJ.CONC. CALSA MAX CJ 4X1,5 KG",Mejoradores,73166143,I360 PREM. PAN DE QUESO. CJ6X2KG,Premezclas,858,0.521264,10.994534,17.607684
3,72471156,LP ESENCIA MANTECA CJ 6X2 LT,Esencias y Colorantes,73166143,I360 PREM. PAN DE QUESO. CJ6X2KG,Premezclas,1067,0.485662,10.243627,16.933934
4,61010195,LP POLVO PARA HORNEAR FLOR CJ4X4 KG,Aditivos e Ingredientes,72471156,LP ESENCIA MANTECA CJ 6X2 LT,Esencias y Colorantes,764,0.485079,15.931446,16.104334
5,73164145,I360 PREM. MUFFIN VAIN. CJ6X3K,Premezclas,72471156,LP ESENCIA MANTECA CJ 6X2 LT,Esencias y Colorantes,559,0.458573,15.060885,14.509092
6,72831145,LP CREMA CHANTILLY PREMIUM CJ6X3 KG,Ingredientes de Pastelería,72471156,LP ESENCIA MANTECA CJ 6X2 LT,Esencias y Colorantes,393,0.475212,15.607359,14.200157
7,72810145,LP CREMA PASTELERA CJ6X3 KG,Ingredientes de Pastelería,63250144,LP MEJ. FORMULA UNO CJ2X10 KG,Mejoradores,834,0.381868,14.210457,12.844959
8,73180145,LP. PREM. BUDIN BASE HUM CHOCO CJ 6X3KG,Premezclas,72401155,LP ESENCIA VAIN. CJ 4X5 LT,Esencias y Colorantes,349,0.437892,14.737193,12.825713
9,73093145,LP PREM. BIZCOCHUELO VAI. CJ6X3 KG,Premezclas,72810145,LP CREMA PASTELERA CJ6X3 KG,Ingredientes de Pastelería,555,0.395018,13.05078,12.48408
10,73181145,LP. PREM. BUDIN BASE HUM VAIN CJ 6X3KG,Premezclas,63250144,LP MEJ. FORMULA UNO CJ2X10 KG,Mejoradores,514,0.397525,14.793101,12.411066
11,73044144,LP PREM. FACTURAS Y MEDIALUNAS CJ2X10 KG,Premezclas,72810145,LP CREMA PASTELERA CJ6X3 KG,Ingredientes de Pastelería,514,0.394777,13.042834,12.325276
12,73135145,LP. PREM. AKTIVO CEREALES CJ6X3 KG,Premezclas,63250144,LP MEJ. FORMULA UNO CJ2X10 KG,Mejoradores,526,0.388192,14.445783,12.164382
13,73165145,I360 PREM. CROISSANT. CJ6X3KG,Premezclas,61010195,LP POLVO PARA HORNEAR FLOR CJ4X4 KG,Aditivos e Ingredientes,369,0.406388,18.617974,12.015873
14,72818145,LP CREMA PASTELERA CJ6X3 KG 100A,Ingredientes de Pastelería,63257144,LP MEJ. FORMULA UNO CJ2X10 KG 100A,Mejoradores,156,0.46988,47.024447,11.879132
15,21010144,LP HAR. DE MALTA MALTARINA CJ2X10 KG,Aditivos e Ingredientes,72920022,LP KOLAROMA LIMON BIDON 1 LT,Esencias y Colorantes,478,0.383628,8.540893,11.838174
