product_code,lista_precios_id,precio_unidad,is_mock
11016001,1,5700.00,True
11016001,2,6555.00,True
11016001,3,5130.00,True
32025093,1,129000.00,True
32025093,2,148350.00,True
32025093,3,116100.00,True
40154114,1,144800.00,True
40154114,2,166520.00,True
40154114,3,130320.00,True
73166030,1,21100.00,True
73166030,2,24265.00,True
73166030,3,18990.00,True
11016082,1,108300.00,True
11016082,2,124545.00,True
11016082,3,97470.00,True
11058181,1,40800.00,True
11058181,2,46920.00,True
11058181,3,36720.00,True
40178014,1,134300.00,True
40178014,2,154445.00,True
40178014,3,120870.00,True
11081082,1,112300.00,True
11081082,2,129145.00,True
11081082,3,101070.00,True
40153114,1,141800.00,True
40153114,2,163070.00,True
40153114,3,127620.00,True
73166143,1,120100.00,True
73166143,2,138115.00,True
73166143,3,108090.00,True
72920022,1,27400.00,True
72920022,2,31510.00,True
72920022,3,24660.00,True
72401129,1,15000.00,True
72401129,2,17250.00,True
72401129,3,13500.00,True
40123015,1,140200.00,True
40123015,2,161230.00,True
40123015,3,126180.00,True
40040015,1,137100.00,True
40040015,2,157665.00,True
40040015,3,123390.00,True
72401155,1,57000.00,True
72401155,2,65550.00,True
72401155,3,51300.00,True
72471156,1,36200.00,True
72471156,2,41630.00,True
72471156,3,32580.00,True
72930022,1,26500.00,True
72930022,2,30475.00,True
72930022,3,23850.00,True
72810145,1,189100.00,True
72810145,2,217465.00,True
72810145,3,170190.00,True
15017082,1,234100.00,True
15017082,2,269215.00,True
15017082,3,210690.00,True
72471021,1,6100.00,True
72471021,2,7015.00,True
72471021,3,5490.00,True
31316093,1,144800.00,True
31316093,2,166520.00,True
31316093,3,130320.00,True
63250144,1,155800.00,True
63250144,2,179170.00,True
63250144,3,140220.00,True
72401021,1,5700.00,True
72401021,2,6555.00,True
72401021,3,5130.00,True
40171014,1,137800.00,True
40171014,2,158470.00,True
40171014,3,124020.00,True
40148014,1,139300.00,True
40148014,2,160195.00,True
40148014,3,125370.00,True
11057182,1,42700.00,True
11057182,2,49105.00,True
11057182,3,38430.00,True
40185014,1,130800.00,True
40185014,2,150420.00,True
40185014,3,117720.00,True
40021015,1,135100.00,True
40021015,2,155365.00,True
40021015,3,121590.00,True
72970022,1,26200.00,True
72970022,2,30130.00,True
72970022,3,23580.00,True
40017015,1,144000.00,True
40017015,2,165600.00,True
40017015,3,129600.00,True
63230490,1,47500.00,True
63230490,2,54625.00,True
63230490,3,42750.00,True
40011015,1,139500.00,True
40011015,2,160425.00,True
40011015,3,125550.00,True
40156014,1,130800.00,True
40156014,2,150420.00,True
40156014,3,117720.00,True
15112184,1,45500.00,True
15112184,2,52325.00,True
15112184,3,40950.00,True
63250042,1,82000.00,True
63250042,2,94300.00,True
63250042,3,73800.00,True
61010195,1,138900.00,True
61010195,2,159735.00,True
61010195,3,125010.00,True
64009144,1,149200.00,True
64009144,2,171580.00,True
64009144,3,134280.00,True
73732130,1,36000.00,True
73732130,2,41400.00,True
73732130,3,32400.00,True
72809160,1,130900.00,True
72809160,2,150535.00,True
72809160,3,117810.00,True
73093145,1,182300.00,True
73093145,2,209645.00,True
73093145,3,164070.00,True
40124015,1,130400.00,True
40124015,2,149960.00,True
40124015,3,117360.00,True
22015066,1,33500.00,True
22015066,2,38525.00,True
22015066,3,30150.00,True
