numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,La Parrilla del Pueblo,La Parrilla del Pueblo,598947936495,2,1,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.893077,-56.215509,true
2,Carnicería El Buen Sabor,Carnicería El Buen Sabor,598937094546,3,2,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.893116,-56.209612,true
3,Almacén de la Abuela,Almacén de la Abuela,598614621136,4,3,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.892923,-56.215724,true
4,Asadería La Tradición,Asadería La Tradición,598376743943,1,4,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.895681,-56.212097,true
5,Restaurante El Fogón,Restaurante El Fogón,598934311921,2,5,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.895917,-56.21271,true
6,Carnicería La Estancia,Carnicería La Estancia,598436720135,3,6,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.896679,-56.206549,true
7,Pinturería Color y Vida,Pinturería Color y Vida,59853931364,4,7,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.896059,-56.207288,true
8,Ferretería El Clavo,Ferretería El Clavo,598146637220,1,8,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.897424,-56.214024,true
9,Corralón La Construcción,Corralón La Construcción,598429086693,2,9,lunes,martes,"Zona ZONA NOROESTE - Villa del Cerro - Montevideo, Uruguay",Juan Pérez,0,0,-34.892331,-56.208305,true
10,Almacén El Rincón,Almacén El Rincón,598729901593,3,10,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.896846,-56.19384,true
11,Parrilla El Asador,Parrilla El Asador,598837105773,4,11,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.891108,-56.189229,true
12,Carnicería La Casa del Chorizo,Carnicería La Casa del Chorizo,598165197212,1,12,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.897308,-56.186317,true
13,Pinturería El Colorín,Pinturería El Colorín,598620615887,2,13,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.893585,-56.194991,true
14,Ferretería El Martillo,Ferretería El Martillo,598738695054,3,14,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.896877,-56.191565,true
15,Corralón El Material,Corralón El Material,598657131510,4,15,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.898351,-56.186862,true
16,Almacén La Esquina,Almacén La Esquina,59849559358,1,16,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.893249,-56.195433,true
17,Asadería El Sabor,Asadería El Sabor,598572456995,2,17,martes,miercoles,"Zona ZONA NORTE - La Teja - Montevideo, Uruguay",María González,1,1,-34.89632,-56.192982,true
