pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Parrilla El Asador,2026-03-01 08:00:00,confirmado,363553.90,Pedido historico mock - Parrilla El Asador,true,false,2
P-00002,25001,5493587905250,Parrilla El Asador,2026-03-18 09:19:07,entregado,155180.00,Pedido historico mock - Parrilla El Asador,true,false,2
P-00003,25001,5493587905250,Parrilla El Asador,2026-04-04 10:38:14,facturado,75000.00,Pedido historico mock - Parrilla El Asador,true,false,2
P-00004,25002,5493582641213,Carnicería La Tradición,2026-03-08 11:11:23,entregado,498600.00,Pedido historico mock - Carnicería La Tradición,true,false,3
P-00005,25002,5493582641213,Carnicería La Tradición,2026-03-25 12:30:30,facturado,186620.00,Pedido historico mock - Carnicería La Tradición,true,false,3
P-00006,25002,5493582641213,Carnicería La Tradición,2026-04-11 13:49:37,confirmado,199900.00,Pedido historico mock - Carnicería La Tradición,true,false,3
P-00007,25003,5492991227644,Asadería Don Carlos,2026-03-15 14:22:46,facturado,41700.00,Pedido historico mock - Asadería Don Carlos,true,false,4
P-00008,25003,5492991227644,Asadería Don Carlos,2026-04-01 15:41:53,confirmado,156000.00,Pedido historico mock - Asadería Don Carlos,true,false,4
P-00009,25003,5492991227644,Asadería Don Carlos,2026-04-18 16:00:00,entregado,102258.88,Pedido historico mock - Asadería Don Carlos,true,false,4
P-00010,25004,5493418277249,Restaurante La Parrilla,2026-03-22 17:33:09,confirmado,127490.00,Pedido historico mock - Restaurante La Parrilla,true,false,1
P-00011,25004,5493418277249,Restaurante La Parrilla,2026-04-08 08:52:16,entregado,303730.00,Pedido historico mock - Restaurante La Parrilla,true,false,1
P-00012,25004,5493418277249,Restaurante La Parrilla,2026-04-25 09:11:23,facturado,852600.00,Pedido historico mock - Restaurante La Parrilla,true,false,1
P-00013,25005,5493587747641,Almacén del Sabor,2026-03-29 10:44:32,entregado,14595.20,Pedido historico mock - Almacén del Sabor,true,false,2
P-00014,25005,5493587747641,Almacén del Sabor,2026-04-15 11:03:39,facturado,1306000.00,Pedido historico mock - Almacén del Sabor,true,false,2
P-00015,25005,5493587747641,Almacén del Sabor,2026-05-02 12:22:46,confirmado,318480.00,Pedido historico mock - Almacén del Sabor,true,false,2
P-00016,25006,5492614053074,Carnicería El Buen Corte,2026-04-05 13:55:55,facturado,134500.00,Pedido historico mock - Carnicería El Buen Corte,true,false,3
P-00017,25006,5492614053074,Carnicería El Buen Corte,2026-04-22 14:14:02,confirmado,90000.00,Pedido historico mock - Carnicería El Buen Corte,true,false,3
P-00018,25006,5492614053074,Carnicería El Buen Corte,2026-05-09 15:33:09,entregado,251311.68,Pedido historico mock - Carnicería El Buen Corte,true,false,3
P-00019,25007,5493514079279,Parrilla La Estancia,2026-04-12 16:06:18,confirmado,332730.00,Pedido historico mock - Parrilla La Estancia,true,false,4
P-00020,25007,5493514079279,Parrilla La Estancia,2026-04-29 17:25:25,entregado,187570.00,Pedido historico mock - Parrilla La Estancia,true,false,4
P-00021,25007,5493514079279,Parrilla La Estancia,2026-05-16 08:44:32,facturado,21160.00,Pedido historico mock - Parrilla La Estancia,true,false,4
P-00022,25008,5493876914178,Asadería La Abuela,2026-04-19 09:17:41,entregado,30000.00,Pedido historico mock - Asadería La Abuela,true,false,1
P-00023,25008,5493876914178,Asadería La Abuela,2026-05-06 10:36:48,facturado,222123.73,Pedido historico mock - Asadería La Abuela,true,false,1
P-00024,25008,5493876914178,Asadería La Abuela,2026-05-23 11:55:55,confirmado,73500.00,Pedido historico mock - Asadería La Abuela,true,false,1
P-00025,25009,5492617175545,Carnicería El Rancho,2026-04-26 12:28:04,facturado,121900.00,Pedido historico mock - Carnicería El Rancho,true,false,2
P-00026,25009,5492617175545,Carnicería El Rancho,2026-05-13 13:47:11,confirmado,205000.00,Pedido historico mock - Carnicería El Rancho,true,false,2
