codigo,codigo_secundario,descripcion_larga,division,rubro,um_ventas,cant_minima_venta,um_compras,um_precio_sugerido,bu_un,bu_di,di_un,un_bu,hi_bu,pa_hi,pa_bu
0003,0003,CAJAS NAVIDAD GRANDE,GOLOSINAS,DIV.GOLOSINAS,UN,0,BU,UN,25,25,1,0.04,1,1,1
0044,0044,HELADO SPACE FRUTILLA 36 * 65,CHOCOLATES,HELADOS,BU,0,BU,UN,36,36,1,0.027777778,1,,1
0046,0046,SPACE FRUT/BANAN/MANZ.36X65 CC,CHOCOLATES,HELADOS,BU,0,BU,UN,36,36,1,0.027777778,1,,1
0066,0066,TAB BAÑO LE HE.KITTY,CHOCOLATES,DIV. CHOCOLATES,DI,1,BU,DI,800,20,40,0.00125,7,7,49
0080,0080,301 - MER.CIRUELA LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0081,0081,302 - MER.DAMASCO LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0082,0082,303 - MER.DURAZNO LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0083,0083,305 - MER.FRUTILLA LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0084,0084,311 - MER.NARANJA LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0085,0085,312 - MER.TOMATE LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0086,0086,306 - MER.KIWI LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0087,0087,309 - MER.HIGO LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0088,0088,304 - MER.FRAMBUESA LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0089,0089,307 - MER.ARANDANO LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0090,0090,308 - MER.GROSELLA LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0102,0102,SUGUS MAX ANANA 12X70X7.5g.,GOLOSINAS,DIV.GOLOSINAS LIA ESTIRENOS,DI,1,BU,UN,840,12,70,0.001190476,10,11,110
0104,0104,SUGUS MAX FRUTILLA 1,GOLOSINAS,DIV.GOLOSINAS LIA ESTIRENOS,DI,1,BU,UN,840,12,70,0.001190476,10,11,110
0105,0105,SUGUS MAX TUT.FRUTTI 12X70X7.5,GOLOSINAS,DIV.GOLOSINAS LIA ESTIRENOS,DI,1,BU,UN,840,12,70,0.001190476,10,11,110
0118,0118,MERM. PERA Y MARACUYA BC * 390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.0833333,1,,1
0123,0123,MERM. POMELO/KIWI BC * 390 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,140
0124,0124,CONFITURA BC MZA. VDE./ MELI.,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0125,0125,MERM. FRUT/MORA/CASIS BC * 390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,140
0127,0127,MERM. MAND/BANANA C/JENGIBRE *,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0128,0128,MERM.MZANA.C/PASASyCAN.12X454g,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0129,0129,MERM.ARAND/DUR.C/PECANS 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0134,0134,MERM. MANGO Y MANZANA BC * 3,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.0833333,1,,1
0135,0135,CONFITURA BC FRUT./NAR./GUAR.,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0141,0141,314 - MER.MORA LC 6X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,6,6,1,0.166666667,1,,1
0145,0145,B.TOFF CHOKKO MINT 36X150G,GOLOSINAS,DIV.GOLOSINAS,DI,0,BU,DI,756,36,21,0.00132275,10,8,80
0146,0146,329 - MER.NARANJA LC 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0147,0147,(355)MERM. TOMATES * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,126
0148,0148,332 - MERMELADA KIWI 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0149,0149,335 - MERMELADA HIGO 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0150,0150,(325)MERM. FRAMBUESA * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,126
0151,0151,(333)MERM. ARANDANO LC * 454 G,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,126
0152,0152,334 - MER.GROSELLA 12X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0153,0153,(372)MERM. MORA * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0154,0154,(410)MERM. CIRUELA * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,7,,63
0155,0155,(415)MERM. DAMASCOS * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,7,,63
0156,0156,(420)MERM. DURAZNOS * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,7,,63
0157,0157,(430)MERM. FRUTILLA * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,7,,63
0160,0160,(445)MERM. NARANJAS * 454 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,7,,63
0161,0161,455 - MER.TOMATES 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0162,0162,432 - MERMELADA KIWI 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0163,0163,435 - MER. HIGOS 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0164,0164,425 - MER. FRAMBUESA 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0165,0165,433 - MER.BLUEBERRY 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0166,0166,434 - MDA GROSELLA LC 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0167,0167,472 - MERM. MORA LC 24X454,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0168,0168,411 - MER. CIRUELAS 12X908,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0169,0169,416 - MER. DAMASCOS 12X908,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0170,0170,421 - MER. DURAZNO 12X908,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0171,0171,431 - M.FRUTILLAS EXP 12X908,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0172,0172,446 - M.NARANJAS EXP.12X908,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0173,0173,401 - NARIZ DE PAYASO (12X2),ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0174,0174,363 - MER.NARANJA BC 24X180,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,24,24,1,0.041666667,1,,1
0179,0179,397 - M.FRUTILLAS BC 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
0181,0181,(386)MERM. TOMATE BC * 390 GRS,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,14,,140
0182,0182,389 - MER KIWI BC 12X390,ALIMENTOS,COMESTIBLES LA CAMPAGNOLA,UN,0,BU,UN,12,12,1,0.083333333,1,,1
