product_code,umv_tipo,unidades_por_display,displays_por_bulto,unidades_por_bulto,cantidad_minima_de_venta,regla,estado
10297,display,,12,12,1,precio_DI,actualizado
10298,display,,12,12,1,precio_DI,actualizado
10885,display,69,12,12,1,precio_DI,actualizado
11807,display,60,6,6,1,precio_DI,actualizado
11827,display,135,6,6,1,precio_DI,actualizado
11828,display,135,6,6,1,precio_DI,actualizado
11829,display,67,12,12,1,precio_DI,actualizado
11834,display,180,6,6,1,precio_DI,actualizado
11835,display,90,12,12,1,precio_DI,actualizado
11857,display,150,6,6,1,precio_DI,actualizado
11858,display,137,6,6,1,precio_DI,actualizado
11860,display,180,6,6,1,precio_DI,actualizado
11878,display,135,6,6,1,precio_DI,actualizado
11883,display,137,6,6,1,precio_DI,actualizado
11884,display,137,6,6,1,precio_DI,actualizado
11885,display,137,6,6,1,precio_DI,actualizado
11886,display,137,6,6,1,precio_DI,actualizado
11887,display,137,6,6,1,precio_DI,actualizado
11912,display,17,24,24,1,precio_DI,actualizado
12279,display,242,10,10,1,precio_DI,actualizado
12559,display,60,6,6,1,precio_DI,actualizado
12560,display,28,12,12,1,precio_DI,actualizado
12567,display,28,12,12,1,precio_DI,actualizado
12568,display,28,12,12,1,precio_DI,actualizado
12682,display,,12,12,1,precio_DI,actualizado
12852,display,400,10,10,1,precio_DI,actualizado
13393,display,50,12,12,1,precio_DI,actualizado
13420,display,23,36,36,1,precio_DI,actualizado
13424,display,20,36,36,1,precio_DI,actualizado
13607,display,,12,12,1,precio_DI,actualizado
13648,display,80,12,12,1,precio_DI,actualizado
13650,display,80,12,12,1,precio_DI,actualizado
13784,display,,12,12,1,precio_DI,actualizado
13902,display,135,6,6,1,precio_DI,actualizado
14261,display,6,12,12,1,precio_DI,actualizado
14369,display,8,16,16,1,precio_DI,actualizado
14392,display,,12,12,1,precio_DI,actualizado
14719,display,22,36,36,1,precio_DI,actualizado
14720,display,150,6,6,1,precio_DI,actualizado
14736,display,135,6,6,1,precio_DI,actualizado
14737,display,23,36,36,1,precio_DI,actualizado
4942,display,,12,12,1,precio_DI,actualizado
10057,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
1009,unidad,24,12,288,1,precio_UN,actualizado
10131,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
10204,unidad,,,22,1,precio_UN,actualizado
1042,unidad,50,24,1200,50,precio_UN_venta_DI,actualizado
10798,unidad,15,24,360,15,precio_UN_venta_DI,actualizado
10918,unidad,16,36,576,16,precio_UN_venta_DI,actualizado
1104,unidad,160,6,960,160,precio_UN_venta_DI,actualizado
11554,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
11585,unidad,24,8,192,1,precio_UN,actualizado
11599,unidad,16,12,192,16,precio_UN_venta_DI,actualizado
11612,unidad,50,4,200,25,precio_UN,actualizado
12100,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
12101,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
12102,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
12756,unidad,6,12,72,72,precio_BU_como_unidad_min_bulto,actualizado
12757,unidad,6,12,72,72,precio_BU_como_unidad_min_bulto,actualizado
13011,unidad,10,12,120,10,precio_UN_venta_DI,actualizado
13056,unidad,16,20,320,16,precio_UN_venta_DI,actualizado
13110,unidad,210,6,1260,210,precio_UN_venta_DI,actualizado
13137,unidad,,,24,1,precio_UN,actualizado
13295,unidad,3,10,30,3,precio_UN_venta_DI,actualizado
13335,unidad,12,8,96,12,precio_UN_venta_DI,actualizado
13346,unidad,20,4,80,1,precio_UN,actualizado
13347,unidad,3,12,36,36,precio_BU_como_unidad_min_bulto,actualizado
13409,unidad,108,8,864,108,precio_UN_venta_DI,actualizado
13620,unidad,20,30,600,20,precio_UN_venta_DI,actualizado
13710,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
13711,unidad,30,36,1080,30,precio_UN_venta_DI,actualizado
13712,unidad,,,36,1,precio_UN,actualizado
13797,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
13956,unidad,,,24,1,precio_UN,actualizado
13987,unidad,12,20,240,12,precio_UN_venta_DI,actualizado
13998,unidad,8,8,64,1,precio_UN,actualizado
14047,unidad,,,6,1,precio_UN,actualizado
14048,unidad,24,6,144,24,precio_UN_venta_DI,actualizado
14155,unidad,12,24,288,12,precio_UN_venta_DI,actualizado
14156,unidad,12,24,288,12,precio_UN_venta_DI,actualizado
14230,unidad,20,24,480,20,precio_UN_venta_DI,actualizado
14248,unidad,,,30,1,precio_UN,actualizado
14250,unidad,,,30,1,precio_UN,actualizado
14252,unidad,,,30,1,precio_UN,actualizado
14363,unidad,6,16,96,6,precio_UN_venta_DI,actualizado
14377,unidad,,,27,1,precio_UN,actualizado
14378,unidad,,,27,1,precio_UN,actualizado
14380,unidad,,,27,1,precio_UN,actualizado
14381,unidad,,,36,1,precio_UN,actualizado
14382,unidad,,,36,1,precio_UN,actualizado
14429,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14430,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14431,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14432,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14433,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14434,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14435,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14436,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14437,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14439,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14440,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14441,unidad,18,12,216,18,precio_UN_venta_DI,actualizado
14443,unidad,18,16,288,18,precio_UN_venta_DI,actualizado
14444,unidad,18,16,288,18,precio_UN_venta_DI,actualizado
14473,unidad,16,20,320,16,precio_UN_venta_DI,actualizado
14675,unidad,16,20,320,16,precio_UN_venta_DI,actualizado
14677,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
14727,unidad,6,10,60,6,precio_UN_venta_DI,actualizado
14740,unidad,16,12,192,1,precio_UN,actualizado
14782,unidad,,,12,1,precio_UN,actualizado
14790,unidad,6,12,72,6,precio_UN_venta_DI,actualizado
14820,unidad,,,6,1,precio_UN,actualizado
14830,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
14873,unidad,10,12,120,10,precio_UN_venta_DI,actualizado
14883,unidad,6,8,48,6,precio_UN_venta_DI,actualizado
14887,unidad,,,12,1,precio_UN,actualizado
14888,unidad,,,6,1,precio_UN,actualizado
14900,unidad,,,6,1,precio_UN,actualizado
14904,unidad,48,12,576,48,precio_UN_venta_DI,actualizado
14993,unidad,10,24,240,10,precio_UN_venta_DI,actualizado
14999,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
15004,unidad,50,4,200,25,precio_UN,actualizado
15017,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
15019,unidad,12,12,144,12,precio_UN_venta_DI,actualizado
15023,unidad,,,24,1,precio_UN,actualizado
15024,unidad,24,24,576,1,precio_UN,actualizado
15027,unidad,3,12,36,3,precio_UN_venta_DI,actualizado
15052,unidad,20,24,480,20,precio_UN_venta_DI,actualizado
15063,unidad,16,12,192,16,precio_UN_venta_DI,actualizado
15065,unidad,16,12,192,4,precio_UN,actualizado
15070,unidad,8,12,96,4,precio_UN,actualizado
15073,unidad,18,12,216,3,precio_UN,actualizado
15074,unidad,8,12,96,8,precio_UN_venta_DI,actualizado
15075,unidad,10,12,120,1,precio_UN,actualizado
15089,unidad,10,12,120,10,precio_UN_venta_DI,actualizado
15110,unidad,24,6,144,24,precio_UN_venta_DI,actualizado
15111,unidad,24,24,576,24,precio_UN_venta_DI,actualizado
15112,unidad,24,24,576,24,precio_UN_venta_DI,actualizado
15116,unidad,20,10,200,20,precio_UN_venta_DI,actualizado
15117,unidad,20,10,200,20,precio_UN_venta_DI,actualizado
15119,unidad,,,12,1,precio_UN,actualizado
