product_code,umv_tipo,unidades_por_display,displays_por_bulto,unidades_por_bulto,accion,estado
0236,unidad,,,12,cargar_packing_desde_nombre,actualizado
0241,unidad,12,2,24,cargar_packing_desde_nombre,actualizado
0296,unidad,,,12,cargar_packing_desde_nombre,actualizado
0560,unidad,,,30,cargar_packing_desde_nombre,actualizado
0606,unidad,,,36,cargar_packing_desde_nombre,actualizado
0936,unidad,,,24,cargar_packing_desde_nombre,actualizado
0942,unidad,,,24,cargar_packing_desde_nombre,actualizado
0945,unidad,,,24,cargar_packing_desde_nombre,actualizado
0956,unidad,,,24,cargar_packing_desde_nombre,actualizado
0958,unidad,,,24,cargar_packing_desde_nombre,actualizado
10033,unidad,,,28,cargar_packing_desde_nombre,actualizado
10044,unidad,,,12,cargar_packing_desde_nombre,actualizado
10053,unidad,,,30,cargar_packing_desde_nombre,actualizado
10054,unidad,,,36,cargar_packing_desde_nombre,actualizado
10096,unidad,,,4,cargar_packing_desde_nombre,actualizado
10097,unidad,,,4,cargar_packing_desde_nombre,actualizado
10105,unidad,,,6,cargar_packing_desde_nombre,actualizado
10110,unidad,,,36,cargar_packing_desde_nombre,actualizado
10113,unidad,,,12,cargar_packing_desde_nombre,actualizado
10136,unidad,,,12,cargar_packing_desde_nombre,actualizado
10145,unidad,,,24,cargar_packing_desde_nombre,actualizado
10170,unidad,,,40,cargar_packing_desde_nombre,actualizado
10171,unidad,,,25,cargar_packing_desde_nombre,actualizado
10191,unidad,,,120,cargar_packing_desde_nombre,actualizado
10194,unidad,,,120,cargar_packing_desde_nombre,actualizado
10197,unidad,,,36,cargar_packing_desde_nombre,actualizado
10205,unidad,,,47,cargar_packing_desde_nombre,actualizado
10206,unidad,,,20,cargar_packing_desde_nombre,actualizado
10209,unidad,,,47,cargar_packing_desde_nombre,actualizado
10211,unidad,,,44,cargar_packing_desde_nombre,actualizado
10215,unidad,,,44,cargar_packing_desde_nombre,actualizado
10217,unidad,,,44,cargar_packing_desde_nombre,actualizado
10235,unidad,,,8,cargar_packing_desde_nombre,actualizado
10239,unidad,,,12,cargar_packing_desde_nombre,actualizado
10269,unidad,,,40,cargar_packing_desde_nombre,actualizado
10275,unidad,,,18,cargar_packing_desde_nombre,actualizado
10282,unidad,,,12,cargar_packing_desde_nombre,actualizado
10292,unidad,,,48,cargar_packing_desde_nombre,actualizado
10297,display,3,12,12,cargar_packing_desde_nombre,actualizado
10298,display,3,12,12,cargar_packing_desde_nombre,actualizado
10299,unidad,,,12,cargar_packing_desde_nombre,actualizado
10306,unidad,,,30,cargar_packing_desde_nombre,actualizado
10313,unidad,,,10,cargar_packing_desde_nombre,actualizado
10314,unidad,,,24,cargar_packing_desde_nombre,actualizado
10315,unidad,,,24,cargar_packing_desde_nombre,actualizado
10323,unidad,,,6,cargar_packing_desde_nombre,actualizado
10324,unidad,,,36,cargar_packing_desde_nombre,actualizado
10334,unidad,14,6,84,cargar_packing_desde_nombre,actualizado
10335,unidad,14,6,84,cargar_packing_desde_nombre,actualizado
10349,unidad,10,12,120,cargar_packing_desde_nombre,actualizado
10355,unidad,16,4,64,cargar_packing_desde_nombre,actualizado
10356,unidad,16,4,64,cargar_packing_desde_nombre,actualizado
10357,unidad,16,4,64,cargar_packing_desde_nombre,actualizado
10359,unidad,16,4,64,cargar_packing_desde_nombre,actualizado
10360,unidad,16,4,64,cargar_packing_desde_nombre,actualizado
10367,unidad,10,8,80,cargar_packing_desde_nombre,actualizado
10369,unidad,10,8,80,cargar_packing_desde_nombre,actualizado
10370,unidad,10,8,80,cargar_packing_desde_nombre,actualizado
10393,unidad,10,12,120,cargar_packing_desde_nombre,actualizado
10397,unidad,,,8,cargar_packing_desde_nombre,actualizado
10427,unidad,,,12,cargar_packing_desde_nombre,actualizado
10428,unidad,,,12,cargar_packing_desde_nombre,actualizado
10431,unidad,,,12,cargar_packing_desde_nombre,actualizado
10443,unidad,,,18,cargar_packing_desde_nombre,actualizado
10485,unidad,,,8,cargar_packing_desde_nombre,actualizado
10487,unidad,,,12,cargar_packing_desde_nombre,actualizado
10496,unidad,,,12,cargar_packing_desde_nombre,actualizado
10497,unidad,,,12,cargar_packing_desde_nombre,actualizado
10498,unidad,,,8,cargar_packing_desde_nombre,actualizado
10506,unidad,,,12,cargar_packing_desde_nombre,actualizado
10507,unidad,,,12,cargar_packing_desde_nombre,actualizado
10508,unidad,,,12,cargar_packing_desde_nombre,actualizado
10509,unidad,,,12,cargar_packing_desde_nombre,actualizado
10510,unidad,,,12,cargar_packing_desde_nombre,actualizado
10511,unidad,,,12,cargar_packing_desde_nombre,actualizado
10512,unidad,,,12,cargar_packing_desde_nombre,actualizado
10513,unidad,,,12,cargar_packing_desde_nombre,actualizado
10514,unidad,,,12,cargar_packing_desde_nombre,actualizado
10515,unidad,,,12,cargar_packing_desde_nombre,actualizado
10516,unidad,,,12,cargar_packing_desde_nombre,actualizado
10517,unidad,,,12,cargar_packing_desde_nombre,actualizado
10518,unidad,,,12,cargar_packing_desde_nombre,actualizado
10519,unidad,,,12,cargar_packing_desde_nombre,actualizado
10520,unidad,,,12,cargar_packing_desde_nombre,actualizado
10521,unidad,,,12,cargar_packing_desde_nombre,actualizado
10522,unidad,,,12,cargar_packing_desde_nombre,actualizado
10523,unidad,,,12,cargar_packing_desde_nombre,actualizado
10524,unidad,,,12,cargar_packing_desde_nombre,actualizado
10525,unidad,,,12,cargar_packing_desde_nombre,actualizado
10526,unidad,,,12,cargar_packing_desde_nombre,actualizado
10527,unidad,,,12,cargar_packing_desde_nombre,actualizado
10528,unidad,,,12,cargar_packing_desde_nombre,actualizado
10529,unidad,,,12,cargar_packing_desde_nombre,actualizado
10532,unidad,,,6,cargar_packing_desde_nombre,actualizado
10538,unidad,,,24,cargar_packing_desde_nombre,actualizado
10540,unidad,,,24,cargar_packing_desde_nombre,actualizado
10541,unidad,,,24,cargar_packing_desde_nombre,actualizado
10544,unidad,,,6,cargar_packing_desde_nombre,actualizado
10559,unidad,,,24,cargar_packing_desde_nombre,actualizado
10568,unidad,,,12,cargar_packing_desde_nombre,actualizado
10569,unidad,,,12,cargar_packing_desde_nombre,actualizado
10570,unidad,,,12,cargar_packing_desde_nombre,actualizado
10571,unidad,,,12,cargar_packing_desde_nombre,actualizado
10572,unidad,,,12,cargar_packing_desde_nombre,actualizado
10579,unidad,,,30,cargar_packing_desde_nombre,actualizado
10580,unidad,,,22,cargar_packing_desde_nombre,actualizado
10585,unidad,12,4,48,cargar_packing_desde_nombre,actualizado
10586,unidad,12,4,48,cargar_packing_desde_nombre,actualizado
10632,unidad,,,30,cargar_packing_desde_nombre,actualizado
10634,unidad,,,30,cargar_packing_desde_nombre,actualizado
10657,unidad,,,12,cargar_packing_desde_nombre,actualizado
10661,unidad,,,12,cargar_packing_desde_nombre,actualizado
10662,unidad,,,12,cargar_packing_desde_nombre,actualizado
10666,unidad,,,12,cargar_packing_desde_nombre,actualizado
10691,unidad,,,6,cargar_packing_desde_nombre,actualizado
10718,unidad,,,12,cargar_packing_desde_nombre,actualizado
10731,unidad,,,18,cargar_packing_desde_nombre,actualizado
10736,unidad,,,6,cargar_packing_desde_nombre,actualizado
10771,unidad,16,4,64,cargar_packing_desde_nombre,actualizado
10783,unidad,,,25,cargar_packing_desde_nombre,actualizado
10808,unidad,,,12,cargar_packing_desde_nombre,actualizado
10811,unidad,,,30,cargar_packing_desde_nombre,actualizado
10819,unidad,,,16,cargar_packing_desde_nombre,actualizado
10820,unidad,20,15,300,cargar_packing_desde_nombre,actualizado
