base_product_code,related_product_code,reason,is_mock
1002,10057,Opta por un formato más grande de chocolate para disfrutar más.,true
10128,10130,Elige el caramelo más grande para un sabor más intenso.,true
10130,10131,Prueba el caramelo con miel para un toque más dulce.,true
10301,10302,El ketchup picante es una opción superior para los amantes del sabor.,true
10600,10604,Opta por el jugo de manzana en formato más grande para disfrutar más.,true
10610,10606,Elige el formato más grande de bebida para compartir.,true
10747,10763,Prueba el formato más grande de Rocklets para disfrutar más.,true
11240,11257,Elige un helado de gelato en formato más grande para compartir.,true
11584,11587,Opta por la barra de chocolate más grande para disfrutar más.,true
4013,10620,"Subí el ticket con maní con chocolate Arcor, formato mayor para kiosco.",true
