schema,product_code,nombre,ratio,tokin_ref,tokin_name,tokin_brand,image_url,src_norm,tok_norm
almaro,964798,BROWNIE CHIPS SABEBIEN! 62GR,0.857,BIM-706964798,Brownie Chips SabeBien 62gr.,SabeBien,https://tokin.vtexassets.com/arquivos/ids/278011/23cd93c1-f7b1-4ae7-8b45-e4d8c6abb90d.jpg?v=638931891313800000,brownie chips sabebien 62gr,brownie chips sabebien 62gr sabebien
almaro,9964,ALFAJOR B&N BLANCO 36X50G,0.851,ARC-1014118,Alfajor B&N blanco 50gr.,BYN,https://tokin.vtexassets.com/arquivos/ids/240226/1014118-detail.jpg?v=638715054361770000,alfajor b n blanco g,alfajor b n blanco 50gr byn
almaro,715PT0200105,Yerba Mate ROJO Tradicional 1k,0.845,MOL-715PT0200105,Yerba Mate Rojo Tradicional 1kg.,Mate Rojo,https://tokin.vtexassets.com/arquivos/ids/224030/Mate-Rojo-tradicional-1Kg.jpg?v=638599287248130000,yerba mate rojo tradicional 1k,yerba mate rojo tradicional 1kg mate rojo
almaro,12955,CEREALES BAGLEY SALVAD.36X169G,0.842,ARC-1013624,Cereales Bagley Salvado 3x169gr.,Bagley,https://tokin.vtexassets.com/arquivos/ids/166390/1013624detail.jpg?v=638242584685730000,cereales bagley salvad g,cereales bagley salvado gr bagley
almaro,710SHKPTCLA00,Encendedor Shark,0.842,BUH-710SHKPTCLA00,Encendedor Shark,Shark,https://tokin.vtexassets.com/arquivos/ids/212395/SHARK-20X25.jpg?v=638518893423600000,encendedor shark,encendedor shark shark
almaro,11236,GELATINA FRUTILLA BC,0.833,ARC-1011098,Gelatina BC frutilla 20gr.,BC,https://tokin.vtexassets.com/arquivos/ids/155602/1011098_detail.jpg?v=637813042338630000,gelatina frutilla bc,gelatina bc frutilla 20gr bc
almaro,10529,JALEA MEMBRILLO BC 12X390GR,0.824,ARC-1013161,Jalea de Membrillo BC 390gr.,BC,https://tokin.vtexassets.com/arquivos/ids/166793/1013161detail.jpg?v=638242587781330000,jalea membrillo bc gr,jalea de membrillo bc 390gr bc
almaro,701562,Edulcorante Clasico LIV 12x100,0.821,CAB-701566,Edulcorante Liv Clásico 200ml.,LIV,https://tokin.vtexassets.com/arquivos/ids/187570/CAB-701566--Edulcorante-Liv-Clasico-Liq-200ml.jpg?v=638392938505530000,edulcorante clasico liv,edulcorante liv clasico 200ml liv
almaro,10854,MOGUL CONITOS 4X1KG,0.821,ARC-1003113,Mogul Conitos 1kg.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174945/1003113detail.jpg?v=638303119823400000,mogul conitos kg,mogul conitos 1kg mogul
almaro,13128,DULCE DE MEMBRILLO LC 1X5KG,0.821,ARC-1006710,Dulce de Membrillo Noel 5kg.,Noel,https://tokin.vtexassets.com/arquivos/ids/262407/8beab248-c8f1-48cf-acff-a14429c0ba7f.jpg?v=638863921482930000,dulce de membrillo lc kg,dulce de membrillo noel 5kg noel
almaro,13398,MOGUL DIENTES (10%GR,0.818,ARC-1002596,Mogul Dientes 150gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174936/1002596detail.jpg?v=638303046953330000,mogul dientes 10 gr,mogul dientes 150gr mogul
almaro,2845,VAINILLA VALENTE 148 GR,0.815,BIM-7062845,Vainillas Valente 148gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/159868/7793890252880_detail.jpg?v=637935149668670000,vainilla valente 148 gr,vainillas valente 148gr valente
almaro,12371,CEREALES BAGLEY AVENA 30X155G,0.807,ARC-1013691,Cereales Bagley avena 155gr.,Bagley,https://tokin.vtexassets.com/arquivos/ids/166351/1013691detail.jpg?v=638242584548030000,cereales bagley avena g,cereales bagley avena 155gr bagley
almaro,6387,GELATINA LIGHT FRUTILLA * 30 G,0.806,ARC-1011093,Gelatina Godet frutilla 30gr.,Godet,https://tokin.vtexassets.com/arquivos/ids/155608/1011093_detail.jpg?v=637813042357570000,gelatina light frutilla 30 g,gelatina godet frutilla 30gr godet
almaro,502520,PURE DE TOMATE 520GR,0.8,ARC-1000299,Puré de tomate LC 520 gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/175554/1000299detail.jpg?v=638308262805100000,pure de tomate 520gr,pure de tomate lc 520 gr arcor
almaro,12778,POSTRE.BC.CHOCOLATE.6X8X60GR,0.8,ARC-1013194,Postre Light BC chocolate 60gr.,BC,https://tokin.vtexassets.com/arquivos/ids/175430/1013194detail.jpg?v=638307289433070000,postre bc chocolate gr,postre light bc chocolate 60gr bc
almaro,13129,DULCE DE BATATA LC 1X5 KG,0.8,ARC-1006630,Dulce de Batata Noel 5kg.,Noel,https://tokin.vtexassets.com/arquivos/ids/277320/46ead32e-bd51-47cc-9282-04b05d134321.jpg?v=638930302253370000,dulce de batata lc kg,dulce de batata noel 5kg noel
almaro,502501,PURE DE TOMATE 520GR,0.8,ARC-1000299,Puré de tomate LC 520 gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/175554/1000299detail.jpg?v=638308262805100000,pure de tomate 520gr,pure de tomate lc 520 gr arcor
almaro,12388,MOGUL EUCALIPTUS 12X10X50G,0.8,ARC-1013011,Mogul Eucaliptus 50gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/166604/1013011detail.jpg?v=638242587127430000,mogul eucaliptus g,mogul eucaliptus 50gr mogul
almaro,3954,HELADO BARRITA AGUILA 24 * 49,0.8,ARC-1011896,Helado Barrita Águila 34gr.,Águila,https://tokin.vtexassets.com/arquivos/ids/165192/1011896detail.jpg?v=638242574356500000,helado barrita aguila 24 49,helado barrita aguila 34gr aguila
almaro,6138,ALFAJOR BON-O-BON BLANCO 16X6X40G,0.8,ARC-1004305,Alfajor Bon o Bon blanco 40gr.,Bon o Bon,https://tokin.vtexassets.com/arquivos/ids/164879/1004305detail.jpg?v=638242547528830000,alfajor bon o bon blanco g,alfajor bon o bon blanco 40gr bon o bon
almaro,12776,POSTRE.BC.VAINILLA.6X8X50GR,0.792,ARC-1013192,Postre Light BC vainilla 50gr.,BC,https://tokin.vtexassets.com/arquivos/ids/175436/1013192detail.jpg?v=638307299587970000,postre bc vainilla gr,postre light bc vainilla 50gr bc
almaro,10178,MOGUL ANILLOS 4 X 1K,0.789,ARC-1003096,Mogul Anillos 1kg.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174944/1003096detail.jpg?v=638303115688730000,mogul anillos k,mogul anillos 1kg mogul
almaro,715PT0200103,Yerba Mate ROJO Tradicional 50,0.789,MOL-715PT0200105,Yerba Mate Rojo Tradicional 1kg.,Mate Rojo,https://tokin.vtexassets.com/arquivos/ids/224030/Mate-Rojo-tradicional-1Kg.jpg?v=638599287248130000,yerba mate rojo tradicional 50,yerba mate rojo tradicional 1kg mate rojo
almaro,715PT0100105,Yerba Mate ROJO Selección E 1kg,0.785,MOL-715PT0100105,Yerba Mate Rojo Selección Especial 1kg.,Mate Rojo,https://tokin.vtexassets.com/arquivos/ids/224026/Mate-Rojo-Especial-1Kg.jpg?v=638599281391530000,yerba mate rojo seleccion e 1kg,yerba mate rojo seleccion especial 1kg mate rojo
almaro,10511,MERMELADA DURAZNO LC 12X390,0.776,ARC-1010520,Mermelada BC durazno 390gr.,BC,https://tokin.vtexassets.com/arquivos/ids/167152/1010520detail.jpg?v=638242590182330000,mermelada durazno lc,mermelada bc durazno 390gr bc
almaro,12741,SALADIX QUESITOS 60X,0.776,ARC-1012343,Saladix Quesitos 70gr.,Saladix,https://tokin.vtexassets.com/arquivos/ids/167963/1012343detail.jpg?v=638242594558500000,saladix quesitos 60x,saladix quesitos 70gr saladix
almaro,9841,JUGOS BC NARANJA 16X18X9.7 GRS,0.773,ARC-1010603,Jugo BC naranja 1lt.,BC,https://tokin.vtexassets.com/arquivos/ids/175968/1010603detail.jpg?v=638309829628070000,jugos bc naranja 7 grs,jugo bc naranja 1lt bc
almaro,12581,BARRA CAPPUCCINO SIMPLE 6X16X45,0.772,ARC-1012846,Barra Simple capuccino 45gr.,Simple,https://tokin.vtexassets.com/arquivos/ids/162401/1012846_detail.jpg?v=638011756383200000,barra cappuccino simple,barra simple capuccino 45gr simple
almaro,12680,HOGAREÑAS MIX CEREAL 12X3X185G,0.772,ARC-1013610,Hogareñas Mix Cereales 3x185gr.,Hogareñas,https://tokin.vtexassets.com/arquivos/ids/240229/1013610-detail.jpg?v=638715056490130000,hogarenas mix cereal g,hogarenas mix cereales gr hogarenas
almaro,11231,GELATINA CEREZA MOGU,0.769,ARC-1013210,Gelatina Mogul cereza 25gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/175786/1013210detail.jpg?v=638309212225800000,gelatina cereza mogu,gelatina mogul cereza 25gr mogul
almaro,504156,BUDIN RELL DDL 220GR FLOW VLT,0.767,BIM-706504156,Budín Relleno DDL 220gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/277183/BIM-706504156-UN-1.jpg?v=638931008180300000,budin rell ddl 220gr flow vlt,budin relleno ddl 220gr valente
almaro,504158,BUDIN CHIP CHOC 170G FLOW VLT,0.762,BIM-706504158,Budín Chip Chocolate 170gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/279309/84c5971d-beda-445b-8da9-e5154670beae.jpg?v=638936354160800000,budin chip choc 170g flow vlt,budin chip chocolate 170gr valente
almaro,12682,HOGAREÑAS 7 SEMILLAS 12X3X189G,0.759,ARC-1013607,Hogareñas 7 Semillas 189gr.,Hogareñas,https://tokin.vtexassets.com/arquivos/ids/166328/1013607detail.jpg?v=638242584468170000,hogarenas 7 semillas g,hogarenas 7 semillas 189gr hogarenas
almaro,7138,MADALENA VAIN VALENTE 200GR,0.759,BIM-7067245,Madalenas Valente  200gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/186915/7067245---Madalenas-Choco-DDL-14p-200g---1-.jpg?v=638385072776230000,madalena vain valente 200gr,madalenas valente 200gr valente
almaro,503001,2X1 BC MANZANA 1LTS,0.757,ARC-1010604,Jugo BC manzana 1lt.,BC,https://tokin.vtexassets.com/arquivos/ids/175770/1010604detail.jpg?v=638309184352470000,bc manzana 1lts,jugo bc manzana 1lt bc
almaro,12739,SALADIX PAPA CHEDDAR,0.755,ARC-1012504,Saladix papa Cheddar 30gr.,Saladix,https://tokin.vtexassets.com/arquivos/ids/167802/1012504detail.jpg?v=638242593968100000,saladix papa cheddar,saladix papa cheddar 30gr saladix
almaro,504448,BUDIN CARROT CAKE 350GR ARTESANO,0.754,BIM-706504448,Budín Carrot Cake Artesano 350g,Bimbo,https://tokin.vtexassets.com/arquivos/ids/279661/BIM-706504448-UN-1.jpg?v=638939076551300000,budin carrot cake 350gr artesano,budin carrot cake artesano 350g bimbo
almaro,964786,BRAUNICHOC SABEBIEN! 35GR,0.746,BIM-706964786,Brownie Choc SabeBien 35gr.,SabeBien,https://tokin.vtexassets.com/arquivos/ids/277514/Brouniechoc-35gr--1-.webp?v=638931010568400000,braunichoc sabebien 35gr,brownie choc sabebien 35gr sabebien
almaro,13015,"MOGUL CONITOS X1,1 K",0.744,ARC-1003113,Mogul Conitos 1kg.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174945/1003113detail.jpg?v=638303119823400000,mogul conitos x1 1 k,mogul conitos 1kg mogul
almaro,12740,SALADIX PAPA BARBACO,0.741,ARC-1012500,Saladix papa Barbacoa 30gr.,Saladix,https://tokin.vtexassets.com/arquivos/ids/156151/1012500_detail.jpg?v=637813043873270000,saladix papa barbaco,saladix papa barbacoa 30gr saladix
almaro,7171,MADALENAS MARMOLADAS VALENTE 200GR,0.737,BIM-7067171,Madalenas Valente Marmoladas 200gr.,Valente,https://tokin.vtexassets.com/arquivos/ids/159866/7793890256574_detail.jpg?v=637935149662070000,madalenas marmoladas valente 200gr,madalenas valente marmoladas 200gr valente
almaro,11206,MOGUL OJITOS 4X1KG (,0.737,ARC-1003113,Mogul Conitos 1kg.,Mogul,https://tokin.vtexassets.com/arquivos/ids/174945/1003113detail.jpg?v=638303119823400000,mogul ojitos kg,mogul conitos 1kg mogul
almaro,515275,TAKIS XPLOSION 85GR FLOW BAR EXP,0.737,BIM-706515275,Takis Xplosion 85gr.,Takis,https://tokin.vtexassets.com/arquivos/ids/285393/BIM-706515275-UN-1.jpg?v=638960638781200000,takis xplosion 85gr flow bar exp,takis xplosion 85gr takis
almaro,515276,TAKIS ORIGINAL 85GR FLOW BAR EXP,0.737,BIM-706515276,Takis Original 85gr.,Takis,https://tokin.vtexassets.com/arquivos/ids/289532/BIM-706515276-UN-1.jpg?v=638983959712800000,takis original 85gr flow bar exp,takis original 85gr takis
almaro,11229,GELATINA UVA MOGUL 2,0.735,ARC-1013212,Gelatina Mogul uva 25gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/240171/ARC-1013212.jpg?v=638715027836000000,gelatina uva mogul 2,gelatina mogul uva 25gr mogul
almaro,10299,FORMIS CHOC/DDL 12X3,0.732,ARC-1013991,Formis Choc./DDL. 72gr.,Arcor,https://tokin.vtexassets.com/arquivos/ids/166142/1013991detail.jpg?v=638242581567900000,formis choc ddl,formis choc ddl 72gr arcor
almaro,10532,MASTICABLE MOGUL POTE 6X700G,0.731,ARC-1007351,Masticables Mogul 700gr.,Mogul,https://tokin.vtexassets.com/arquivos/ids/155877/1007351_detail.jpg?v=637813042949170000,masticable mogul pote g,masticables mogul 700gr mogul
almaro,11234,GELATINA BC DURAZNO,0.731,ARC-1013202,Gelatina Light BC durazno 20gr.,BC,https://tokin.vtexassets.com/arquivos/ids/158659/1013202_detail.jpg?v=637813047861300000,gelatina bc durazno,gelatina light bc durazno 20gr bc
