product_code,nombre,descripcion
BEL-QUE-001,Azul Sancarlina,"Queso azul Sancarlina, pasta azul, marca Sancarlina."
BEL-QUE-002,Cheddar Barra Spalen,"Queso cheddar en barra, marca Spalen."
BEL-QUE-003,Cheddar en Fetas,"Queso cheddar en fetas, presentación lista para uso."
BEL-QUE-004,Cheddar Pouch La Paulina,"Queso cheddar en pouch, marca La Paulina."
BEL-QUE-005,Cheddar Pouch Spalen,"Queso cheddar en pouch, marca Spalen."
BEL-QUE-006,Cremoso La Paulina,"Queso cremoso, marca La Paulina."
BEL-QUE-007,Gruyere Oro,"Queso gruyere semiduro, marca Oro."
BEL-QUE-008,Muzzarella Unión,"Queso muzzarella, marca Unión."
BEL-QUE-011,Romano Unión,"Queso romano de pasta dura, marca Unión."
BEL-QUE-012,Sardo Oro,"Queso sardo de pasta dura, marca Oro."
BEL-QUE-013,Tybo Senda La Paulina,"Queso tybo Senda, marca La Paulina."
BEL-QUE-014,Tybo Unión,"Queso tybo, marca Unión."
BEL-FIA-001,Bondiola Natural Pig,"Bondiola curada, marca Natural Pig."
BEL-FIA-003,Jamón Cocido La Tirolesa,"Jamón cocido, marca La Tirolesa."
BEL-FIA-004,Jamón Cocido Tacural,"Jamón cocido, marca Tacural."
BEL-FIA-005,Jamón Crudo Tacural,"Jamón crudo, marca Tacural."
BEL-FIA-006,Jamonada La Tirolesa,"Jamonada cocida, marca La Tirolesa."
BEL-ACE-011,Kétchup Dánica 3kg,"Kétchup, marca Dánica, x 3kg."
BEL-ACE-012,Kétchup Dánica Individual,"Kétchup, marca Dánica, presentación individual."
BEL-ACE-013,Mayodan x 3kg,"Mayonesa Mayodan, x 3kg."
BEL-CON-001,Ananá x 800gr,"Conserva de ananá, lata x 800gr."
BEL-CON-002,Caja Puré Triturado 520gr x 16,"Puré de tomate triturado 520gr, caja x 16."
BEL-CON-003,Champi x 800gr Caracas,"Champiñones en conserva, marca Caracas, x 800gr."
BEL-CON-008,Lomito de Atún,Lomito de atún en conserva.
BEL-CON-009,Morrón Finca de Santiago,"Morrón en conserva, marca Finca de Santiago."
BEL-CON-010,Pulpa de Frutilla Emalubi x 1kg,"Pulpa de frutilla, marca Emalubi, x 1kg."
BEL-ALM-002,Azúcar x 10kg,"Azúcar, presentación x 10kg."
BEL-DUL-001,Pionono,Masa de pionono para repostería.
BEL-QUE-009,Pategrás Unión,"Queso pategrás, marca Unión."
BEL-QUE-010,Queso Crema La Paulina,"Queso crema untable, marca La Paulina."
BEL-FIA-002,Jamón Cocido El Colonial,"Jamón cocido, marca El Colonial."
BEL-FIA-007,Salame Milán La Tirolesa,"Salame tipo Milán, marca La Tirolesa."
BEL-FIA-008,Salame Milán Natural Pig,"Salame tipo Milán, marca Natural Pig."
BEL-FIA-009,Salame Natural Pig x Unidad,"Salame, marca Natural Pig, venta por unidad."
BEL-LAC-001,Crema Doble Crema La Paulina x 5kg,"Crema doble, marca La Paulina, x 5kg."
BEL-LAC-002,Crema La Paulina x 5kg,"Crema de leche, marca La Paulina, x 5kg."
BEL-LAC-003,Leche Cotapa Entera x 12lt,"Leche entera, marca Cotapa, pack x 12lt."
BEL-LAC-004,Manteca x 2.5kg Pilón,"Manteca, marca Pilón, x 2.5kg."
BEL-ACE-001,Aceite de Oliva x 2lt,"Aceite de oliva, presentación x 2lt."
BEL-ACE-002,Aceite x 10lt,"Aceite comestible, presentación x 10lt."
BEL-ACE-003,Aceituna Negra Fileteada x 5kg,"Aceituna negra fileteada, x 5kg."
BEL-ACE-004,Aceituna Negra N° 2 x 5kg,"Aceituna negra calibre N° 2, x 5kg."
BEL-ACE-005,Aceituna Verde Fileteada x 5kg,"Aceituna verde fileteada, x 5kg."
BEL-ACE-006,Aceituna Verde N° 0 x 5kg,"Aceituna verde calibre N° 0, x 5kg."
BEL-ACE-007,Aceituna Verde N° 2 x 5kg,"Aceituna verde calibre N° 2, x 5kg."
BEL-ACE-008,Aceituna Verde N° 0 x 1kg,"Aceituna verde calibre N° 0, x 1kg."
BEL-ACE-009,Aceituna Verde N° 1 x 5kg,"Aceituna verde calibre N° 1, x 5kg."
BEL-ACE-010,Aceituna Verde N° 3 x 5kg,"Aceituna verde calibre N° 3, x 5kg."
BEL-ACE-014,Mayonesa Dánica 3kg,"Mayonesa, marca Dánica, x 3kg."
BEL-ACE-015,Mayonesa Dánica Individual,"Mayonesa, marca Dánica, presentación individual."
BEL-ACE-016,Mostaza Dánica 3kg,"Mostaza, marca Dánica, x 3kg."
BEL-ACE-017,Mostaza Dánica Individual,"Mostaza, marca Dánica, presentación individual."
BEL-ACE-018,Salsa Golf Dánica 3kg,"Salsa golf, marca Dánica, x 3kg."
BEL-ACE-019,Vinagre x 5lt,"Vinagre, presentación x 5lt."
BEL-CON-004,Choclo en Grano x 800gr,"Choclo en grano en conserva, x 800gr."
BEL-CON-005,Choclo Granos Amarillos x 3kg,"Choclo granos amarillos en conserva, x 3kg."
BEL-CON-006,Cóctel de Frutas x 820gr,"Cóctel de frutas en almíbar, x 820gr."
BEL-CON-007,Durazno 820gr,"Duraznos en almíbar, lata 820gr."
BEL-CON-011,Tomate Triturado 4 x 2kg,"Tomate triturado, pack 4 x 2kg."
BEL-CON-012,Tomate Triturado Lata 8kg,"Tomate triturado, lata x 8kg."
BEL-ALM-003,Sal de Campo Don Burro,"Sal de campo, marca Don Burro."
BEL-ALM-004,Sal Fina Celusal 500gr,"Sal fina, marca Celusal, envase 500gr."
BEL-BEB-001,Jugo de Naranja 5lt,"Jugo de naranja, bidón x 5lt."
