product_code,precio_unidad,is_mock
BEL-QUE-001,13884.00,true
BEL-QUE-002,8550.00,true
BEL-QUE-003,33075.00,true
BEL-QUE-004,28440.00,true
BEL-QUE-005,16111.20,true
BEL-QUE-006,8364.00,true
BEL-QUE-007,29604.00,true
BEL-QUE-008,8760.00,true
BEL-QUE-009,10200.00,true
BEL-QUE-010,30266.40,true
BEL-QUE-011,9840.00,true
BEL-QUE-012,15000.00,true
BEL-QUE-013,11581.20,true
BEL-QUE-014,9000.00,true
BEL-FIA-001,20027.90,true
BEL-FIA-002,9024.00,true
BEL-FIA-003,7398.00,true
BEL-FIA-004,11176.80,true
BEL-FIA-005,20640.00,true
BEL-FIA-006,4560.00,true
BEL-FIA-007,10584.00,true
BEL-FIA-008,8244.00,true
BEL-FIA-009,3900.00,true
BEL-LAC-001,49321.20,true
BEL-LAC-002,43284.00,true
BEL-LAC-003,20160.00,true
BEL-LAC-004,28552.50,true
BEL-ACE-001,17547.60,true
BEL-ACE-002,26400.00,true
BEL-ACE-003,24000.00,true
BEL-ACE-004,23400.00,true
BEL-ACE-005,22200.00,true
BEL-ACE-006,24000.00,true
BEL-ACE-007,19800.00,true
BEL-ACE-008,7800.00,true
BEL-ACE-009,19800.00,true
BEL-ACE-010,13800.00,true
BEL-ACE-011,8935.20,true
BEL-ACE-012,8692.80,true
BEL-ACE-013,5846.40,true
BEL-ACE-014,8847.60,true
BEL-ACE-015,8313.60,true
BEL-ACE-016,6430.80,true
BEL-ACE-017,7422.00,true
BEL-ACE-018,13054.50,true
BEL-ACE-019,7620.00,true
BEL-CON-001,5832.00,true
BEL-CON-002,9072.00,true
BEL-CON-003,5880.00,true
BEL-CON-004,3720.00,true
BEL-CON-005,13920.00,true
BEL-CON-006,3960.00,true
BEL-CON-007,2160.00,true
BEL-CON-008,3450.00,true
BEL-CON-009,4086.00,true
BEL-CON-010,4320.00,true
BEL-CON-011,7176.00,true
BEL-CON-012,7440.00,true
BEL-ALM-001,8775.00,true
BEL-ALM-002,16807.50,true
BEL-ALM-003,1500.00,true
BEL-ALM-004,1200.00,true
BEL-DUL-001,2160.00,true
BEL-BEB-001,22950.00,true
BEL-BEB-002,8400.00,true
