codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
BEL-QUE-001,Azul Sancarlina,"Queso azul Sancarlina, pasta azul, marca Sancarlina.","Queso azul Sancarlina, pasta azul, marca Sancarlina.",Azul Sancarlina|Sancarlina|queso,ACTUALIZAR
BEL-QUE-002,Cheddar Barra Spalen,"Queso cheddar en barra, marca Spalen.","Queso cheddar en barra, marca Spalen.",Cheddar Barra Spalen|Spalen|Cheddar Spalen|queso,ACTUALIZAR
BEL-QUE-003,Cheddar en Fetas,"Queso cheddar en fetas, presentación lista para uso.","Queso cheddar en fetas, presentación lista para uso.",Cheddar en Fetas|queso,ACTUALIZAR
BEL-QUE-004,Cheddar Pouch La Paulina,"Queso cheddar en pouch, marca La Paulina.","Queso cheddar en pouch, marca La Paulina.",Cheddar Pouch La Paulina|La Paulina|Cheddar La Paulina|queso,ACTUALIZAR
BEL-QUE-005,Cheddar Pouch Spalen,"Queso cheddar en pouch, marca Spalen.","Queso cheddar en pouch, marca Spalen.",Cheddar Pouch Spalen|Spalen|Cheddar Spalen|queso,ACTUALIZAR
BEL-QUE-006,Cremoso La Paulina,"Queso cremoso, marca La Paulina.","Queso cremoso, marca La Paulina.",Cremoso La Paulina|La Paulina|queso,ACTUALIZAR
BEL-QUE-007,Gruyere Oro,"Queso gruyere semiduro, marca Oro.","Queso gruyere marca Oro, presentado en formato de kg.",queso gruyere|gruyere oro,ACTUALIZAR
BEL-QUE-008,Muzzarella Unión,"Queso muzzarella, marca Unión.","Queso muzzarella, marca Unión.",Muzzarella Unión|Unión|queso,ACTUALIZAR
BEL-QUE-011,Romano Unión,"Queso romano de pasta dura, marca Unión.","Queso romano de pasta dura, marca Unión.",Romano Unión|Unión|queso,ACTUALIZAR
BEL-QUE-012,Sardo Oro,"Queso sardo de pasta dura, marca Oro.","Queso sardo de pasta dura, marca Oro.",Sardo Oro|Oro|queso,ACTUALIZAR
BEL-QUE-013,Tybo Senda La Paulina,"Queso tybo Senda, marca La Paulina.","Queso tybo Senda, marca La Paulina.",Tybo Senda La Paulina|La Paulina|Tybo La Paulina|queso,ACTUALIZAR
BEL-QUE-014,Tybo Unión,"Queso tybo, marca Unión.","Queso tybo, marca Unión.",Tybo Unión|Unión|queso,ACTUALIZAR
BEL-FIA-001,Bondiola Natural Pig,"Bondiola curada, marca Natural Pig.","Bondiola curada, marca Natural Pig.",Bondiola Natural Pig|Natural Pig|bondiola,ACTUALIZAR
