product_code,precio_unidad,is_mock
ESP-001,9596.50,true
ESP-002,4496.50,true
ESP-003,8134.50,true
ESP-004,4182.00,true
ESP-082,10183.00,true
ESP-005,12053.00,true
ESP-006,9953.50,true
ESP-020,5465.50,true
ESP-029,10438.00,true
ESP-030,4819.50,true
ESP-060,14509.50,true
ESP-061,37774.00,true
ESP-062,8338.50,true
ESP-063,17595.00,true
ESP-064,30549.00,true
ESP-092,14441.50,true
ESP-065,37774.00,true
ESP-066,25729.50,true
ESP-067,11075.50,true
ESP-069,60860.00,true
ESP-070,13889.00,true
ESP-088,17127.50,true
ESP-071,22032.00,true
ESP-081,22032.00,true
ESP-072,47812.50,true
ESP-073,33430.50,true
ESP-079,4768.50,true
ESP5-001,40621.50,true
ESP5-002,18759.50,true
ESP5-009,187909.50,true
ESP5-010,187909.50,true
ESP5-011,111078.00,true
ESP5-012,111078.00,true
ESP2-001,5338.00,true
ESP2-002,2592.50,true
ESP2-003,4522.00,true
ESP2-004,2414.00,true
ESP2-005,6817.00,true
ESP2-006,5159.50,true
ESP2-018,3153.50,true
ESP2-027,2456.50,true
ESP2-028,2924.00,true
ESP2-058,8670.00,true
ESP2-059,20553.00,true
ESP2-060,5091.50,true
ESP2-061,17127.50,true
ESP2-062,11670.50,true
ESP2-063,20553.00,true
ESP2-064,14739.00,true
ESP2-065,5975.50,true
ESP2-067,34807.50,true
ESP2-068,7964.50,true
ESP2-079,13336.50,true
ESP2-069,13336.50,true
ESP2-070,26868.50,true
ESP2-071,18776.50,true
ESP4-025,4879.00,true
ESP4-027,11577.00,true
ESP4-026,2414.00,true
ESP4-029,8610.50,true
ESP4-028,6009.50,true
ESP4-030,11577.00,true
ESP4-031,8296.00,true
ESP4-032,3221.50,true
ESP4-034,19669.00,true
ESP4-035,4539.00,true
ESP4-045,8338.50,true
ESP4-036,8338.50,true
ESP4-037,15121.50,true
ESP4-038,10565.50,true
ESP10-04,4700.50,true
IN1-001,6264.50,true
IN1-002,7777.50,true
IN1-003,5108.50,true
IN1-004,8500.00,true
IN1-005,7531.00,true
IN1-029,6077.50,true
