product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,11290.00,475,1,unidad,unidad,Especias,1 kg,Ají,Especias Benavidez,AJI CAYENA MOLIDA AMARILLO - 1 KG|ESP-001|Ají|Especias Benavidez|AJI CAYENA MOLIDA|AJI CAYENA MOLIDA AMARILLO 1 KG,0.9500,1.0000,"Especia Aji Cayena Molida Amarillo - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-002,AJI MOLIDO ECONOMICO - 1 KG,5290.00,475,1,unidad,unidad,Especias,1 kg,Ají,Especias Benavidez,AJI MOLIDO ECONOMICO - 1 KG|ESP-002|Ají|Especias Benavidez|AJI MOLIDO ECONOMICO|AJI MOLIDO ECONOMICO 1 KG,0.9495,0.9987,"Especia Aji Molido Economico - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-003,AJI MOLIDO MORTERO - 1 KG,9570.00,474,1,unidad,unidad,Especias,1 kg,Ají,Especias Benavidez,AJI MOLIDO MORTERO - 1 KG|ESP-003|Ají|Especias Benavidez|AJI MOLIDO MORTERO|AJI MOLIDO MORTERO 1 KG,0.9489,0.9974,"Especia Aji Molido Mortero - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-004,AJO DESHIDRATADO EN POLVO - 1 KG,4920.00,474,1,unidad,unidad,Especias,1 kg,Ajo,Especias Benavidez,AJO DESHIDRATADO EN POLVO - 1 KG|ESP-004|Ajo|Especias Benavidez|AJO DESHIDRATADO EN|AJO DESHIDRATADO EN POLVO 1 KG,0.9484,0.9960,"Especia Ajo Deshidratado en Polvo - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,11980.00,474,1,unidad,unidad,Especias,1 kg,Ajo,Especias Benavidez,AJO DESHIDRATADO EN POLVO CHINO - 1 KG|ESP-082|Ajo|Especias Benavidez|AJO DESHIDRATADO EN|AJO DESHIDRATADO EN POLVO CHINO 1 KG,0.9479,0.9947,"Especia Ajo Deshidratado en Polvo Chino - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-005,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG,14180.00,474,1,unidad,unidad,Especias,1 kg,Ajo,Especias Benavidez,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG|ESP-005|Ajo|Especias Benavidez|AJO DESHIDRATADO IMPORTADO|AJO DESHIDRATADO IMPORTADO CHINO 1 KG,0.9474,0.9934,"Especia Ajo Deshidratado Importado Chino - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-006,AJO DESHIDRATADO PARTIDO NACIONAL - 1 KG,11710.00,473,1,unidad,unidad,Especias,1 kg,Ajo,Especias Benavidez,AJO DESHIDRATADO PARTIDO NACIONAL - 1 KG|ESP-006|Ajo|Especias Benavidez|AJO DESHIDRATADO PARTIDO|AJO DESHIDRATADO PARTIDO NACIONAL 1 KG,0.9468,0.9921,"Especia Ajo Deshidratado Partido Nacional - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-020,CHIMICHURRI PREMIUM - 1 KG,6430.00,473,1,unidad,unidad,Especias,1 kg,Chimichurri,Especias Benavidez,CHIMICHURRI PREMIUM - 1 KG|ESP-020|Chimichurri|Especias Benavidez|CHIMICHURRI PREMIUM 1|CHIMICHURRI PREMIUM 1 KG,0.9463,0.9908,"Especia Chimichurri Premium - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-029,CONDIMENTO PARA ARROZ PREMIUM- 1 KG,12280.00,473,1,unidad,unidad,Especias,1 kg,Especias,Especias Benavidez,CONDIMENTO PARA ARROZ PREMIUM- 1 KG|ESP-029|Especias|Especias Benavidez|CONDIMENTO PARA ARROZ|CONDIMENTO PARA ARROZ PREMIUM 1 KG,0.9458,0.9894,"Legumbre o cereal Condimento para Arroz Premium- 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
ESP-030,CONDIMENTO PARA PIZZA - 1 KG,5670.00,473,1,unidad,unidad,Especias,1 kg,Especias,Especias Benavidez,CONDIMENTO PARA PIZZA - 1 KG|ESP-030|Especias|Especias Benavidez|CONDIMENTO PARA PIZZA|CONDIMENTO PARA PIZZA 1 KG,0.9453,0.9881,"Especia Condimento para Pizza - 1 kg, marca Especias Benavidez, 1 kg.",https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,true,true,Precios
