excel_row,product_code,nombre,precio,categoria,motivo
183,ESP4-003,ANIS EN GRANO 2 - 250 G,0.0,ESPECIAS POR 250G,precio <= 0 (consultar / sin lista)
331,ADI-002,AGLUSOR,0.0,ADITIVOS,precio <= 0 (consultar / sin lista)
388,ADI-049,HUEVO EN POLVO REPOSTERO - X 1 KG,0.0,ADITIVOS,precio <= 0 (consultar / sin lista)
418,ADI-062,REBOZADOR SOL- X 25 KG,0.0,ADITIVOS,precio <= 0 (consultar / sin lista)
450,ANT-001,"AGUA OXIGENADA BIDON - 12,5 KG",0.0,ANTIOXIDANTES,precio <= 0 (consultar / sin lista)
451,ANT-002,AGUA OXIGENADA BIDON - 25 KG,0.0,ANTIOXIDANTES,precio <= 0 (consultar / sin lista)
620,TRI-015,MAD DE CERDO NACIONAL 40 MTS NUEVAS,0.0,TRIPAS,precio <= 0 (consultar / sin lista)
654,HIL-037,CAJA BOBINA DE HILO BICOLOR ROJO Y BLANCO POR 1 KG X 12 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
656,HIL-028,CAJA BOBINA DE HILO BICOLOR ROJO Y BLANCO POR 1/2 KG X 20 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
666,HIL-029,CAJA BOBINA DE HILO N 3 OCRE (NARANJA) POR 1 KG X 12 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
667,HIL-030,CAJA BOBINA DE HILO N 3 OCRE (NARANJA) POR 500 GMS X 20 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
670,HIL-031,CAJA BOBINA DE HILO N 3 VERDE POR 1 KG X 12 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
671,HIL-032,CAJA BOBINA DE HILO N 3 VERDE POR 1/2 KG X 20 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
674,HIL-033,CAJA BOBINA DE HILO N 3 ROJA POR 1 KG X 12 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
675,HIL-034,CAJA BOBINA DE HILO N 3 ROJA POR 1/2 KG X 20 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
682,HIL-036,CAJA BOBINA DE HILO TIPO ESPAÑOL AMARILLO Y ROJO POR 500 GMS 20 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
683,HIL-035,CAJA BOBINA DE HILO TIPO ESPAÑOL AMARILLO Y ROJO POR 1KG X 12 UNIDADES,0.0,HILOS,precio <= 0 (consultar / sin lista)
714,ROP-018,CAPAS PARA CARGAR MEDIA RES DE PVC BLANCO O ROJO,0.0,ROPA DE FRIGORIFICO,precio <= 0 (consultar / sin lista)
728,ROP-030,COFIAS DE TEJIDO PLISADAS PP- DESCARTABLES X100 UNIDADES,0.0,ROPA DE FRIGORIFICO,precio <= 0 (consultar / sin lista)
731,ROP-033,CONSULTAR POR TALLES ESPECIALES!! RECARGA DE UN 30 % XXXXL EN ADELANTE,0.0,ROPA DE FRIGORIFICO,precio <= 0 (consultar / sin lista)
751,ROP-053,"LOGOS SUBLIMADOS, BORDADOS, ESTAMPADOS! 3 LUGARES",0.0,ROPA DE FRIGORIFICO,precio <= 0 (consultar / sin lista)
899,CUC-091,GANCHOS TIPO S DE ACERO INOXIDABLE 5X8 (TMI40),0.0,CUCHILLOS,precio <= 0 (consultar / sin lista)
902,CUC-094,GANCHOS TIPO S DE ACERO INOXIDABLE 8X6 (TMI43),0.0,CUCHILLOS,precio <= 0 (consultar / sin lista)
903,CUC-095,GANCHOS TIPO S DE ACERO INOXIDABLE 8X8 (TMI44),0.0,CUCHILLOS,precio <= 0 (consultar / sin lista)
1111,REP-486,Ajusta Cabezal corto mod. Viejo Metal,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1149,REP-318,CABEZAL FH 42 ORIGINAL DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1150,REP-319,CABEZAL FREIRE 42 ORIGINAL DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1151,REP-503,CABEZAL FL 42 ORIGINAL DEVI,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
1201,REP-048,CORTADORA DE PAPA FH C/ 4 CUCHILLAS ACERO INOX,0.0,RESPUESTOS Y ACCESORIOS,precio <= 0 (consultar / sin lista)
