phone_number,razon_social,codigo_erp,whatsapp_estado,whatsapp_validado_at,etiqueta,is_prospect
5493587905250,Carnicería Don Julio Altamira,25001,validado,2026-08-20T20:01:55.115912+00:00,,false
5493582641213,Frigorífico San Vicente SRL,25002,validado,2026-08-20T20:01:55.115912+00:00,,false
5492991227644,Embutidos El Criollo,25003,validado,2026-08-20T20:01:55.115912+00:00,,false
5493418277249,Chacinados La Estancia,25004,validado,2026-08-20T20:01:55.115912+00:00,,false
5493587747641,Sala de Desposte Yofre,25005,validado,2026-08-20T20:01:55.115912+00:00,,false
5492614053074,Fiambres Don Pedro,25006,validado,2026-08-20T20:01:55.115912+00:00,,false
5493514079279,Carnicería El Gaucho,25007,validado,2026-08-20T20:01:55.115912+00:00,,false
5493876914178,Elaboradora Los Andes,25008,validado,2026-08-20T20:01:55.115912+00:00,,false
5492617175545,Frigorífico Empalme,25009,validado,2026-08-20T20:01:55.115912+00:00,,false
5493818437953,Carnicería La Esquina Jardín,25010,validado,2026-08-20T20:01:55.115912+00:00,,false
5493582132179,Embutidos Don Mario,25011,validado,2026-08-20T20:01:55.115912+00:00,,false
5493872845902,Chacinados El Quebracho,25012,validado,2026-08-20T20:01:55.115912+00:00,,false
5492997670210,Carnicería Pueyrredón,25013,validado,2026-08-20T20:01:55.115912+00:00,,false
5493811657614,Frigorífico Río Carcarañá,25014,validado,2026-08-20T20:01:55.115912+00:00,,false
5492994145193,Carnicería El Familiar,25015,validado,2026-08-20T20:01:55.115912+00:00,,false
5493515971311,Fábrica de Chorizos El Fogón,25016,validado,2026-08-20T20:01:55.115912+00:00,,false
5492994228106,Carnicería Don Santos,25017,validado,2026-08-20T20:01:55.115912+00:00,,false
5492998718887,Embutidos La Criolla,25018,validado,2026-08-20T20:01:55.115912+00:00,,false
5492995028869,Frigorífico Crisol,25019,validado,2026-08-20T20:01:55.115912+00:00,,false
5493517304254,Carnicería San Carlos,25020,validado,2026-08-20T20:01:55.115912+00:00,,false
5493416986538,Chacinados El Molino,25021,validado,2026-08-20T20:01:55.115912+00:00,,false
5492619239862,Carnicería Las Brasas,25022,validado,2026-08-20T20:01:55.115912+00:00,,false
5493513952681,Sala de Elaborados El Patio,25023,validado,2026-08-20T20:01:55.115912+00:00,,false
5493414799650,Fiambres La Tradición,25024,validado,2026-08-20T20:01:55.115912+00:00,,false
5492992500733,Carnicería El Rincón,25025,validado,2026-08-20T20:01:55.115912+00:00,,false
5492615139305,Embutidos Don Carlos,25026,validado,2026-08-20T20:01:55.115912+00:00,,false
5492618861463,Frigorífico Observatorio,25027,validado,2026-08-20T20:01:55.115912+00:00,,false
5493812941974,Carnicería El Pionero,25028,validado,2026-08-20T20:01:55.115912+00:00,,false
5493817404433,Chacinados El Rancho,25029,validado,2026-08-20T20:01:55.115912+00:00,,false
5493419686914,Carnicería La Cañada,25030,validado,2026-08-20T20:01:55.115912+00:00,,false
5493518648263,Elaboradora Don Rafael,25031,existente,,,false
5493516216782,Carnicería El Cruce,25032,existente,,,false
5492612780568,Fiambres El Nativo,25033,existente,,,false
5493582639964,Carnicería Las Sierras,25034,existente,,,false
5493814729528,Embutidos El Algarrobo,25035,existente,,,false
5493876922419,Frigorífico Villa El Libertador,25036,existente,,,false
5492618889598,Carnicería El Encuentro,25037,existente,,,false
5492615021286,Chacinados La Chacra,25038,existente,,,false
5493813520000,Carnicería Don Juan,25039,existente,,,false
5492997489876,Sala de Desposte El Corral,25040,existente,,,false
5493519107005,Embutidos La Unión,0,no_validado,,PROSPECTO,true
5493874104594,Carnicería El Sauce,0,existente,,PROSPECTO,true
5492617413812,Fiambres Don Roberto,0,no_validado,,PROSPECTO,true
5492617236955,Carnicería La Cumbre,0,existente,,PROSPECTO,true
5492612928724,Elaboradora El Portal,0,no_validado,,PROSPECTO,true
5492999435946,Carnicería Las Flores,0,validado,2026-08-20T20:01:55.115912+00:00,PROSPECTO,true
5493517632424,Chacinados El Nogal,0,no_existente,,PROSPECTO,true
5493416524997,Carnicería El Paraíso,0,no_validado,,PROSPECTO,true
5493876499570,Frigorífico General Paz,0,existente,,PROSPECTO,true
5492998066543,Embutidos La Arboleda,0,no_validado,,PROSPECTO,true
