archivo,slug,product_code,nombre,en_catalogo,status,image_url_prev,image_url_new
3COLORDICED-PWB.png,3-color-diced,736952201928,Pepper 3 Color 10x10,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952201928.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/3-color-diced.jpg?v=20260901
3COLORDICED-PWB.png,3-color-diced,89090124,Pepper 3 Color Diced 10 x 10 - 20lb,True,match,https://www.benfreshfood.com/assets/images/product/3_colored_pepper_sliced_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/3-color-diced.jpg?v=20260901
3COLORSLICED-PWB.png,3-color-sliced,736952201935,Pepper 3 Color Slice,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952201935.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/3-color-sliced.jpg?v=20260901
3COLORSLICED-PWB.png,3-color-sliced,89090125,Pepper 3 Color Slice - 20lb,True,match,https://www.benfreshfood.com/assets/images/product/3_colored_pepper_sliced_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/3-color-sliced.jpg?v=20260901
3COLORSLICED-PWB.png,3-color-sliced,736952201799,Pepper 3 Color Slice 1lb,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952201799.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/3-color-sliced.jpg?v=20260901
3VEGETABLES-PWB.png,3-vegetables,89090045,3 vegetables Peas & Carrot & Sweetcorn 22 lb,True,match,https://www.benfreshfood.com/assets/images/product/peas_and_carrot_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/3-vegetables.jpg?v=20260901
4VEGETABLES-PWB.png,4-vegetables,736952201911,4 vegetables Peas & Carrot & Sweetcorn & Green Beans 22 lb,True,match,https://www.benfreshfood.com/assets/images/product/green_beans_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/4-vegetables.jpg?v=20260901
BABY CARROT-PWB.png,baby-carrot,89090077,Baby Carrot 22.04lb,True,match,https://www.benfreshfood.com/assets/images/product/baby_carrot_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/baby-carrot.jpg?v=20260901
BABY CARROT-PWB.png,baby-carrot,89090068,Baby Carrot 24lb,True,match,https://www.benfreshfood.com/assets/images/product/baby_carrot_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/baby-carrot.jpg?v=20260901
BROCOLLI FLORET-PWB.png,broccoli-floret,736952201751,"Broccoli Floret frozen 0,75lb BENFRESH",True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/736952201751.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/broccoli-floret.jpg?v=20260901
BROCOLLI FLORET-PWB.png,broccoli-floret,736952201522,Broccoli Floret frozen3 lb BENFRESH,True,match,https://www.benfreshfood.com/assets/images/product/broccoli-florets.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/broccoli-floret.jpg?v=20260901
BROCOLLI FLORET-PWB.png,broccoli-floret,74987455943,"Broccoli frozen 22,04 lb",True,match,https://www.benfreshfood.com/assets/images/product/broccoli-florets.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/broccoli-floret.jpg?v=20260901
BUTTERNUT-PWB.png,butternut,89090012,Butternut 3 lb.,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090012.jpg,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/butternut.jpg?v=20260901
BUTTERNUT-PWB.png,butternut,74987455851,"BUTTERNUT SQUASH frozen-Box 22,04 lb",True,match,https://www.benfreshfood.com/assets/images/product/butternut-diced.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/butternut.jpg?v=20260901
CALIFLOWER-PWB.png,cauliflower,89090202,Cauliflower 22.04 lb (1 x 22.04 lb),True,match,https://www.benfreshfood.com/assets/images/product/califlower_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/cauliflower.jpg?v=20260901
CALIFLOWER-PWB.png,cauliflower,89090015,CAULIFLOWER frozen IQF 15 lb,True,match,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090015.webp,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/cauliflower.jpg?v=20260901
CALIFLOWER-PWB.png,cauliflower,89090031,CAULIFLOWER frozen IQF 20 lb,True,match,https://www.benfreshfood.com/assets/images/product/califlower_frente.png,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/web/cauliflower.jpg?v=20260901
