numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Indumentaria Paraná,Indumentaria Paraná,5493587905250,2,1,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.720187,-60.554099,true
2,Ropa y Accesorios,Ropa y Accesorios,5493582641213,3,2,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.720226,-60.548202,true
3,Medias y Más,Medias y Más,5492991227644,4,3,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.720033,-60.554314,true
4,Bazares del Norte,Bazares del Norte,5493418277249,1,4,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.722791,-60.550687,true
5,Juguetería Fantasía,Juguetería Fantasía,5493587747641,2,5,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.723027,-60.5513,true
6,Librería El Saber,Librería El Saber,5492614053074,3,6,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.723789,-60.545139,true
7,Artículos para Todos,Artículos para Todos,5493514079279,4,7,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.723169,-60.545878,true
8,Moda y Estilo,Moda y Estilo,5493876914178,1,8,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.724534,-60.552614,true
9,Accesorios Únicos,Accesorios Únicos,5492617175545,2,9,lunes,martes,"Zona ZONA NOROESTE - Barrio San Agustín - Paraná, Entre Ríos, Argentina",Juan Pérez,0,0,-31.719441,-60.546895,true
10,Todo en Ropa,Todo en Ropa,5493818437953,3,10,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.723956,-60.53243,true
11,El Rincón del Juguete,El Rincón del Juguete,5493582132179,4,11,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.718218,-60.527819,true
12,Librería Creativa,Librería Creativa,5493872845902,1,12,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.724418,-60.524907,true
13,Bazares de la Ciudad,Bazares de la Ciudad,5492997670210,2,13,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.720695,-60.533581,true
14,Indumentaria y Más,Indumentaria y Más,5493811657614,3,14,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.723987,-60.530155,true
15,Ropa Interior Confort,Ropa Interior Confort,5492994145193,4,15,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.725461,-60.525452,true
16,Medias Coloridas,Medias Coloridas,5493515971311,1,16,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.720359,-60.534023,true
17,Accesorios de Moda,Accesorios de Moda,5492994228106,2,17,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.72343,-60.531572,true
18,Juguetes y Sueños,Juguetes y Sueños,5492998718887,3,18,martes,miercoles,"Zona ZONA NORTE - Barrio La Floresta - Paraná, Entre Ríos, Argentina",María González,1,1,-31.721378,-60.527081,true
19,Librería Infantil,Librería Infantil,5492995028869,4,19,miercoles,jueves,"Zona ZONA NORESTE - Barrio San Martín - Paraná, Entre Ríos, Argentina",María González,1,2,-31.718749,-60.513968,true
20,Artículos de Regalo,Artículos de Regalo,5493517304254,1,20,miercoles,jueves,"Zona ZONA NORESTE - Barrio San Martín - Paraná, Entre Ríos, Argentina",María González,1,2,-31.718458,-60.508726,true
21,Indumentaria Mayorista,Indumentaria Mayorista,5493416986538,2,21,miercoles,jueves,"Zona ZONA NORESTE - Barrio San Martín - Paraná, Entre Ríos, Argentina",María González,1,2,-31.726062,-60.511223,true
22,Ropa Casual,Ropa Casual,5492619239862,3,22,miercoles,jueves,"Zona ZONA NORESTE - Barrio San Martín - Paraná, Entre Ríos, Argentina",María González,1,2,-31.724892,-60.510192,true
