codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion,notas
6806a2260ba1a600048ea430,COMBO 60 SOQUETES ANIMADOS,"Combo COMBO 60 SOQUETES ANIMADOS, el combo incluye 60 soquetes animados, x60 unidades.","Combo COMBO 60 SOQUETES ANIMADOS, presentación mayorista categoría combos, apto reventa mayorista en Paraná.",COMBO 60 SOQUETES ANIMADOS|SOQUETES ANIMADOS|SOQUETES|Combo,ACTUALIZAR,demo_local
6808cb6a55e3d00004c5a7df,MOCHILA 3 EN 1,"Artículo de marroquinería MOCHILA 3 EN 1, (incluye lonchera térmica y cartuchera).","Marroquinería MOCHILA 3 EN 1, presentación mayorista categoría marroquineria, apto reventa mayorista en Paraná.",MOCHILA 3 EN 1|MOCHILA|Marroquinería,ACTUALIZAR,demo_local
6808cd6961f3ad00041a0974,LLAVERO DE CAPIBARA,"Artículo mayorista LLAVERO DE CAPIBARA, presentación para reventa, categoría novedades.","Artículo LLAVERO DE CAPIBARA, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",LLAVERO DE CAPIBARA|LLAVERO CAPIBARA|LLAVERO|Capibara|Artículo,ACTUALIZAR,demo_local
6808ce8806ca020004cf0e95,LLAVEROS ANIMADOS,"Artículo mayorista LLAVEROS ANIMADOS, presentación para reventa, categoría novedades, presentación mayorista novedades.","Artículo LLAVEROS ANIMADOS, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",LLAVEROS ANIMADOS|LLAVEROS|Artículo,ACTUALIZAR,demo_local
6808cf50f7c7090004d3a961,"NAIPES ""UNO""","Artículo mayorista NAIPES ""UNO"", presentación para reventa, categoría novedades, presentación mayorista novedades.","Artículo NAIPES ""UNO"", presentación mayorista categoría novedades, apto reventa mayorista en Paraná.","NAIPES ""UNO""|NAIPES UNO|NAIPES|Artículo",ACTUALIZAR,demo_local
6808cf9ab81c5f00044d5eb3,TERMO ACERO INOXIDABLE,"Artículo de bazar mayorista TERMO ACERO INOXIDABLE, presentación para reventa, categoría bazar.","Bazar TERMO ACERO INOXIDABLE, presentación mayorista categoría bazar, apto reventa mayorista en Paraná.",TERMO ACERO INOXIDABLE|TERMO ACERO|TERMO|Bazar,ACTUALIZAR,demo_local
6808d0563197610004e9245b,BOTELLA SPORT 750ML,"Artículo de bazar mayorista BOTELLA SPORT 750ML, presentación para reventa, categoría bazar.","Bazar BOTELLA SPORT 750ML, presentación mayorista categoría bazar, apto reventa mayorista en Paraná.",BOTELLA SPORT 750ML|BOTELLA SPORT|BOTELLA|Bazar,ACTUALIZAR,demo_local
6808d144625daf00047e1cc5,REPASADOR ECONOMICOS,"Artículo de blanquería mayorista REPASADOR ECONOMICOS, presentación para reventa, categoría blanqueria y novedades.","Blanquería REPASADOR ECONOMICOS, presentación mayorista categoría blanqueria y novedades, apto reventa mayorista en Paraná.",REPASADOR ECONOMICOS|REPASADOR|Blanquería,ACTUALIZAR,demo_local
6808d212625daf00047e1cc8,REPASADOR ART 973,"Artículo de blanquería mayorista REPASADOR ART 973, presentación para reventa, categoría blanqueria y novedades.","Blanquería REPASADOR ART 973, presentación mayorista categoría blanqueria y novedades.",REPASADOR ART 973|REPASADOR 973|REPASADOR|Blanquería,ACTUALIZAR,demo_local
6808d41bf0bafe000465a255,JUEGO DE SÁBANAS 2 1/2 PLAZAS,"Artículo de blanquería JUEGO DE SÁBANAS 2 1/2 PLAZAS, variedad de diseños y estampas.","Blanquería JUEGO DE SÁBANAS 2 1/2 PLAZAS, presentación mayorista para reventa.",JUEGO DE SÁBANAS 2 1/2 PLAZAS|JUEGO SÁBANAS|JUEGO|Blanquería,ACTUALIZAR,demo_local
6808d4c13b260c0004dd1a2d,JUEGO DE SÁBANAS 1 1/2 PLAZAS,"Artículo de blanquería JUEGO DE SÁBANAS 1 1/2 PLAZAS, variedad de diseños y estampas.","Blanquería JUEGO DE SÁBANAS 1 1/2 PLAZAS, presentación mayorista para reventa.",JUEGO DE SÁBANAS 1 1/2 PLAZAS|JUEGO SÁBANAS|JUEGO|Blanquería,ACTUALIZAR,demo_local
6808d63ff3178f000406fa66,MANTEL ECO CUERO 1.40X2.00 M,"Artículo de blanquería MANTEL ECO CUERO 1.40X2.00 M, medida: 1,40 x 2,00.","Blanquería MANTEL ECO CUERO 1.40X2.00 M, presentación mayorista categoría blanqueria y novedades.",MANTEL ECO CUERO 1.40X2.00 M|MANTEL ECO|MANTEL|Blanquería,ACTUALIZAR,demo_local
6808d6acf3178f000406fa67,JUEGO TOALLA Y TOALLON “WOSSEN”,"Artículo de blanquería JUEGO TOALLA Y TOALLON “WOSSEN”, variedad de colores.","Blanquería JUEGO TOALLA Y TOALLON “WOSSEN”, presentación mayorista para reventa.",JUEGO TOALLA Y TOALLON “WOSSEN”|JUEGO TOALLA|JUEGO|Wossen|Toalla|Toallon,ACTUALIZAR,demo_local
6808d9502f28fc00048686ee,TOALLÓN PONCHO INFANTIL,"Artículo de blanquería TOALLÓN PONCHO INFANTIL, variedad de diseños y personajes.","Blanquería TOALLÓN PONCHO INFANTIL, presentación mayorista categoría blanqueria y novedades.",TOALLÓN PONCHO INFANTIL|TOALLÓN PONCHO|TOALLÓN|Blanquería,ACTUALIZAR,demo_local
6808d99fcf60490004aecbe3,CORTINA DE BAÑO DE PVC,"Artículo de blanquería CORTINA DE BAÑO DE PVC, gran variedad de diseños disponibles.","Blanquería CORTINA DE BAÑO DE PVC, presentación mayorista para reventa.",CORTINA DE BAÑO DE PVC|CORTINA BAÑO|CORTINA|Blanquería,ACTUALIZAR,demo_local
68092a4a7b096f00046bfec4,GORRAS DE MARCAS,"Gorra mayorista GORRAS DE MARCAS, presentación para reventa, categoría gorras de verano.","Gorra GORRAS DE MARCAS, presentación mayorista categoría gorras de verano.",GORRAS DE MARCAS|GORRAS|Gorra,ACTUALIZAR,demo_local
68092bb47b096f00046bfec9,CAPELINA CON OREJITAS NENA,"Gorra mayorista CAPELINA CON OREJITAS NENA, presentación para reventa, categoría gorras de verano.","Gorra CAPELINA CON OREJITAS NENA, presentación mayorista categoría gorras de verano.",CAPELINA CON OREJITAS NENA|CAPELINA OREJITAS|CAPELINA|Gorra,ACTUALIZAR,demo_local
680936d8cc71820004c437f6,GORRA LISA POLIESTER,"Gorra mayorista GORRA LISA POLIESTER, presentación para reventa, categoría gorras de verano.","Gorra GORRA LISA POLIESTER, presentación mayorista categoría gorras de verano.",GORRA LISA POLIESTER|GORRA LISA|GORRA,ACTUALIZAR,demo_local
680938dfa4b14c00041e3754,GORRA INFANTIL,"Gorra mayorista GORRA INFANTIL, presentación para reventa, categoría gorras de verano.","Gorra GORRA INFANTIL, presentación mayorista categoría gorras de verano, apto reventa mayorista en Paraná.",GORRA INFANTIL|GORRA,ACTUALIZAR,demo_local
68306c4f4da4c2000449f14a,COMBO 48 TENIS ANIMADAS/MARCAS,"Combo COMBO 48 TENIS ANIMADAS/MARCAS, el combo incluye 48 (4 docenas) de tenis animadas y, x48 unidades.","Combo COMBO 48 TENIS ANIMADAS/MARCAS, presentación mayorista categoría combos.",COMBO 48 TENIS ANIMADAS/MARCAS|TENIS ANIMADAS|TENIS|Combo,ACTUALIZAR,demo_local
685ae40aa9b8640004a8e575,"PERFUME ÁRABE ""CLUB DE NUIT"" 105ML","Perfume PERFUME ÁRABE ""CLUB DE NUIT"" 105ML, el precio equivale a un perfume.","Perfume PERFUME ÁRABE ""CLUB DE NUIT"" 105ML, presentación mayorista categoría perfumes.","PERFUME ÁRABE ""CLUB DE NUIT"" 105ML|PERFUME ÁRABE|PERFUME",ACTUALIZAR,demo_local
685ae4744e0f7a00049e1f4b,"PERFUME ÁRABE ""AMBER OUD""  105ML","Perfume PERFUME ÁRABE ""AMBER OUD"" 105ML, el precio equivale a un perfume.","Perfume PERFUME ÁRABE ""AMBER OUD"" 105ML, perfume PERFUME ÁRABE ""AMBER OUD"" 105ML, el precio equivale a, 105 ml.","PERFUME ÁRABE ""AMBER OUD"" 105ML|PERFUME ÁRABE|PERFUME",ACTUALIZAR,demo_local
685c6a2766443e00047238b7,MANTA FLANEL LISA 2 PLAZAS,"Artículo de blanquería MANTA FLANEL LISA 2 PLAZAS, 2 plazas.","Blanquería MANTA FLANEL LISA 2 PLAZAS, presentación mayorista para reventa.",MANTA FLANEL LISA 2 PLAZAS|MANTA FLANEL|MANTA|Blanquería,ACTUALIZAR,demo_local
6877e397ec07430004761282,FRAZADA PARA BEBÉ X 2 UNIDADES,"Artículo de blanquería FRAZADA PARA BEBÉ X 2 UNIDADES, antialegicas, x2 unidades.","Blanquería FRAZADA PARA BEBÉ X 2 UNIDADES, presentación mayorista categoría blanqueria y novedades.",FRAZADA PARA BEBÉ X 2 UNIDADES|FRAZADA BEBÉ|FRAZADA|Blanquería,ACTUALIZAR,demo_local
6877f20a45cea10004ebc396,"FRAZADA 2 1/2 PLAZAS ""TERRENAL""","Artículo de blanquería FRAZADA 2 1/2 PLAZAS ""TERRENAL"", terminacion con costura detallada y acabado de razo.","Blanquería FRAZADA 2 1/2 PLAZAS ""TERRENAL"", presentación mayorista para reventa.","FRAZADA 2 1/2 PLAZAS ""TERRENAL""|FRAZADA PLAZAS|FRAZADA|Terrenal|Blanquería",ACTUALIZAR,demo_local
6877f25f7118860004171422,"FRAZADA 1 1/2 PLAZAS ""TERRENAL""","Artículo de blanquería FRAZADA 1 1/2 PLAZAS ""TERRENAL"", terminacion con costura detallada y acabado de razo.","Blanquería FRAZADA 1 1/2 PLAZAS ""TERRENAL"", presentación mayorista para reventa.","FRAZADA 1 1/2 PLAZAS ""TERRENAL""|FRAZADA PLAZAS|FRAZADA|Terrenal|Blanquería",ACTUALIZAR,demo_local
687829b1fa95a9000460d440,SONNY ANGEL LABUBU Y FRUTA DECORATIVO OFERTON,"Juguete SONNY ANGEL LABUBU Y FRUTA DECORATIVO OFERTON, juguete sorpresa, adaptativo a cualquier tipo de dispositivo. viene en.","Juguete SONNY ANGEL LABUBU Y FRUTA DECORATIVO OFERTON, presentación mayorista para reventa.",SONNY ANGEL LABUBU Y FRUTA DECORATIVO OFERTON|SONNY ANGEL|SONNY|Labubu|Juguete,ACTUALIZAR,demo_local
68782bc0fa95a9000460d444,LLAVERO LABUBU CON ROPA,"Juguete LLAVERO LABUBU CON ROPA, llavero labubu monster. edicion limitada coca cola. empaque sorpresa, pueden.","Juguete LLAVERO LABUBU CON ROPA, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",LLAVERO LABUBU CON ROPA|LLAVERO LABUBU|LLAVERO|Labubu|Juguete,ACTUALIZAR,demo_local
68782da9575f4d0004f4c0de,PELUCHE CAPIBARA CON LUZ Y SONIDO,"Juguete PELUCHE CAPIBARA CON LUZ Y SONIDO, peluche de capibara con luz y sonido. 3 diferentes modos.","Juguete PELUCHE CAPIBARA CON LUZ Y SONIDO, presentación mayorista para reventa.",PELUCHE CAPIBARA CON LUZ Y SONIDO|PELUCHE CAPIBARA|PELUCHE|Capibara|Juguete,ACTUALIZAR,demo_local
687fd63de04629000442baa5,MONEDERO CAPIBARA,"Juguete mayorista MONEDERO CAPIBARA, presentación para reventa, categoría juguetes, presentación mayorista juguetes.","Juguete MONEDERO CAPIBARA, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",MONEDERO CAPIBARA|MONEDERO|Capibara|Juguete,ACTUALIZAR,demo_local
687fdb2caafbe40004ebc612,DISPENSER MINI PATO Y CAPIBARA,"Juguete DISPENSER MINI PATO Y CAPIBARA, dispenser mini para niños, modelos de pato y capibara.","Juguete DISPENSER MINI PATO Y CAPIBARA, presentación mayorista para reventa.",DISPENSER MINI PATO Y CAPIBARA|DISPENSER MINI|DISPENSER|Capibara|Juguete,ACTUALIZAR,demo_local
687ffe74d760110004860432,MONOPATIN DE CAPIBARA CON LUCES Y MUSICA,"Juguete MONOPATIN DE CAPIBARA CON LUCES Y MUSICA, monopatin de capibara.","Juguete MONOPATIN DE CAPIBARA CON LUCES Y MUSICA, presentación mayorista para reventa.",MONOPATIN DE CAPIBARA CON LUCES Y MUSICA|MONOPATIN CAPIBARA|MONOPATIN|Capibara|Juguete,ACTUALIZAR,demo_local
688002d4f0c4760004bc0aa7,SET X3 MUÑECOS CHIFLES,"Juguete mayorista SET X3 MUÑECOS CHIFLES, presentación para reventa, categoría juguetes.","Juguete SET X3 MUÑECOS CHIFLES, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",SET X3 MUÑECOS CHIFLES|MUÑECOS CHIFLES|MUÑECOS|Juguete,ACTUALIZAR,demo_local
6880082c41e2e8000499747d,CABEZA MUSICAL LABUBU OFERTA,"Juguete mayorista CABEZA MUSICAL LABUBU OFERTA, presentación para reventa, categoría juguetes.","Juguete CABEZA MUSICAL LABUBU OFERTA, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",CABEZA MUSICAL LABUBU OFERTA|CABEZA MUSICAL|CABEZA|Labubu|Juguete,ACTUALIZAR,demo_local
688008740416e700046fdf41,LABUBU CANDY SORPRESA OFERTA,"Juguete LABUBU CANDY SORPRESA OFERTA, labubu tamaño y estilo llavero.","Juguete LABUBU CANDY SORPRESA OFERTA, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",LABUBU CANDY SORPRESA OFERTA|LABUBU CANDY|LABUBU|Juguete,ACTUALIZAR,demo_local
688008bb0416e700046fdf42,LABUBU CON ROPA EN CAJA TRANSPARENTE,"Juguete mayorista LABUBU CON ROPA EN CAJA TRANSPARENTE, presentación para reventa, categoría juguetes.","Juguete LABUBU CON ROPA EN CAJA TRANSPARENTE, presentación mayorista para reventa.",LABUBU CON ROPA EN CAJA TRANSPARENTE|LABUBU ROPA|LABUBU|Juguete,ACTUALIZAR,demo_local
688010cbd68cda0004271963,PILOTO DE LLUVIA INFANTIL,"Artículo mayorista PILOTO DE LLUVIA INFANTIL, presentación para reventa, categoría novedades.","Artículo PILOTO DE LLUVIA INFANTIL, presentación mayorista categoría novedades, apto reventa mayorista en Paraná.",PILOTO DE LLUVIA INFANTIL|PILOTO LLUVIA|PILOTO|Artículo,ACTUALIZAR,demo_local
6880123c9e463c00046ed0c0,PELUCHE LABUBU GIGANTE,"Juguete mayorista PELUCHE LABUBU GIGANTE, presentación para reventa, categoría juguetes.","Juguete PELUCHE LABUBU GIGANTE, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",PELUCHE LABUBU GIGANTE|PELUCHE LABUBU|PELUCHE|Labubu|Juguete,ACTUALIZAR,demo_local
688408fe53a62100046f6aab,SLIME CHICO,"Juguete SLIME CHICO, slime de alien, tortuga, papita, sapo, perrito y animales. con.","Juguete SLIME CHICO, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",SLIME CHICO|SLIME|Juguete,ACTUALIZAR,demo_local
68840a8553a62100046f6aac,SLIME MEDIANO,"Juguete SLIME MEDIANO, slime mediano de popit, zapatilla nike, cubo rubik, pelota futbol.","Juguete SLIME MEDIANO, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",SLIME MEDIANO|SLIME|Juguete,ACTUALIZAR,demo_local
68840b6753a62100046f6aae,SLIME GRANDE MUÑECOS,"Juguete SLIME GRANDE MUÑECOS, slime grande con muñecos de astronauta, capibara, princesa. con bolitas.","Juguete SLIME GRANDE MUÑECOS, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",SLIME GRANDE MUÑECOS|SLIME GRANDE|SLIME|Juguete,ACTUALIZAR,demo_local
68840d0fd4311300046763f5,SQUISHY OREO/PULPO,"Juguete SQUISHY OREO/PULPO, squishy de oreo y pulpo. oreos vienen en dos colores.","Juguete SQUISHY OREO/PULPO, presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",SQUISHY OREO/PULPO|SQUISHY OREO|SQUISHY|Juguete,ACTUALIZAR,demo_local
68840dc5d4311300046763f8,SQUISHY ARDILLA/DINO REX/FRUTILLA/BANANA,"Juguete SQUISHY ARDILLA/DINO REX/FRUTILLA/BANANA, squishy de ardilla, dino rex, frutilla y banana. varos colosres.","Juguete SQUISHY ARDILLA/DINO REX/FRUTILLA/BANANA, presentación mayorista categoría juguetes.",SQUISHY ARDILLA/DINO REX/FRUTILLA/BANANA|SQUISHY ARDILLA|SQUISHY|Juguete,ACTUALIZAR,demo_local
6884de9743d0280004d459cd,SQUISHY CALVERA/PATITO/MURCIELAGO/PELOTA PASTEL,"Juguete SQUISHY CALVERA/PATITO/MURCIELAGO/PELOTA PASTEL, squishy de calavera, patito, murcielago, pelota pastel.","Juguete SQUISHY CALVERA/PATITO/MURCIELAGO/PELOTA PASTEL, presentación mayorista categoría juguetes.",SQUISHY CALVERA/PATITO/MURCIELAGO/PELOTA PASTEL|SQUISHY CALVERA|SQUISHY|Juguete,ACTUALIZAR,demo_local
688a9c621006a700042d19b5,VELADOR  CAPIBARA (25057),"Juguete mayorista VELADOR  CAPIBARA (25057), presentación para reventa, categoría juguetes.","Juguete VELADOR CAPIBARA (25057), presentación mayorista categoría juguetes, apto reventa mayorista en Paraná.",VELADOR CAPIBARA (25057)|VELADOR CAPIBARA|VELADOR|Capibara|Juguete,ACTUALIZAR,demo_local
