product_code,nombre,descripcion
CIP-0160,AYUDIN BAÑOS DP 450CC,"Desinfectante AYUDIN BAÑOS DP 450CC, marca Ayudin, 450 cc, línea Ciprés Limpieza, Villa Constitución."
CIP-0161,AYUDIN CANASTA SOLIDA X 16GR,"Aromatizante AYUDIN CANASTA SOLIDA X 16GR, marca Ayudin, 16 g."
CIP-0162,AYUDIN DESINFEC. AEROSOL - BEBE,"Aromatizante de ambientes AYUDIN DESINFEC. AEROSOL - BEBE, marca Ayudin."
CIP-0163,AYUDIN DESINFEC. AEROSOL - FREC. MATINAL,"Aromatizante de ambientes AYUDIN DESINFEC. AEROSOL - FREC. MATINAL, marca Ayudin."
CIP-0167,AYUDIN ROPA COLOR X 400CC,"Desinfectante AYUDIN ROPA COLOR X 400CC, marca Ayudin, 400 cc."
CIP-0168,AYUDIN ROPA COLOR X 650CC,"Desinfectante AYUDIN ROPA COLOR X 650CC, marca Ayudin, 650 cc."
CIP-0169,AYUDIN TOALLITA DESINFEC. REP X 24 - FRESCO,"Desinfectante AYUDIN TOALLITA DESINFEC. REP X 24 - FRESCO, marca Ayudin."
CIP-0170,AYUDIN TOALLITA DESINFEC. REP X 24 - LIMON,"Desinfectante AYUDIN TOALLITA DESINFEC. REP X 24 - LIMON, marca Ayudin."
CIP-0171,BARRA IONIZADOR VULCANO,"Producto para pileta BARRA IONIZADOR VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0172,BLOQUE PARA MOCHILAS X 1 URBAN FRESH,"Aromatizante BLOQUE PARA MOCHILAS X 1 URBAN FRESH, marca Urban Fresh."
CIP-0173,BLOQUE PARA MOCHILAS X 2 URBAN FRESH,"Aromatizante BLOQUE PARA MOCHILAS X 2 URBAN FRESH, marca Urban Fresh."
CIP-0174,BOMBA PISCINA VULCANO BAE 033 - 033HP,"Producto para pileta BOMBA PISCINA VULCANO BAE 033 - 033HP, marca Vulcano."
CIP-0175,BOMBA PISCINA VULCANO BAE 050 - 0.50 HP,"Producto para pileta BOMBA PISCINA VULCANO BAE 050 - 0.50 HP, marca Vulcano."
CIP-0176,BOMBA PISCINA VULCANO BAE 075 - 0.75HP,"Producto para pileta BOMBA PISCINA VULCANO BAE 075 - 0.75HP, marca Vulcano."
CIP-0177,BOMBA PISCINA VULCANO BAF 033 CON CARTUCHO,"Producto para pileta BOMBA PISCINA VULCANO BAF 033 CON CARTUCHO, marca Vulcano."
CIP-0178,BOYA DOSIFICADORA-REFORZADA VULCANO,"Producto para pileta BOYA DOSIFICADORA-REFORZADA VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución."
CIP-0179,BOYA GRANDE CIPCLOR,"Desinfectante BOYA GRANDE CIPCLOR, marca Cipclor, línea Ciprés Limpieza, Villa Constitución."
CIP-0183,CANASTA LIQUIDA URBAN FRESH - FLORAL,"Aromatizante CANASTA LIQUIDA URBAN FRESH - FLORAL, marca Urban Fresh."
CIP-0184,CANASTA LIQUIDA URBAN FRESH - LAVANDA,"Aromatizante CANASTA LIQUIDA URBAN FRESH - LAVANDA, marca Urban Fresh."
CIP-0185,CANASTA LIQUIDA URBAN FRESH - LIMON,"Aromatizante CANASTA LIQUIDA URBAN FRESH - LIMON, marca Urban Fresh."
CIP-0186,CANASTA SOLIDA 5 EN 1 URBAN FRESH - FLORAL,"Aromatizante CANASTA SOLIDA 5 EN 1 URBAN FRESH - FLORAL, marca Urban Fresh."
