product_code,precio_unidad,is_mock
CIP-0001,4486.00,true
CIP-0002,17551.00,true
CIP-0003,2240.00,true
CIP-0004,2240.00,true
CIP-0005,2240.00,true
CIP-0006,2240.00,true
CIP-0007,2980.00,true
CIP-0008,2980.00,true
CIP-0009,1930.00,true
CIP-0010,1930.00,true
CIP-0011,4470.00,true
CIP-0012,4470.00,true
CIP-0013,4470.00,true
CIP-0014,4470.00,true
CIP-0015,3230.00,true
CIP-0016,3230.00,true
CIP-0017,3230.00,true
CIP-0018,3230.00,true
CIP-0019,3230.00,true
CIP-0020,3230.00,true
CIP-0021,3230.00,true
CIP-0022,957.00,true
CIP-0023,1933.00,true
CIP-0024,3377.00,true
CIP-0025,4520.00,true
CIP-0026,4520.00,true
CIP-0027,4520.00,true
CIP-0028,4520.00,true
CIP-0029,4520.00,true
CIP-0030,4520.00,true
CIP-0031,4520.00,true
CIP-0032,4520.00,true
CIP-0033,4520.00,true
CIP-0034,4520.00,true
CIP-0035,4520.00,true
CIP-0036,4520.00,true
CIP-0037,4520.00,true
CIP-0038,4520.00,true
CIP-0039,4520.00,true
CIP-0040,4520.00,true
CIP-0041,4520.00,true
CIP-0042,4520.00,true
CIP-0043,4520.00,true
CIP-0044,4520.00,true
CIP-0045,4520.00,true
CIP-0046,4520.00,true
CIP-0047,4520.00,true
CIP-0048,4520.00,true
CIP-0049,4520.00,true
CIP-0050,4520.00,true
CIP-0051,4520.00,true
CIP-0052,4520.00,true
CIP-0053,4520.00,true
CIP-0054,4520.00,true
CIP-0055,4520.00,true
CIP-0056,4520.00,true
CIP-0057,4520.00,true
CIP-0058,4520.00,true
CIP-0059,4520.00,true
CIP-0060,4520.00,true
CIP-0061,4520.00,true
CIP-0062,4520.00,true
CIP-0063,4520.00,true
CIP-0064,4520.00,true
CIP-0065,4520.00,true
CIP-0066,4520.00,true
CIP-0067,4520.00,true
CIP-0068,4520.00,true
CIP-0069,4520.00,true
CIP-0070,4520.00,true
CIP-0071,4520.00,true
CIP-0072,4520.00,true
CIP-0073,4520.00,true
CIP-0074,4520.00,true
CIP-0075,4520.00,true
CIP-0076,4520.00,true
CIP-0077,4520.00,true
CIP-0078,4520.00,true
CIP-0079,4520.00,true
CIP-0080,4520.00,true
CIP-0081,4520.00,true
CIP-0082,4520.00,true
CIP-0083,4520.00,true
CIP-0084,4520.00,true
CIP-0085,4520.00,true
CIP-0086,4520.00,true
CIP-0087,4520.00,true
CIP-0088,4520.00,true
CIP-0089,4520.00,true
CIP-0090,4520.00,true
CIP-0091,4520.00,true
CIP-0092,4520.00,true
CIP-0093,4520.00,true
CIP-0094,4520.00,true
CIP-0095,4520.00,true
CIP-0096,4520.00,true
CIP-0097,4520.00,true
CIP-0098,4520.00,true
CIP-0099,4520.00,true
CIP-0100,4520.00,true
CIP-0101,4520.00,true
CIP-0102,4520.00,true
CIP-0103,4520.00,true
CIP-0104,4520.00,true
CIP-0105,4520.00,true
CIP-0106,4520.00,true
CIP-0107,4520.00,true
CIP-0108,4520.00,true
CIP-0109,4520.00,true
CIP-0110,4520.00,true
CIP-0111,4520.00,true
CIP-0112,4520.00,true
CIP-0113,4520.00,true
CIP-0114,4520.00,true
CIP-0115,2820.00,true
CIP-0116,2820.00,true
CIP-0117,2820.00,true
CIP-0118,2820.00,true
CIP-0119,2820.00,true
CIP-0120,2820.00,true
CIP-0121,2820.00,true
CIP-0122,2820.00,true
CIP-0123,2820.00,true
CIP-0124,2820.00,true
CIP-0125,2820.00,true
CIP-0126,2820.00,true
CIP-0127,4820.00,true
CIP-0128,3730.00,true
CIP-0129,5720.00,true
CIP-0130,7740.00,true
CIP-0131,5720.00,true
CIP-0132,11420.00,true
CIP-0133,2460.00,true
CIP-0134,2460.00,true
CIP-0135,2460.00,true
CIP-0136,2460.00,true
CIP-0137,2460.00,true
CIP-0138,2460.00,true
CIP-0139,2460.00,true
CIP-0140,2460.00,true
CIP-0141,2460.00,true
CIP-0142,2460.00,true
CIP-0143,2460.00,true
CIP-0144,2460.00,true
CIP-0145,2460.00,true
CIP-0146,2460.00,true
CIP-0147,2460.00,true
CIP-0148,2460.00,true
CIP-0149,2460.00,true
CIP-0150,2460.00,true
CIP-0151,2460.00,true
CIP-0152,2460.00,true
CIP-0153,2460.00,true
CIP-0154,2460.00,true
CIP-0155,2460.00,true
CIP-0156,2460.00,true
CIP-0157,2460.00,true
CIP-0158,2460.00,true
CIP-0159,1980.00,true
CIP-0160,2130.00,true
CIP-0161,3360.00,true
CIP-0162,3210.00,true
CIP-0163,3210.00,true
CIP-0164,3210.00,true
CIP-0165,2320.00,true
CIP-0166,2946.00,true
CIP-0167,2470.00,true
CIP-0168,677.00,true
CIP-0169,3960.00,true
CIP-0170,3960.00,true
CIP-0171,48679.00,true
CIP-0172,1995.00,true
CIP-0173,3205.00,true
CIP-0174,258206.00,true
CIP-0175,259690.00,true
CIP-0176,270158.00,true
CIP-0177,286355.00,true
CIP-0178,6839.00,true
CIP-0179,2150.00,true
CIP-0180,24591.00,true
CIP-0181,30389.00,true
CIP-0182,38822.00,true
CIP-0183,2982.00,true
CIP-0184,2982.00,true
CIP-0185,2982.00,true
CIP-0186,3828.00,true
CIP-0187,3828.00,true
CIP-0188,3828.00,true
CIP-0189,3549.00,true
CIP-0190,4961.00,true
CIP-0191,69524.00,true
CIP-0192,16639.00,true
CIP-0193,5520.00,true
CIP-0194,4130.00,true
CIP-0195,5220.00,true
CIP-0196,2170.00,true
CIP-0197,4310.00,true
CIP-0198,4310.00,true
CIP-0199,4310.00,true
CIP-0200,4310.00,true
CIP-0201,4781.00,true
CIP-0202,1280.00,true
CIP-0203,7810.00,true
CIP-0204,7810.00,true
CIP-0205,4530.00,true
CIP-0206,1864.00,true
CIP-0207,8404.00,true
CIP-0208,7669.00,true
CIP-0209,2460.00,true
CIP-0210,2460.00,true
CIP-0211,2460.00,true
CIP-0212,2460.00,true
CIP-0213,2460.00,true
CIP-0214,2460.00,true
CIP-0215,2500.00,true
CIP-0216,2580.00,true
CIP-0217,4590.00,true
CIP-0218,4590.00,true
CIP-0219,4590.00,true
CIP-0220,4590.00,true
CIP-0221,4590.00,true
CIP-0222,4590.00,true
CIP-0223,4060.00,true
CIP-0224,4060.00,true
CIP-0225,4060.00,true
CIP-0226,4060.00,true
CIP-0227,751.00,true
CIP-0228,4140.00,true
CIP-0229,6040.00,true
CIP-0230,6040.00,true
CIP-0231,3560.00,true
CIP-0232,3560.00,true
CIP-0233,6150.00,true
CIP-0234,5710.00,true
CIP-0235,14870.00,true
CIP-0236,3050.00,true
CIP-0237,2080.00,true
