product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
CIP-0001,3 EN 1 CIPCLOR,4141.00,475,1,unidad,unidad,Limpieza del hogar,Desinfectantes,Lavandinas y desinfectantes,Cipclor,3 EN 1 CIPCLOR|Cipclor|Cipclor 3|3 EN|CIP-0001,0.9500,1.0000,"Desinfectante 3 EN 1 CIPCLOR, marca Cipclor, línea Ciprés Limpieza, Villa Constitución.",https://images.unsplash.com/photo-1563453392212-326f5e854473?w=400,true,true,cipres
CIP-0002,3 EN 1 CIPCLOR X 5LT,16201.00,475,1,unidad,unidad,Limpieza del hogar,Desinfectantes,Lavandinas y desinfectantes,Cipclor,3 EN 1 CIPCLOR X 5LT|Cipclor|Cipclor 3|3 EN|CIP-0002,0.9497,0.9993,"Desinfectante 3 EN 1 CIPCLOR X 5LT, marca Cipclor, 5 L.",https://images.unsplash.com/photo-1563453392212-326f5e854473?w=400,true,true,cipres
CIP-0003,ACONDICIONADOR ALGABO X 300CC DOY PACK - AGUACATE Y,1580.00,475,1,unidad,unidad,Cuidado personal,Cabello,Acondicionador,Algabo,ACONDICIONADOR ALGABO X 300CC DOY PACK - AGUACATE Y|Algabo|Algabo ACONDICIONADOR|ACONDICIONADOR ALGABO X 300CC DOY PACK AGUACATE Y|ACONDICIONADOR ALGABO|CIP-0003,0.9494,0.9985,"Acondicionador ACONDICIONADOR ALGABO X 300CC DOY PACK - AGUACATE Y, marca Algabo, 300 cc.",https://images.unsplash.com/photo-1556228720-195a609e8dba?w=400,true,true,cipres
CIP-0004,ACONDICIONADOR ALGABO X 300CC DOY PACK - COCO Y LEC,1580.00,475,1,unidad,unidad,Cuidado personal,Cabello,Acondicionador,Algabo,ACONDICIONADOR ALGABO X 300CC DOY PACK - COCO Y LEC|Algabo|Algabo ACONDICIONADOR|ACONDICIONADOR ALGABO X 300CC DOY PACK COCO Y LEC|ACONDICIONADOR ALGABO|CIP-0004,0.9491,0.9978,"Acondicionador ACONDICIONADOR ALGABO X 300CC DOY PACK - COCO Y LEC, marca Algabo, 300 cc.",https://images.unsplash.com/photo-1556228720-195a609e8dba?w=400,true,true,cipres
CIP-0005,ACONDICIONADOR ALGABO X 300CC DOY PACK - MANZ Y MAG,1580.00,474,1,unidad,unidad,Cuidado personal,Cabello,Acondicionador,Algabo,ACONDICIONADOR ALGABO X 300CC DOY PACK - MANZ Y MAG|Algabo|Algabo ACONDICIONADOR|ACONDICIONADOR ALGABO X 300CC DOY PACK MANZ Y MAG|ACONDICIONADOR ALGABO|CIP-0005,0.9488,0.9970,"Acondicionador ACONDICIONADOR ALGABO X 300CC DOY PACK - MANZ Y MAG, marca Algabo, 300 cc.",https://images.unsplash.com/photo-1556228720-195a609e8dba?w=400,true,true,cipres
CIP-0006,ACONDICIONADOR ALGABO X 300CC DOY PACK - PEPINO Y T,1580.00,474,1,unidad,unidad,Cuidado personal,Cabello,Acondicionador,Algabo,ACONDICIONADOR ALGABO X 300CC DOY PACK - PEPINO Y T|Algabo|Algabo ACONDICIONADOR|ACONDICIONADOR ALGABO X 300CC DOY PACK PEPINO Y T|ACONDICIONADOR ALGABO|CIP-0006,0.9485,0.9963,"Acondicionador ACONDICIONADOR ALGABO X 300CC DOY PACK - PEPINO Y T, marca Algabo, 300 cc.",https://images.unsplash.com/photo-1556228720-195a609e8dba?w=400,true,true,cipres
CIP-0007,ACONDICIONADOR ALGABO X 930CC - AGUAC Y AR,2870.00,474,1,unidad,unidad,Cuidado personal,Cabello,Acondicionador,Algabo,ACONDICIONADOR ALGABO X 930CC - AGUAC Y AR|Algabo|Algabo ACONDICIONADOR|ACONDICIONADOR ALGABO X 930CC AGUAC Y AR|ACONDICIONADOR ALGABO|CIP-0007,0.9482,0.9955,"Acondicionador ACONDICIONADOR ALGABO X 930CC - AGUAC Y AR, marca Algabo, 930 cc.",https://images.unsplash.com/photo-1556228720-195a609e8dba?w=400,true,true,cipres
CIP-0008,ACONDICIONADOR ALGABO X 930CC - MANZANILLA,2870.00,474,1,unidad,unidad,Cuidado personal,Cabello,Acondicionador,Algabo,ACONDICIONADOR ALGABO X 930CC - MANZANILLA|Algabo|Algabo ACONDICIONADOR|ACONDICIONADOR ALGABO X 930CC MANZANILLA|ACONDICIONADOR ALGABO|CIP-0008,0.9479,0.9948,"Acondicionador ACONDICIONADOR ALGABO X 930CC - MANZANILLA, marca Algabo, 930 cc.",https://images.unsplash.com/photo-1556228720-195a609e8dba?w=400,true,true,cipres
CIP-0009,ACONDICIONADOR PLUSBELLE ESENCIA DP X 300,1850.00,474,1,unidad,unidad,Aromatización,Esencias,Esencias para hornito,Plusbelle,ACONDICIONADOR PLUSBELLE ESENCIA DP X 300|Plusbelle|Plusbelle ACONDICIONADOR|ACONDICIONADOR PLUSBELLE|CIP-0009,0.9476,0.9941,"Esencia aromática ACONDICIONADOR PLUSBELLE ESENCIA DP X 300, marca Plusbelle.",https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=400,true,true,cipres
CIP-0010,ACONDICIONADOR PLUSBELLE ESENCIA DP X 300 - RESTAURACION,1850.00,474,1,unidad,unidad,Aromatización,Esencias,Esencias para hornito,Plusbelle,ACONDICIONADOR PLUSBELLE ESENCIA DP X 300 - RESTAURACION|Plusbelle|Plusbelle ACONDICIONADOR|ACONDICIONADOR PLUSBELLE ESENCIA DP X 300 RESTAURACION|ACONDICIONADOR PLUSBELLE|CIP-0010,0.9473,0.9933,"Esencia aromática ACONDICIONADOR PLUSBELLE ESENCIA DP X 300 - RESTAURACION, marca Plusbelle.",https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=400,true,true,cipres
