numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Limpieza Total,Limpieza Total,5493587905250,2,1,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.214397,-60.354019,true
2,Pro Limpio,Pro Limpio,5493582641213,3,2,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.214436,-60.348122,true
3,Hogar Brillante,Hogar Brillante,5492991227644,4,3,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.214243,-60.354234,true
4,Todo en Limpieza,Todo en Limpieza,5493418277249,1,4,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.217001,-60.350607,true
5,Soluciones de Mantenimiento,Soluciones de Mantenimiento,5493587747641,2,5,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.217237,-60.35122,true
6,Insumos y Más,Insumos y Más,5492614053074,3,6,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.217999,-60.345059,true
7,Limpieza Express,Limpieza Express,5493514079279,4,7,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.217379,-60.345798,true
8,Mantenimiento Eficaz,Mantenimiento Eficaz,5493876914178,1,8,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.218744,-60.352534,true
9,Productos del Hogar,Productos del Hogar,5492617175545,2,9,lunes,martes,"Zona ZONA NOROESTE - Barrio El Cruce - Villa Constitución, Santa Fe, Argentina",Juan Pérez,0,0,-33.213651,-60.346815,true
10,Limpieza y Cuidado,Limpieza y Cuidado,5493818437953,3,10,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.218166,-60.33235,true
11,Fábrica de Jabones,Fábrica de Jabones,5493582132179,4,11,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.212428,-60.327739,true
12,Limpieza Profunda,Limpieza Profunda,5493872845902,1,12,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.218628,-60.324827,true
13,Todo para el Hogar,Todo para el Hogar,5492997670210,2,13,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.214905,-60.333501,true
14,Insumos de Calidad,Insumos de Calidad,5493811657614,3,14,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.218197,-60.330075,true
15,Limpieza Profesional,Limpieza Profesional,5492994145193,4,15,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.219671,-60.325372,true
16,Hogar Limpio,Hogar Limpio,5493515971311,1,16,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.214569,-60.333943,true
17,Brillo Natural,Brillo Natural,5492994228106,2,17,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.21764,-60.331492,true
18,Limpieza Segura,Limpieza Segura,5492998718887,3,18,martes,miercoles,"Zona ZONA NORTE - Barrio San José - Villa Constitución, Santa Fe, Argentina",María González,1,1,-33.215588,-60.327001,true
19,Limpieza y Mantenimiento,Limpieza y Mantenimiento,5492995028869,4,19,miercoles,jueves,"Zona ZONA NORESTE - Barrio La Paz - Villa Constitución, Santa Fe, Argentina",María González,1,2,-33.212959,-60.313888,true
20,Todo Limpio,Todo Limpio,5493517304254,1,20,miercoles,jueves,"Zona ZONA NORESTE - Barrio La Paz - Villa Constitución, Santa Fe, Argentina",María González,1,2,-33.212668,-60.308646,true
21,Limpieza Verde,Limpieza Verde,5493416986538,2,21,miercoles,jueves,"Zona ZONA NORESTE - Barrio La Paz - Villa Constitución, Santa Fe, Argentina",María González,1,2,-33.220272,-60.311143,true
22,Limpieza Fácil,Limpieza Fácil,5492619239862,3,22,miercoles,jueves,"Zona ZONA NORESTE - Barrio La Paz - Villa Constitución, Santa Fe, Argentina",María González,1,2,-33.219102,-60.310112,true
