pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Limpieza Total,2026-03-01 08:00:00,confirmado,25494.00,Pedido historico mock - Limpieza Total,true,false,2
P-00002,25001,5493587905250,Limpieza Total,2026-03-18 09:19:07,entregado,35000.00,Pedido historico mock - Limpieza Total,true,false,2
P-00003,25001,5493587905250,Limpieza Total,2026-04-04 10:38:14,facturado,45720.00,Pedido historico mock - Limpieza Total,true,false,2
P-00004,25002,5493582641213,Pro Limpio,2026-03-08 11:11:23,entregado,16471.00,Pedido historico mock - Pro Limpio,true,false,3
P-00005,25002,5493582641213,Pro Limpio,2026-03-25 12:30:30,facturado,181530.00,Pedido historico mock - Pro Limpio,true,false,3
P-00006,25002,5493582641213,Pro Limpio,2026-04-11 13:49:37,confirmado,20120.00,Pedido historico mock - Pro Limpio,true,false,3
P-00007,25003,5492991227644,Hogar Brillante,2026-03-15 14:22:46,facturado,65214.00,Pedido historico mock - Hogar Brillante,true,false,4
P-00008,25003,5492991227644,Hogar Brillante,2026-04-01 15:41:53,confirmado,15750.00,Pedido historico mock - Hogar Brillante,true,false,4
P-00009,25003,5492991227644,Hogar Brillante,2026-04-18 16:00:00,entregado,13410.00,Pedido historico mock - Hogar Brillante,true,false,4
P-00010,25004,5493418277249,Todo en Limpieza,2026-03-22 17:33:09,confirmado,19770.00,Pedido historico mock - Todo en Limpieza,true,false,1
P-00011,25004,5493418277249,Todo en Limpieza,2026-04-08 08:52:16,entregado,9450.00,Pedido historico mock - Todo en Limpieza,true,false,1
P-00012,25004,5493418277249,Todo en Limpieza,2026-04-25 09:11:23,facturado,48908.00,Pedido historico mock - Todo en Limpieza,true,false,1
P-00013,25005,5493587747641,Soluciones de Mantenimiento,2026-03-29 10:44:32,entregado,5145.00,Pedido historico mock - Soluciones de Mantenimiento,true,false,2
P-00014,25005,5493587747641,Soluciones de Mantenimiento,2026-04-15 11:03:39,facturado,9180.00,Pedido historico mock - Soluciones de Mantenimiento,true,false,2
P-00015,25005,5493587747641,Soluciones de Mantenimiento,2026-05-02 12:22:46,confirmado,16260.00,Pedido historico mock - Soluciones de Mantenimiento,true,false,2
P-00016,25006,5492614053074,Insumos y Más,2026-04-05 13:55:55,facturado,63164.00,Pedido historico mock - Insumos y Más,true,false,3
P-00017,25006,5492614053074,Insumos y Más,2026-04-22 14:14:02,confirmado,19360.00,Pedido historico mock - Insumos y Más,true,false,3
P-00018,25006,5492614053074,Insumos y Más,2026-05-09 15:33:09,entregado,9630.00,Pedido historico mock - Insumos y Más,true,false,3
P-00019,25007,5493514079279,Limpieza Express,2026-04-12 16:06:18,confirmado,18450.00,Pedido historico mock - Limpieza Express,true,false,4
