product_code,nombre,descripcion
101085,ZEOCAR Lustre a Maquina(2) x 1lt (78),Producto ZEOCAR Lustre a Maquina(2) x 1lt (78) (categoria_1)
101021,KIT REPAR ZEOPARCH ZEOCAR X4L,Producto KIT REPAR ZEOPARCH ZEOCAR X4L (categoria_1)
101074,MASILLA ZEOFLEX X 0.700 Kgs,Producto MASILLA ZEOFLEX X 0.700 Kgs (categoria_1)
101072,"MASILLA UNICA X 1,45 LT.","Producto MASILLA UNICA X 1,45 LT. (categoria_1)"
101073,"MASILLA UNICA X 2,25 LT.","Producto MASILLA UNICA X 2,25 LT. (categoria_1)"
101083,ZEOCAR Paño Microfibra 40x 50 cm (90),Producto ZEOCAR Paño Microfibra 40x 50 cm (90) (categoria_1)
101028,KIT REPAR ZEOPARCH ZEOCAR X190CC,Producto KIT REPAR ZEOPARCH ZEOCAR X190CC (categoria_1)
101069,KIT REPAR ZEOPARCH ZEOCAR X 500lts,Producto KIT REPAR ZEOPARCH ZEOCAR X 500lts (categoria_1)
101024,KIT REPAR ZEOPARCH ZEOCAR X1L,Producto KIT REPAR ZEOPARCH ZEOCAR X1L (categoria_1)
11876,BINDAFIX Basico Impermeable Bolsa 25 KG,Producto BINDAFIX Basico Impermeable Bolsa 25 KG (categoria_1)
