pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios,fecha_pedido,notas
P-00001,60242,"Burlete Goma ` D ´ Blanco x 5,2 mts",4,8325.52,1,2026-03-01 03:33:16,Pedido: 4 unidades
P-00002,60251,ESPUMA POLIURET. SUPRAB. X 300 ml.(EPP PU 300 E),4,12070.36,1,2026-04-10 11:43:04,Pedido: 4 unidades
P-00002,1259,"RUST(7792) Esm.Convert. Blanco Brill X 0,946",5,28817.22,1,2026-04-10 11:43:04,Pedido: 5 unidades
P-00002,101026,PASTA PULIR ZEOCAR FINA AL AGUA X480CC,3,9150.69,1,2026-04-10 11:43:04,Pedido: 3 unidades
P-00002,821,RUST OLEUM(262191) 2X ROSA CLARO BTE 340Cm3,1,19479.62,1,2026-04-10 11:43:04,Pedido: 1 unidades
P-00003,11876,BINDAFIX Basico Impermeable Bolsa 25 KG,2,11347.13,1,2026-03-15 21:12:29,Pedido: 2 unidades
P-00004,865,RUST OLEUM(262158) 2X AMARILLO SOL BTE 340Cm3,10,19479.62,1,2026-03-20 12:27:08,Pedido: 10 unidades
P-00005,797,RUST OLEUM(249275) AUTO AMARILLO JOHN DEERE,10,32825.84,2,2026-05-01 08:01:55,Pedido: 10 unidades
P-00005,11435,Latex Ext Casablanca Frentes Talento 20 L,8,113398.52,2,2026-05-01 08:01:55,Pedido: 8 unidades
P-00006,11454,Latex Ext Casablanca Frentes Poliur.Blanco 25 Kg,5,169344.35,2,2026-05-22 01:18:30,Pedido: 5 unidades
P-00006,1371,RUST OLEUM(272076) BRILL. LACA BLANCOX 312GR,7,31020.67,2,2026-05-22 01:18:30,Pedido: 7 unidades
P-00006,1260,"RUST(7779) Esm.Convert. Negro Brill X 0,946",3,33139.8,2,2026-05-22 01:18:30,Pedido: 3 unidades
P-00006,11793,SIKADUR 32 GEL A/B X 1 KG (465119),2,93343.02,2,2026-05-22 01:18:30,Pedido: 2 unidades
P-00007,11537,POLACRIN PREM INT EXT NARANJA 1 LT.,7,9943.46,2,2026-03-13 22:52:54,Pedido: 7 unidades
P-00007,11439,LATEX INT. LAVABLE ANTIBAC. BCO x 4Lt.(81017104,8,33204.64,2,2026-03-13 22:52:54,Pedido: 8 unidades
P-00008,11541,POLACRIN PREM INT EXT CELESTE OSC 1 LT.,5,9943.46,2,2026-05-13 00:28:05,Pedido: 5 unidades
P-00009,11561,POLACRIN ESM SINT3 en 1 BLANCO 1 LT.(43981003),6,9476.54,4,2026-03-02 14:15:40,Pedido: 6 unidades
P-00009,879,RUST OLEUM (262196) 2XBRILL. AZUL SPA X 340G,2,16557.68,4,2026-03-02 14:15:40,Pedido: 2 unidades
P-00010,101015,BOBINA PAPEL TISSUE,1,16128.75,4,2026-03-08 08:53:25,Pedido: 1 unidades
P-00011,11787,SIKADUR 42 (KIT) MORTERO X 28KG,9,824391.43,4,2026-03-22 19:15:07,Pedido: 9 unidades
P-00011,11912,SIKA INERTOL INFILTR. X 20L (101568),4,57252.2,4,2026-03-22 19:15:07,Pedido: 4 unidades
P-00012,11643,SACA HOJA PLANO C/ MANGO,10,5827.3,4,2026-04-27 00:44:09,Pedido: 10 unidades
P-00012,1483,RUST OLEUM (335316) PIZARRON TRANSP. MATE 312G,1,13330.82,4,2026-04-27 00:44:09,Pedido: 1 unidades
P-00012,101021,KIT REPAR ZEOPARCH ZEOCAR X4L,5,95122.12,4,2026-04-27 00:44:09,Pedido: 5 unidades
P-00013,11484,Latex Techos Talento Mem en Pasta Blanco 20 KG.,3,106510.67,2,2026-03-09 22:16:51,Pedido: 3 unidades
P-00013,11483,Latex Int/Ext Talento Lavable Blanco 20 Lt,8,82396.2,2,2026-03-09 22:16:51,Pedido: 8 unidades
P-00014,3022,PERFILES - SOLERA 70 MM (Cod. 7002)0505070301,3,6433.66,2,2026-04-06 16:23:47,Pedido: 3 unidades
P-00015,14234,AT-35 CORNIZA 35x35x2000 1 ml.(CJA112ML),6,1177.13,2,2026-03-01 14:50:40,Pedido: 6 unidades
P-00015,101094,MASILLA PLAST POLIESTER ZEOCAR X 2.50 KG,7,28419.17,2,2026-03-01 14:50:40,Pedido: 7 unidades
