codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
101085,ZEOCAR Lustre a Maquina(2) x 1lt (78),Producto ZEOCAR Lustre a Maquina(2) x 1lt (78) (categoria_1),"Cera para pulido de automóviles ZEOCAR Lustre a Máquina, presentación de 1 litro, formulación diseñada para proporcionar un acabado brillante y duradero en superficies pintadas, apta para uso en máquinas pulidoras.",cera|pulidor|lustre|brillo|cera para auto,ACTUALIZAR
101021,KIT REPAR ZEOPARCH ZEOCAR X4L,Producto KIT REPAR ZEOPARCH ZEOCAR X4L (categoria_1),"Kit de reparación Zeoparch de 4 litros, marca Zeocar, compuesto por resina poliéster y fibra de vidrio, diseñado para reparar y reforzar superficies de carrocería, chapa y metal automotor.",kit de reparación|parche|resina|fibra de vidrio|reparador,ACTUALIZAR
101074,MASILLA ZEOFLEX X 0.700 Kgs,Producto MASILLA ZEOFLEX X 0.700 Kgs (categoria_1),"Masilla poliéster de dos componentes Zeoflex de 0,7 kg, formulada con resinas poliéster y catalizador de peróxido de benzoílo, diseñada para reparar abolladuras y cubrir imperfecciones en superficies plásticas y metálicas.",masilla|pasta|relleno|endurecedor|poliéster,ACTUALIZAR
101072,"MASILLA UNICA X 1,45 LT.","Producto MASILLA UNICA X 1,45 LT. (categoria_1)","Masilla Única de la marca Zeocar, presentada en envase de 1,45 litros, masilla poliéster formulada para reparar y nivelar superficies de carrocería automotor, chapa y plástico, con acabado liso y fácil aplicación.",masilla|pasta para reparar|masilla plástica|reparador|pasta niveladora,ACTUALIZAR
101073,"MASILLA UNICA X 2,25 LT.","Producto MASILLA UNICA X 2,25 LT. (categoria_1)","Masilla Única de la marca Zeocar, masilla poliéster de reparación y nivelación para carrocería automotor, chapa y plástico, presentada en envase de 2,25 litros, con acabado liso y fácil aplicación.",masilla|relleno|pasta|masilla automotor,ACTUALIZAR
101083,ZEOCAR Paño Microfibra 40x 50 cm (90),Producto ZEOCAR Paño Microfibra 40x 50 cm (90) (categoria_1),"Paño de microfibra marca Zeocar para detailing automotor, dimensiones 40 x 50 cm, diseñado para limpieza eficiente sin rayar la pintura o superficies delicadas del vehículo, altamente absorbente.",trapo|paño|microfibra|detailing|paño auto,ACTUALIZAR
101028,KIT REPAR ZEOPARCH ZEOCAR X190CC,Producto KIT REPAR ZEOPARCH ZEOCAR X190CC (categoria_1),"Kit de reparación Zeoparch de Zeocar de 190 cc, compuesto por resina poliéster y fibra de vidrio, diseñado para reparaciones en superficies de carrocería, chapa y plástico automotor. Fácil aplicación y alta adherencia.",parche|resina|fibra de vidrio|kit de reparación|parche plástico,ACTUALIZAR
101069,KIT REPAR ZEOPARCH ZEOCAR X 500lts,Producto KIT REPAR ZEOPARCH ZEOCAR X 500lts (categoria_1),"Kit de reparación de plástico reforzado con fibra de vidrio, incluye resina poliéster universal y parches para reparaciones en frío de carrocerías metálicas y plásticos. Capacidad de 500 litros, apto para arreglos duraderos y resistentes sin necesidad de soldadura.",kit de reparación|parche de fibra|resina|reparador|parche plástico,ACTUALIZAR
101024,KIT REPAR ZEOPARCH ZEOCAR X1L,Producto KIT REPAR ZEOPARCH ZEOCAR X1L (categoria_1),"Kit de reparación plástico Zeocar Zeoparch de 1 litro (resina y fibra de vidrio), diseñado para reparaciones de abolladuras o rajaduras en carrocerías automotor, chapa y plástico.",parche|resina|fibra de vidrio|kit de reparación,ACTUALIZAR
11876,BINDAFIX Basico Impermeable Bolsa 25 KG,Producto BINDAFIX Basico Impermeable Bolsa 25 KG (categoria_1),"Adhesivo cementicio impermeable Sika BindaFix, presentado en bolsa de 25 kg, formulado para la instalación de cerámicos y revestimientos en interiores y exteriores, con alta resistencia a la humedad y adherencia a diversas superficies.",pegamento|adhesivo|cemento|mortero|mezcla|revestimiento,ACTUALIZAR
