codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
PAN-PAN-01735,Baguettin Blanco 115gr 40u.,"Baguettín congelado, Baguettin Blanco 115gr 40u, marca CORDOBA PAN, 115gr, x40 unidades.","Baguettin blanco congelado, 115 g, caja x40u, marca Cordoba Pan.",baguettin|pan|bulto|caja,ACTUALIZAR
PAN-PAN-01736,Baguettin Salvado 115gr 40u.,"Baguettín congelado, Baguettin Salvado 115gr 40u, marca CORDOBA PAN, 115gr, x40 unidades.","Baguettin de salvado, 115 g, presentación x40u, marca Cordoba Pan.",baguettin|pan|bulto|caja,ACTUALIZAR
PAN-PAN-01819,Chipa Congelada 15grs 1KG,"Chipá congelada, Chipa Congelada 15grs 1KG, marca CORDOBA PAN, 15g.","Chipa congelada de 15 gramos, formato 1 kg, marca Cordoba Pan.",chipa|palito|bulto|caja,ACTUALIZAR
PAN-PAN-01725,Chipa Congelada 15grs caja x 5KG,"Chipá congelada, Chipa Congelada 15grs caja x 5KG, marca CORDOBA PAN, 15g.","Chipá congelado de 15 gramos, presentado en caja de 5 kg, marca Cordoba Pan.",chipá|bulto|caja|pack,ACTUALIZAR
PAN-PAN-01724,"Chipaca Congelada 50grs 7,5KG","Chipá congelada, Chipaca Congelada 50grs 7,5KG, marca CORDOBA PAN, 50g.","Chipaca congelada de 50 gramos, presentación de 7,5 kg, marca Cordoba Pan.",chipá|palito|bulto|caja,ACTUALIZAR
PAN-PAN-01739,Criollo Comun 50grs x210u.,"Criollo congelado, Criollo Comun 50grs x210u, marca CORDOBA PAN, 50g, x210 unidades.","Criollo común congelado de 50 gramos, caja de 210 unidades, marca Cordoba Pan.",criollo|medialuna|caja|bulto,ACTUALIZAR
PAN-PAN-01722,Criollo Hojaldre 50grs x 10.5 kg x caja,"Criollo congelado, Criollo Hojaldre 50grs x 10.5 kg x caja, marca CORDOBA PAN, 50g, venta por kg.","Criollo hojaldrado, 50g, caja x210u, marca Cordoba Pan.",criollo|medialuna|bulto|caja|pack,ACTUALIZAR
PAN-PAN-01741,Factura Carasucia Congelada x192u,"Factura congelada, Factura Carasucia Congelada x192u, marca CORDOBA PAN, x192 unidades.","Factura cara sucia congelada, presentada en caja de 192 unidades, marca Cordoba Pan.",factura|cara sucia|dulce de sartén|bulto,ACTUALIZAR
PAN-COR-01877,Factura Persianita c/ Crema x120u 50gr,"Factura congelada, Factura Persianita c/ Crema x120u 50gr, marca CORDOBA PAN, 50gr, x120 unidades.","Factura persianita con crema, 50g, caja con 120 unidades, marca Cordoba Pan.",factura|medialuna|caja|bulto|pack,ACTUALIZAR
PAN-PAN-01740,Factura Persianita Congelada 60grs 120u.,"Factura congelada, Factura Persianita Congelada 60grs 120u, marca CORDOBA PAN, 60g, x120 unidades.","Factura persianita congelada de 60 gramos, presentación de 120 unidades, marca Cordoba Pan.",factura|medialuna|bulto|caja,ACTUALIZAR
