product_code,tag
5060,Alimentos
5060,Golosinas y Snacks
5060,Chocolates
5060,Alfajores
5060,Rasta
5061,Alimentos
5061,Golosinas y Snacks
5061,Chocolates
5061,Alfajores
5061,Rasta
101001,Bebidas
101001,Bebidas sin Alcohol
101001,Aguas y Sodas
101001,Líquidos
101001,Genérico
1015062,Alimentos
1015062,Golosinas y Snacks
1015062,Caramelos
1015062,Masticables y Duros
1015062,Misky
1090073,Alimentos
1090073,Almacén
1090073,Panificados
1090073,Madalenas / Budines
1090073,Firenze
1090076,Alimentos
1090076,Almacén
1090076,Panificados
1090076,Panes y Tostadas
10100167,Alimentos
10100167,Almacén
10100167,Panificados
10100167,Panes y Tostadas
10500072,Alimentos
10500072,Almacén
10500072,Panificados
10500072,Madalenas / Budines
10500072,Firenze
10500081,Alimentos
10500081,Almacén
10500081,Panificados
10500081,Madalenas / Budines
