codigo_ruta,nombre,telefono,email,activo,zona,is_mock
1,Vendedor 1,,,true,,false
2,Vendedor 2,,,true,,false
3,Vendedor 3,,,true,,false
4,Vendedor 4,,,true,,false
5,Vendedor 5,,,true,,false
6,Vendedor 6,,,true,,false
7,Vendedor 7,,,true,,false
8,Vendedor 8,,,true,,false
9,Vendedor 9,,,true,,false
10,Vendedor 10,,,true,,false
11,Vendedor 11,,,true,,false
12,Vendedor 12,,,true,,false
13,Vendedor 13,,,true,,false
15,Vendedor 15,,,true,,false
16,Vendedor 16,,,true,,false
19,Vendedor 19,,,true,,false
20,Vendedor 20,,,true,,false
21,Vendedor 21,,,true,,false
22,Vendedor 22,,,true,,false
31,Vendedor 31,,,true,,false
