Cod de Producto,Imagen,Nombre del Producto,Stock ,Precio
29001,https://andinacocacolaar.vtexassets.com/arquivos/ids/156431-220-220?v=639063354392100000&width=220&height=220&aspect=true,"Coca–Cola Original 1,5L x6 + Fanta 1,5L x6",1000,"$ 27.063,50"
29002,https://andinacocacolaar.vtexassets.com/arquivos/ids/156294-220-220?v=638749828647770000&width=220&height=220&aspect=true,Coca-Cola Original Lata 354ml x6 + Coca-Cola Zero Lata 354ml x6,1000,"$ 9.622,58"
29003,https://andinacocacolaar.vtexassets.com/arquivos/ids/156458-220-220?v=639063398326300000&width=220&height=220&aspect=true,Coca–Cola Original 500ml x12,1000,"$ 13.184,78"
29004,https://andinacocacolaar.vtexassets.com/arquivos/ids/156426-220-220?v=639063348317470000&width=220&height=220&aspect=true,Coca-Cola Zero Edicion Limitada Mundial 473ml X6,1000,"$ 6.592,39"
29005,https://andinacocacolaar.vtexassets.com/arquivos/ids/156539-220-220?v=639144749242000000&width=220&height=220&aspect=true,Coca-Cola Lata 354ml x6 “Edicion Paises Mundialistas”,1000,"$ 6.143,64"
29006,https://andinacocacolaar.vtexassets.com/arquivos/ids/156461-220-220?v=639063400798100000&width=220&height=220&aspect=true,Coca–Cola Zero 500ml x12,1000,"$ 13.184,78"
29007,https://andinacocacolaar.vtexassets.com/arquivos/ids/156455-220-220?v=639063394110030000&width=220&height=220&aspect=true,"Coca–Cola 1,5L x6 + Sprite 1,5L x6 + Fanta 1,5L x6",1000,"$ 35.664,02"
29008,https://andinacocacolaar.vtexassets.com/arquivos/ids/156161-220-220?v=638563891921800000&width=220&height=220&aspect=true,Coca–Cola Original Lata 220ml x6,1000,"$ 4.607,73"
29009,https://andinacocacolaar.vtexassets.com/arquivos/ids/156510-220-220?v=639111926485070000&width=220&height=220&aspect=true,Fanta XBOX Carmesi lata 354ml x6,1000,"$ 6.143,64"
29010,https://andinacocacolaar.vtexassets.com/arquivos/ids/156427-220-220?v=639063351477670000&width=220&height=220&aspect=true,"Coca–Cola Zero 1,5L x6",1000,"$ 15.034,50"
29011,https://andinacocacolaar.vtexassets.com/arquivos/ids/156459-220-220?v=639063398965800000&width=220&height=220&aspect=true,"Coca–Cola Original 1,5L x6",1000,"$ 15.034,50"
29012,https://andinacocacolaar.vtexassets.com/arquivos/ids/156165-220-220?v=638563931056970000&width=220&height=220&aspect=true,"Coca–Cola Original 2,25L x6",1000,"$ 20.432,47"
29013,https://andinacocacolaar.vtexassets.com/arquivos/ids/156409-220-220?v=638983745175230000&width=220&height=220&aspect=true,Coca Cola Original Vidrio 237ml x12,1000,"$ 9.715,10"
29014,https://andinacocacolaar.vtexassets.com/arquivos/ids/155530-220-220?v=638171023327300000&width=220&height=220&aspect=true,Coca–Cola Café 220ml x6,1000,"$ 4.607,73"
29015,https://andinacocacolaar.vtexassets.com/arquivos/ids/155634-220-220?v=638173494961200000&width=220&height=220&aspect=true,"Coca–Cola Zero 2,25L x6",1000,"$ 20.432,47"
29016,https://andinacocacolaar.vtexassets.com/arquivos/ids/156164-220-220?v=638563929186570000&width=220&height=220&aspect=true,"Coca–Cola Original 2,5L x6",1000,"$ 22.359,26"
29017,https://andinacocacolaar.vtexassets.com/arquivos/ids/155636-220-220?v=638173495547400000&width=220&height=220&aspect=true,Coca–Cola Light 500ml x6,1000,"$ 6.592,39"
29018,https://andinacocacolaar.vtexassets.com/arquivos/ids/156439-220-220?v=639063370842730000&width=220&height=220&aspect=true,Coca–Cola Original 500ml x12 + Fanta 500ml x12,1000,"$ 22.853,62"
29019,https://andinacocacolaar.vtexassets.com/arquivos/ids/155623-220-220?v=638173490637530000&width=220&height=220&aspect=true,Coca–Cola Zero 1L x9,1000,"$ 17.347,70"
29020,https://andinacocacolaar.vtexassets.com/arquivos/ids/156456-220-220?v=639063394553130000&width=220&height=220&aspect=true,"Coca–Cola Zero 1,5L x6 + Sprite Zero 1,5L x6 + Fanta Zero 1,5L x6 + Schweppes Zero 1,5L x6",1000,"$ 47.575,95"
29021,https://andinacocacolaar.vtexassets.com/arquivos/ids/155638-220-220?v=638173496177470000&width=220&height=220&aspect=true,"Coca-Cola Light 1,5L x6",1000,"$ 15.034,50"
29022,https://andinacocacolaar.vtexassets.com/arquivos/ids/156514-220-220?v=639123114973000000&width=220&height=220&aspect=true,Fanta Naranja Lata 354ml x6,1000,"$ 6.143,64"
29023,https://andinacocacolaar.vtexassets.com/arquivos/ids/156534-220-220?v=639135233347270000&width=220&height=220&aspect=true,Coca-Cola Zero Lata 354ml x6,1000,"$ 6.143,64"
29024,https://andinacocacolaar.vtexassets.com/arquivos/ids/156274-220-220?v=638659848033530000&width=220&height=220&aspect=true,Sprite Lata 354ml x6,1000,"$ 6.365,95"
29025,https://andinacocacolaar.vtexassets.com/arquivos/ids/156417-220-220?v=638986451851500000&width=220&height=220&aspect=true,Coca Cola Original Vidrio 237ml x12 + Coca-Cola Lata 354ml x6,1000,"$ 14.248,86"
29026,https://andinacocacolaar.vtexassets.com/arquivos/ids/156421-220-220?v=639004471640970000&width=220&height=220&aspect=true,Sprite Vidrio 237ml x6,1000,"$ 5.033,32"
29027,https://andinacocacolaar.vtexassets.com/arquivos/ids/156422-220-220?v=639004471856700000&width=220&height=220&aspect=true,Fanta Naranja Vidrio 237ml x6,1000,"$ 4.857,55"
29028,https://andinacocacolaar.vtexassets.com/arquivos/ids/155757-220-220?v=638748141213370000&width=220&height=220&aspect=true,Sprite 500ml x12,1000,"$ 13.661,86"
29029,https://andinacocacolaar.vtexassets.com/arquivos/ids/156441-220-220?v=639063375634300000&width=220&height=220&aspect=true,Coca–Cola Zero 500ml x12 + Fanta Zero 500mlx6,1000,"$ 17.140,21"
29030,https://andinacocacolaar.vtexassets.com/arquivos/ids/156268-220-220?v=638634107373570000&width=220&height=220&aspect=true,Schweppes Pomelo Zero 500ml x6,1000,"$ 6.830,93"
29031,https://andinacocacolaar.vtexassets.com/arquivos/ids/155787-220-220?v=638333398991800000&width=220&height=220&aspect=true,Schweppes Ginger Ale Lata 310ml x6,1000,"$ 6.143,64"
29032,https://andinacocacolaar.vtexassets.com/arquivos/ids/156512-220-220?v=639123107728200000&width=220&height=220&aspect=true,Fanta Limón 500ml x6,1000,"$ 6.830,93"
29033,https://andinacocacolaar.vtexassets.com/arquivos/ids/156345-220-220?v=638857649029630000&width=220&height=220&aspect=true,Fanta Naranja Zero 500ml x6,1000,"$ 6.592,39"
29034,https://andinacocacolaar.vtexassets.com/arquivos/ids/156513-220-220?v=639123114014730000&width=220&height=220&aspect=true,Fanta Naranja 500ml x12,1000,"$ 13.184,78"
29035,https://andinacocacolaar.vtexassets.com/arquivos/ids/156264-220-220?v=638634048116800000&width=220&height=220&aspect=true,Sprite Zero 500ml x6,1000,"$ 6.830,93"
29036,https://andinacocacolaar.vtexassets.com/arquivos/ids/156166-220-220?v=638563932212700000&width=220&height=220&aspect=true,Coca-Cola Original 1L x9,1000,"$ 17.347,70"
29037,https://andinacocacolaar.vtexassets.com/arquivos/ids/156355-220-220?v=638857668915270000&width=220&height=220&aspect=true,"Coca–Cola Original 2,25L x6 + Fanta 2,25L x6",1000,"$ 36.778,60"
29038,https://andinacocacolaar.vtexassets.com/arquivos/ids/156410-220-220?v=639093016484170000&width=220&height=220&aspect=true,Schweppes Tónica Lata 310ml x6,1000,"$ 6.143,64"
29039,https://andinacocacolaar.vtexassets.com/arquivos/ids/155670-220-220?v=638173544073930000&width=220&height=220&aspect=true,"Schweppes Pomelo Zero 1,5L x6",1000,"$ 15.578,50"
29040,https://andinacocacolaar.vtexassets.com/arquivos/ids/156170-220-220?v=638567527373800000&width=220&height=220&aspect=true,"Schweppes Tónica 1,5L x6",1000,"$ 15.034,50"
29041,https://andinacocacolaar.vtexassets.com/arquivos/ids/156411-220-220?v=638984858687800000&width=220&height=220&aspect=true,Schweppes Pomelo Zero lata 310ml x6,1000,"$ 6.365,95"
29042,https://andinacocacolaar.vtexassets.com/arquivos/ids/156278-220-220?v=638659859581000000&width=220&height=220&aspect=true,Sprite Zero Lata 354ml x6,1000,"$ 6.365,95"
29043,https://andinacocacolaar.vtexassets.com/arquivos/ids/155815-220-220?v=638373855555300000&width=220&height=220&aspect=true,Schweppes Tónica Zero lata 310ml x6,1000,"$ 6.143,64"
29044,https://andinacocacolaar.vtexassets.com/arquivos/ids/155762-220-220?v=638290060088200000&width=220&height=220&aspect=true,"Sprite Zero 2,25L x6",1000,"$ 21.171,80"
29045,https://andinacocacolaar.vtexassets.com/arquivos/ids/155756-220-220?v=638290010972070000&width=220&height=220&aspect=true,"Sprite 1,5L x6",1000,"$ 15.578,50"
29046,https://andinacocacolaar.vtexassets.com/arquivos/ids/155725-220-220?v=638182960889130000&width=220&height=220&aspect=true,"Coca–Cola Zero 2,5L x6",1000,"$ 22.359,26"
29047,https://andinacocacolaar.vtexassets.com/arquivos/ids/155758-220-220?v=638290044761130000&width=220&height=220&aspect=true,"Sprite 2,25L x6",1000,"$ 21.171,80"
29048,https://andinacocacolaar.vtexassets.com/arquivos/ids/155668-220-220?v=638173543161530000&width=220&height=220&aspect=true,"Schweppes Pomelo Zero 2,25L x6",1000,"$ 21.171,80"
29049,https://andinacocacolaar.vtexassets.com/arquivos/ids/156347-220-220?v=638857652534800000&width=220&height=220&aspect=true,"Fanta Naranja 1,5L x6",1000,"$ 15.034,50"
29050,https://andinacocacolaar.vtexassets.com/arquivos/ids/156349-220-220?v=638857654505000000&width=220&height=220&aspect=true,"Fanta Naranja Zero 2,25L x6",1000,"$ 20.432,47"
29051,https://andinacocacolaar.vtexassets.com/arquivos/ids/155763-220-220?v=638290065931630000&width=220&height=220&aspect=true,"Sprite Zero 1,5L x6",1000,"$ 15.578,50"
29052,https://andinacocacolaar.vtexassets.com/arquivos/ids/156361-220-220?v=638859464038400000&width=220&height=220&aspect=true,"Fanta Naranja Zero 1,5L x6",1000,"$ 15.034,50"
29053,https://andinacocacolaar.vtexassets.com/arquivos/ids/155766-220-220?v=638290078244770000&width=220&height=220&aspect=true,Sprite 1L x9,1000,"$ 17.975,41"
29054,https://andinacocacolaar.vtexassets.com/arquivos/ids/155637-220-220?v=638173495805730000&width=220&height=220&aspect=true,Crush Naranja Zero 2.25X6,1000,"$ 11.180,03"
29055,https://andinacocacolaar.vtexassets.com/arquivos/ids/156171-220-220?v=638567527980500000&width=220&height=220&aspect=true,"Schweppes Citrus 1,5L x6",1000,"$ 15.034,50"
29056,https://andinacocacolaar.vtexassets.com/arquivos/ids/156363-220-220?v=638869917052930000&width=220&height=220&aspect=true,"Fanta Limón 2,25L x6",1000,"$ 21.171,80"
29057,https://andinacocacolaar.vtexassets.com/arquivos/ids/156348-220-220?v=638857653419300000&width=220&height=220&aspect=true,"Fanta Naranja 2,25L x6",1000,"$ 20.432,47"
29089,https://andinacocacolaar.vtexassets.com/arquivos/ids/156416-220-220?v=638986451322470000&width=220&height=220&aspect=true,Monster Green 473ml x6 + Monster Pipeline Punch 473ml x6,1000,"$ 20.982,36"
29090,https://andinacocacolaar.vtexassets.com/arquivos/ids/156304-220-220?v=638750470917030000&width=220&height=220&aspect=true,Monster Green 473ml x6 + Monster Mango Loco 473ml x6,1000,"$ 20.982,36"
29091,https://andinacocacolaar.vtexassets.com/arquivos/ids/156303-220-220?v=638750468957600000&width=220&height=220&aspect=true,Monster Green 473ml x6 + Monster Ultra White 473ml x6,1000,"$ 20.982,36"
29092,https://andinacocacolaar.vtexassets.com/arquivos/ids/156483-220-220?v=639071945686270000&width=220&height=220&aspect=true,Monster Peachy Keen 473ml x6,1000,"$ 12.439,54"
29093,https://andinacocacolaar.vtexassets.com/arquivos/ids/156318-220-220?v=638756814979570000&width=220&height=220&aspect=true,Monster Ultra White Zero 473ml x6,1000,"$ 12.439,54"
29094,https://andinacocacolaar.vtexassets.com/arquivos/ids/156319-220-220?v=638756819353130000&width=220&height=220&aspect=true,Monster Mango Loco 473ml x6,1000,"$ 12.439,54"
29095,https://andinacocacolaar.vtexassets.com/arquivos/ids/156325-220-220?v=638756837995170000&width=220&height=220&aspect=true,Monster Green Zero 473ml x6,1000,"$ 12.439,54"
29096,https://andinacocacolaar.vtexassets.com/arquivos/ids/156343-220-220?v=638844663865370000&width=220&height=220&aspect=true,Monster Pipeline Punch 473x6,1000,"$ 12.439,54"
29097,https://andinacocacolaar.vtexassets.com/arquivos/ids/156323-220-220?v=638756834138170000&width=220&height=220&aspect=true,Monster Ultra Watermelon 473ml x6,1000,"$ 12.439,54"
29098,https://andinacocacolaar.vtexassets.com/arquivos/ids/156324-220-220?v=638756835991670000&width=220&height=220&aspect=true,Monster pineapple 473ml x6,1000,"$ 12.439,54"
29099,https://andinacocacolaar.vtexassets.com/arquivos/ids/156322-220-220?v=638756830968230000&width=220&height=220&aspect=true,Monster Valentino Rossi 473ml x6,1000,"$ 12.439,54"
29100,https://andinacocacolaar.vtexassets.com/arquivos/ids/156321-220-220?v=638756823046500000&width=220&height=220&aspect=true,Monster Sunrise 473ml x6,1000,"$ 12.439,54"
29101,https://andinacocacolaar.vtexassets.com/arquivos/ids/156305-220-220?v=638750473056100000&width=220&height=220&aspect=true,Monster Green 473ml x6 + Monster Ultra Watermelon 473ml x6,1000,"$ 20.982,36"
29102,https://andinacocacolaar.vtexassets.com/arquivos/ids/156488-220-220?v=639087633366130000&width=220&height=220&aspect=true,Monster Green 473ml x6 + Powerade Mountain Blast 500ml x6,1000,"$ 18.765,47"
