product_code,nombre,descripcion
29010,Coca-Cola Zero 1.5L x6,Coca-Cola Zero en botellas de 1.5L. Disfruta del sabor sin azúcar en una presentación ideal.
29015,Coca-Cola Zero 2.25L x6,Coca-Cola Zero en botellas de 2.25L. Disfruta del sabor sin azúcar en una presentación ideal para compartir.
29017,Coca-Cola Light 500ml x6,"Gaseosa Coca-Cola Light de 500ml. Disfruta del sabor de Coca-Cola con menos calorías, ideal para quienes cuidan su figura."
29019,Coca-Cola Zero 1L x9,"Gaseosa Coca-Cola Zero de 1L. El sabor de Coca-Cola sin azúcar, ideal para disfrutar sin remordimientos."
29021,Coca-Cola Light 1.5L x6,"Gaseosa Coca-Cola Light de 1.5L. Disfruta del sabor clásico de Coca-Cola con menos calorías, ideal para cualquier ocasión."
29022,Fanta Naranja Lata 354ml x6,"Gaseosa Fanta Naranja en lata de 354ml. El sabor refrescante y afrutado de siempre, ideal para disfrutar en cualquier momento."
29023,Coca-Cola Zero Lata 354ml x6,"Gaseosa Coca-Cola Zero en lata de 354ml. El sabor de Coca-Cola sin azúcar, ideal para disfrutar en cualquier ocasión."
29027,Fanta Naranja Vidrio 237ml x6,"Gaseosa Fanta Naranja en vidrio de 237ml. El sabor refrescante y afrutado de siempre, ideal para disfrutar en cualquier momento."
29033,Fanta Naranja Zero 500ml,"Fanta Naranja Zero en botella de 500ml. Disfruta del sabor a naranja sin azúcar, ideal para quienes cuidan su dieta."
29039,Schweppes Pomelo Zero 1.5L,"Schweppes Pomelo Zero en botella de 1.5L. Disfruta del sabor a pomelo sin azúcar, ideal para quienes cuidan su dieta."
29041,Schweppes Pomelo Zero Lata 310ml,"Schweppes Pomelo Zero en lata de 310ml. Disfruta del sabor a pomelo sin azúcar, ideal para quienes cuidan su dieta."
29043,Schweppes Tónica Zero Lata 310ml,"Schweppes Tónica Zero en lata de 310ml. Disfruta del sabor tónico sin azúcar, ideal para tus cócteles."
29046,Coca-Cola Zero 2.5L,"Gaseosa Coca-Cola Zero de 2.5L. Disfruta del sabor clásico de Coca-Cola sin azúcar, ideal para cualquier ocasión."
29050,Fanta Naranja Zero 2.25L,"Gaseosa Fanta Naranja Zero de 2.25L. Disfruta del sabor de la naranja sin azúcar, ideal para cualquier momento."
29052,Fanta Naranja Zero 1.5L,"Gaseosa Fanta Naranja Zero de 1.5L. El sabor de la naranja sin azúcar, ideal para disfrutar sin remordimientos."
29054,Crush Naranja Zero 2.25L,"Gaseosa Crush Naranja Zero de 2.25L. El sabor de la naranja sin azúcar, ideal para disfrutar en cualquier momento."
29125,Cepita Manzana Roja Hot Fill 1L,"Delicioso jugo Cepita de Manzana Roja Hot Fill de 1L. Refrescante y natural, ideal para disfrutar en cualquier momento."
29139,Schweppes Pomelo Zero 2.25L,Botella de 2.25L de Schweppes Pomelo Zero. Ideal para compartir y disfrutar del sabor refrescante sin azúcar.
29174,"Fanta Naranja Zero 2,25L","Fanta Naranja Zero de 2,25L. Disfruta del sabor de la Fanta Naranja sin azúcar, ideal para quienes cuidan su ingesta."
29217,Aquarius Naranja 500ml,Refrescante bebida saborizada de naranja Aquarius en presentación de 500ml. Ideal para disfrutar en cualquier momento.
29225,Aquarius Uva 2.25L,Bebida saborizada de uva Aquarius en presentación de 2.25L. Ideal para disfrutar en familia.
29228,Aquarius Naranja 1.5L,Refrescante bebida saborizada de naranja Aquarius en presentación de 1.5L. Ideal para disfrutar en cualquier momento.
29230,Aquarius Manzana 2.25L,Bebida saborizada de manzana Aquarius en presentación de 2.25L. Ideal para disfrutar en familia.
29004,Coca-Cola Zero Edición Limitada Mundial 473ml x6,Coca-Cola Zero en edición limitada de 473ml. Disfruta del sabor sin azúcar en esta presentación especial.
29030,Schweppes Pomelo Zero 500ml x6,"Gaseosa Schweppes Pomelo Zero de 500ml. Refrescante y sin azúcar, ideal para disfrutar en cualquier momento."
29032,Fanta Limón 500ml,"Fanta Limón en botella de 500ml. El sabor cítrico y refrescante que te encanta, ideal para cualquier ocasión."
29034,Fanta Naranja 500ml,"Fanta Naranja en botella de 500ml. El sabor clásico y refrescante de naranja, perfecto para compartir."
29038,Schweppes Tónica Lata 310ml,Schweppes Tónica en lata de 310ml. Ideal para disfrutar solo o como mezcla en tus cócteles.
29040,Schweppes Tónica 1.5L,Schweppes Tónica en botella de 1.5L. Ideal para disfrutar solo o como mezcla en tus cócteles.
29116,Cepita Naranja 200ml,Jugo Cepita Naranja en presentación de 200ml. Ideal para un refresco rápido y delicioso.
