lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista 1 (Base),1.0,29001,27063.5,true
2,Lista 2 (Minorista sugerido),1.15,29001,31123.02,true
3,Lista 3 (Mayorista especial),0.9,29001,24357.15,true
4,Lista 4 (Gran distribuidor),0.85,29001,23003.97,true
1,Lista 1 (Base),1.0,29002,9622.58,true
2,Lista 2 (Minorista sugerido),1.15,29002,11065.97,true
3,Lista 3 (Mayorista especial),0.9,29002,8660.32,true
4,Lista 4 (Gran distribuidor),0.85,29002,8179.19,true
1,Lista 1 (Base),1.0,29003,13184.78,true
2,Lista 2 (Minorista sugerido),1.15,29003,15162.5,true
3,Lista 3 (Mayorista especial),0.9,29003,11866.3,true
4,Lista 4 (Gran distribuidor),0.85,29003,11207.06,true
1,Lista 1 (Base),1.0,29004,6592.39,true
2,Lista 2 (Minorista sugerido),1.15,29004,7581.25,true
3,Lista 3 (Mayorista especial),0.9,29004,5933.15,true
4,Lista 4 (Gran distribuidor),0.85,29004,5603.53,true
1,Lista 1 (Base),1.0,29005,6143.64,true
2,Lista 2 (Minorista sugerido),1.15,29005,7065.19,true
3,Lista 3 (Mayorista especial),0.9,29005,5529.28,true
4,Lista 4 (Gran distribuidor),0.85,29005,5222.09,true
1,Lista 1 (Base),1.0,29006,13184.78,true
2,Lista 2 (Minorista sugerido),1.15,29006,15162.5,true
3,Lista 3 (Mayorista especial),0.9,29006,11866.3,true
4,Lista 4 (Gran distribuidor),0.85,29006,11207.06,true
1,Lista 1 (Base),1.0,29007,35664.02,true
2,Lista 2 (Minorista sugerido),1.15,29007,41013.62,true
3,Lista 3 (Mayorista especial),0.9,29007,32097.62,true
4,Lista 4 (Gran distribuidor),0.85,29007,30314.42,true
1,Lista 1 (Base),1.0,29008,4607.73,true
2,Lista 2 (Minorista sugerido),1.15,29008,5298.89,true
3,Lista 3 (Mayorista especial),0.9,29008,4146.96,true
4,Lista 4 (Gran distribuidor),0.85,29008,3916.57,true
1,Lista 1 (Base),1.0,29009,6143.64,true
2,Lista 2 (Minorista sugerido),1.15,29009,7065.19,true
3,Lista 3 (Mayorista especial),0.9,29009,5529.28,true
4,Lista 4 (Gran distribuidor),0.85,29009,5222.09,true
1,Lista 1 (Base),1.0,29010,15034.5,true
2,Lista 2 (Minorista sugerido),1.15,29010,17289.67,true
3,Lista 3 (Mayorista especial),0.9,29010,13531.05,true
4,Lista 4 (Gran distribuidor),0.85,29010,12779.32,true
1,Lista 1 (Base),1.0,29011,15034.5,true
2,Lista 2 (Minorista sugerido),1.15,29011,17289.67,true
3,Lista 3 (Mayorista especial),0.9,29011,13531.05,true
4,Lista 4 (Gran distribuidor),0.85,29011,12779.32,true
1,Lista 1 (Base),1.0,29012,20432.47,true
2,Lista 2 (Minorista sugerido),1.15,29012,23497.34,true
3,Lista 3 (Mayorista especial),0.9,29012,18389.22,true
4,Lista 4 (Gran distribuidor),0.85,29012,17367.6,true
1,Lista 1 (Base),1.0,29013,9715.1,true
2,Lista 2 (Minorista sugerido),1.15,29013,11172.36,true
3,Lista 3 (Mayorista especial),0.9,29013,8743.59,true
4,Lista 4 (Gran distribuidor),0.85,29013,8257.84,true
1,Lista 1 (Base),1.0,29014,4607.73,true
2,Lista 2 (Minorista sugerido),1.15,29014,5298.89,true
3,Lista 3 (Mayorista especial),0.9,29014,4146.96,true
4,Lista 4 (Gran distribuidor),0.85,29014,3916.57,true
1,Lista 1 (Base),1.0,29015,20432.47,true
2,Lista 2 (Minorista sugerido),1.15,29015,23497.34,true
3,Lista 3 (Mayorista especial),0.9,29015,18389.22,true
4,Lista 4 (Gran distribuidor),0.85,29015,17367.6,true
1,Lista 1 (Base),1.0,29016,22359.26,true
2,Lista 2 (Minorista sugerido),1.15,29016,25713.15,true
3,Lista 3 (Mayorista especial),0.9,29016,20123.33,true
4,Lista 4 (Gran distribuidor),0.85,29016,19005.37,true
1,Lista 1 (Base),1.0,29017,6592.39,true
2,Lista 2 (Minorista sugerido),1.15,29017,7581.25,true
3,Lista 3 (Mayorista especial),0.9,29017,5933.15,true
4,Lista 4 (Gran distribuidor),0.85,29017,5603.53,true
1,Lista 1 (Base),1.0,29018,22853.62,true
2,Lista 2 (Minorista sugerido),1.15,29018,26281.66,true
3,Lista 3 (Mayorista especial),0.9,29018,20568.26,true
4,Lista 4 (Gran distribuidor),0.85,29018,19425.58,true
1,Lista 1 (Base),1.0,29019,17347.7,true
2,Lista 2 (Minorista sugerido),1.15,29019,19949.85,true
3,Lista 3 (Mayorista especial),0.9,29019,15612.93,true
4,Lista 4 (Gran distribuidor),0.85,29019,14745.55,true
1,Lista 1 (Base),1.0,29020,47575.95,true
2,Lista 2 (Minorista sugerido),1.15,29020,54712.34,true
3,Lista 3 (Mayorista especial),0.9,29020,42818.35,true
4,Lista 4 (Gran distribuidor),0.85,29020,40439.56,true
1,Lista 1 (Base),1.0,29021,15034.5,true
2,Lista 2 (Minorista sugerido),1.15,29021,17289.67,true
