pedido_ref,cliente_codigo,fecha,estado,total,notas,is_mock,es_pedido_abierto
PED-H-00001,25001,2026-05-21T09:01:00,confirmado,134699.0400000000045110937208,Pedido histórico mock,true,false
PED-H-00002,25001,2026-04-24T08:01:00,confirmado,42343.59999999999854480847716,Pedido histórico mock,true,false
PED-H-00003,25001,2026-05-17T08:35:00,confirmado,59604.93999999999869032762945,Pedido histórico mock,true,false
PED-H-00004,25002,2026-04-05T08:48:00,facturado,81311.72999999999956344254315,Pedido histórico mock,true,false
PED-H-00005,25002,2026-04-13T09:05:00,facturado,210128.7799999999988358467817,Pedido histórico mock,true,false
PED-H-00006,25002,2026-04-18T09:35:00,facturado,178637.3500000000003637978807,Pedido histórico mock,true,false
PED-H-00007,25003,2026-05-24T11:49:00,confirmado,128896.5199999999931605998427,Pedido histórico mock,true,false
PED-H-00008,25003,2026-04-16T10:23:00,confirmado,150765.9800000000050204107538,Pedido histórico mock,true,false
PED-H-00009,25003,2026-04-01T10:29:00,entregado,135415.5900000000001455191523,Pedido histórico mock,true,false
PED-H-00010,25004,2026-04-21T12:04:00,entregado,100728.0400000000008731149137,Pedido histórico mock,true,false
PED-H-00011,25004,2026-05-22T15:09:00,entregado,157268.9799999999977444531396,Pedido histórico mock,true,false
PED-H-00012,25004,2026-05-14T14:23:00,facturado,68761.20999999999730789568276,Pedido histórico mock,true,false
PED-H-00013,25005,2026-03-15T10:40:00,entregado,48495.52000000000043655745685,Pedido histórico mock,true,false
PED-H-00014,25005,2026-05-16T15:33:00,facturado,128911.9299999999984720489010,Pedido histórico mock,true,false
PED-H-00015,25005,2026-04-07T14:10:00,confirmado,323068.7399999999906867742538,Pedido histórico mock,true,false
PED-H-00016,25006,2026-03-26T10:23:00,entregado,78941.55000000000291038304567,Pedido histórico mock,true,false
PED-H-00017,25006,2026-05-02T08:07:00,facturado,106601.3299999999962892616168,Pedido histórico mock,true,false
PED-H-00018,25006,2026-05-02T09:48:00,entregado,53617.38999999999941792339087,Pedido histórico mock,true,false
