codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
29010,Coca-Cola Zero 1.5L x6,Coca-Cola Zero en botellas de 1.5L. Disfruta del sabor sin azúcar en una presentación ideal.,Gaseosa Coca-Cola sabor Original sin azúcar en pack de 6 botellas de 1.5L.,coca|gaseosa|coca cola|coca zero,ACTUALIZAR
29015,Coca-Cola Zero 2.25L x6,Coca-Cola Zero en botellas de 2.25L. Disfruta del sabor sin azúcar en una presentación ideal para compartir.,Gaseosa marca Coca-Cola sabor Zero Azúcar en pack de 6 botellas de 2.25L.,gaseosa|coca|coca cola|coca zero,ACTUALIZAR
29017,Coca-Cola Light 500ml x6,"Gaseosa Coca-Cola Light de 500ml. Disfruta del sabor de Coca-Cola con menos calorías, ideal para quienes cuidan su figura.","Gaseosa marca Coca-Cola sabor Light en botella de 500ml, pack de 6 unidades.",gaseosa|coca|coca light,ACTUALIZAR
29019,Coca-Cola Zero 1L x9,"Gaseosa Coca-Cola Zero de 1L. El sabor de Coca-Cola sin azúcar, ideal para disfrutar sin remordimientos.","Gaseosa marca Coca-Cola sabor Zero en botella de 1L, pack de 9 unidades.",gaseosa|coca|coca zero,ACTUALIZAR
29021,Coca-Cola Light 1.5L x6,"Gaseosa Coca-Cola Light de 1.5L. Disfruta del sabor clásico de Coca-Cola con menos calorías, ideal para cualquier ocasión.",Gaseosa marca Coca-Cola sabor Light en pack de 6 botellas de 1.5L.,gaseosa|coca|coca light,ACTUALIZAR
29022,Fanta Naranja Lata 354ml x6,"Gaseosa Fanta Naranja en lata de 354ml. El sabor refrescante y afrutado de siempre, ideal para disfrutar en cualquier momento.","Gaseosa marca Fanta sabor Naranja en lata de 354ml, pack de 6 unidades.",gaseosa|bebida|frescolita,ACTUALIZAR
29023,Coca-Cola Zero Lata 354ml x6,"Gaseosa Coca-Cola Zero en lata de 354ml. El sabor de Coca-Cola sin azúcar, ideal para disfrutar en cualquier ocasión.","Gaseosa marca Coca-Cola sabor Original en lata de 354ml, pack de 6 unidades.",gaseosa|coca|coca zero,ACTUALIZAR
29027,Fanta Naranja Vidrio 237ml x6,"Gaseosa Fanta Naranja en vidrio de 237ml. El sabor refrescante y afrutado de siempre, ideal para disfrutar en cualquier momento.","Gaseosa Fanta sabor Naranja en botella de vidrio de 237ml, pack de 6 unidades.",gaseosa|fanta|naranja,ACTUALIZAR
29033,Fanta Naranja Zero 500ml,"Fanta Naranja Zero en botella de 500ml. Disfruta del sabor a naranja sin azúcar, ideal para quienes cuidan su dieta.",Gaseosa sabor Naranja marca Fanta en botella de 500ml.,gaseosa|fanta|naranja,ACTUALIZAR
29039,Schweppes Pomelo Zero 1.5L,"Schweppes Pomelo Zero en botella de 1.5L. Disfruta del sabor a pomelo sin azúcar, ideal para quienes cuidan su dieta.","Gaseosa sabor pomelo sin azúcares, marca Schweppes en botella de 1.5L.",gaseosa|bebida|agua saborizada,ACTUALIZAR
