product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
110A18951,"MCCAIN SMILES: CROQUETAS DE PAPA 6 X 1,5 KG",29499.0,432,6,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Duquesas,vacío,croquetas de papa | papas sonrisas | smiles mccain,0.85,0.0,"Croquetas de papa congeladas con forma de caritas sonrientes, marca McCain.",https://placehold.co/600x400?text=McCain,true,true,Lista Dimer
11009004,"PAPA CRINKLE CUT 4*2,5 MINUTO VERDE",19040.0,387,4,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Crinkle Cut,vacío,papas crinkle | papas onduladas | papas minuto verde,0.75,0.0,"Papas crinkle cut congeladas, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11000509,"PAPA CRUNCH 10MM 4*2,5 MINUTO VERDE",19040.0,387,4,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Crunch,vacío,papas crunch | papas crocantes | papas minuto verde,0.75,0.0,"Papas crunch congeladas de 10mm, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11000069,PAPA DUQUESA MINUTO VERDE 20X500,32967.0,387,20,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Duquesas,vacío,papas duquesas | papas minuto verde,0.75,0.0,"Papas duquesas congeladas, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11000447,"PAPA DUQUESA MINUTO VERDE 4x2,5",29751.0,387,4,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Duquesas,vacío,papas duquesas | papas minuto verde,0.75,0.0,"Papas duquesas congeladas, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11009147,"PAPA GAJO 4X2,5KG MINUTO VERDE",26535.0,387,4,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Gajo,vacío,papas gajo | papas minuto verde,0.75,0.0,"Papas gajo congeladas de 4x2,5kg, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
10001680,PAPA GAJO DOY PACK 16*700 M.VERDE,39175.0,387,16,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Gajo,vacío,papas gajo | papas minuto verde,0.75,0.0,"Papas gajo en doy pack de 16*700g, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11000081,PAPA PRE FRITA 20X500 Minuto Verde,30751.0,387,20,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Pre Fritas,vacío,papas pre fritas | papas minuto verde,0.75,0.0,"Papas pre fritas congeladas de 20x500g, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11000706,PAPA PRE FRITA FINA 10*800 MV,23191.0,387,10,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Pre Fritas Finas,vacío,papas pre fritas finas | papas minuto verde,0.75,0.0,"Papas pre fritas finas congeladas de 10*800g, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
11000736,"PAPA PRE FRITA FINA 4*2,5 MV",23801.0,387,4,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Pre Fritas Finas,vacío,papas pre fritas finas | papas minuto verde,0.75,0.0,"Papas pre fritas finas congeladas de 4*2,5kg, marca Minuto Verde.",https://placehold.co/600x400?text=Minuto+Verde,true,true,Lista Dimer
236211,"PAPAS CATERPAK CORTE CASERO 11MM 5X2,5 KG",21626.0,140,5,1,unidad,Papas PREFRITAS,Papas Congeladas,Papas Corte Casero,Corte Casero,papas corte casero | papas caterpak,0.2,0.0,"Papas corte casero congeladas de 11mm, marca Caterpak.",https://placehold.co/600x400?text=Caterpak,true,true,Lista Dimer
