product_code,unidades_por_bulto,peso_referencia_kg,peso_total_kg,action
110A74011,8,2.25,18.00,set_reference_weight
110A11121,8,2.25,18.00,set_reference_weight
110111091,6,2.50,15.00,set_reference_weight
1000007407,6,2.50,15.00,set_reference_weight
110113101,6,2.50,15.00,set_reference_weight
1000006570,5,2.50,12.50,set_reference_weight
110A10641,4,2.50,10.00,set_reference_weight
110A18951,6,1.50,9.00,set_reference_weight
1000010226,5,2.50,12.50,set_reference_weight
1000002300,6,2.50,15.00,set_reference_weight
11000509,4,2.50,10.00,set_reference_weight
236110,5,2.50,12.50,set_reference_weight
236211,5,2.50,12.50,set_reference_weight
1000002889,7,2.50,17.50,set_reference_weight
