codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
1014,APRESTO PLANCHADO 1+1 — 5 L,"Producto para ropa Apresto Planchado 1+1, marca Dinamic, 5 L, dilución 1+1.","Apresto para planchado dilución 1+1, marca Dinamic, bidón 5 L.",apresto|almidón|planchado|bidón|1+1|1014,ACTUALIZAR
1015,DESMANCHADOR DE ROPA PRELAVADO CONCENTRADO — 5 L,"Producto para ropa Desmanchador De Ropa Prelavado Concentrado, marca Dinamic, 5 L, dilución 1+4.","Desmanchador de ropa prelavado concentrado, marca Dinamic, bidón 5 L.",desmanchador|prelavado|quitamanchas|bidón|1015,ACTUALIZAR
1040,CERA ACRILICA NEGRA AUTOBRILLO — 5 L,"Producto para pisos Cera Acrilica Negra Autobrillo, marca Dinamic, 5 L, dilución 1+2.","Cera acrílica negra autobrillo para pisos, marca Dinamic, bidón 5 L.",cera acrílica|cera negra|autobrillo|bidón|1040,ACTUALIZAR
1042,CERA ACRILICA NATURAL AUTOBRILLO — 5 L,"Producto para pisos Cera Acrilica Natural Autobrillo, marca Dinamic, 5 L, dilución 1+4.","Cera acrílica natural autobrillo para pisos, marca Dinamic, bidón 5 L.",cera acrílica|cera natural|autobrillo|bidón|1042,ACTUALIZAR
1070,CIPERMETRINA P/ DILUIR ( K-OTRINA ) EMULSIONADA DILUSION 1/20 LTS — 5 L,"Producto para pisos Cipermetrina P/ Diluir ( K-Otrina ) Emulsionada Dilusion, marca Dinamic, 5 L, dilución 1 LT + 20.","Insecticida cipermetrina emulsionada tipo K-Otrina, dilución 1/20, bidón 5 L, marca Dinamic.",cipermetrina|insecticida|k-otrina|bidón|1070,ACTUALIZAR
1082,FLUIDO EXTRA — 5 L,"Producto de limpieza Fluido Extra, marca Dinamic, 5 L, listo para usar.","Fluido de limpieza extra, marca Dinamic, bidón 5 L.",fluido extra|limpiador|bidón|1082,ACTUALIZAR
1094,PERF.BASE ALCOCHOL TKT — 5 L,"Producto para ropa Perf.Base Alcochol Tkt, marca Dinamic, 5 L, listo para usar.","Perfume base alcohol TKT, marca Dinamic, bidón 5 L.",perfume|base alcohol|tkt|bidón|1094,ACTUALIZAR
1113,ALCOHOL ETILICO SUELTO 96º — 5 L,"Insumo químico Alcohol Etilico Suelto 96º, marca Dinamic, 5 L, listo para usar.","Alcohol etílico 96° suelto, marca Dinamic, bidón 5 L.",alcohol etílico|alcohol 96|bidón|1113,ACTUALIZAR
1116,ALCOHOL EN GEL .(FORMULA SECADO RAPIDO) NO PEGAJOSO — 5 L,"Insumo químico Alcohol En Gel .(Formula Secado Rapido) No Pegajoso, marca Dinamic, 5 L, listo para usar.","Alcohol en gel de secado rápido, marca Dinamic, bidón 5 L.",alcohol en gel|gel antibacterial|bidón|1116,ACTUALIZAR
1119,ENJUAGUE CAPILAR T /SEDAL (PH NEUTRO) — 5 L,"Producto de higiene Enjuague Capilar T /Sedal (Ph Neutro), marca Dinamic, 5 L, listo para usar.","Enjuague capilar tipo Sedal pH neutro, marca Dinamic, bidón 5 L.",enjuague|acondicionador|tipo sedal|bidón|1119,ACTUALIZAR
