numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Bebidas del Sur,Bebidas del Sur,5493587905250,2,1,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.431756,-64.17256,true
2,La Cerveza de Córdoba,La Cerveza de Córdoba,5493582641213,3,2,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.438432,-64.170791,true
3,Bebidas y Más,Bebidas y Más,5492991227644,4,3,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.43849,-64.174976,true
4,Distribuidora La Estrella,Distribuidora La Estrella,5493418277249,1,4,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.437663,-64.176064,true
5,El Refugio de las Bebidas,El Refugio de las Bebidas,5493587747641,2,5,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.432608,-64.17172,true
6,Cerveza Artesanal Córdoba,Cerveza Artesanal Córdoba,5492614053074,3,6,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.437363,-64.177728,true
7,Bebidas La Nueva,Bebidas La Nueva,5493514079279,4,7,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.432651,-64.170093,true
8,Distribuidora El Trago,Distribuidora El Trago,5493876914178,1,8,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.43714,-64.175486,true
9,La Casa de la Cerveza,La Casa de la Cerveza,5492617175545,2,9,lunes,martes,"Zona ZONA NORTE - Villa Allende - Córdoba, Argentina",Juan Pérez,0,0,-31.438668,-64.170399,true
10,Bebidas y Snacks,Bebidas y Snacks,5493818437953,3,10,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.402313,-64.195759,true
11,El Sabor del Norte,El Sabor del Norte,5493582132179,4,11,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.404035,-64.200624,true
12,Cerveza y Compañía,Cerveza y Compañía,5493872845902,1,12,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.398025,-64.201498,true
13,La Bodega Cordobesa,La Bodega Cordobesa,5492997670210,2,13,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.396909,-64.196104,true
14,Bebidas del Centro,Bebidas del Centro,5493811657614,3,14,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.397896,-64.199924,true
15,Distribuidora El Buen Trago,Distribuidora El Buen Trago,5492994145193,4,15,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.401862,-64.193666,true
16,La Barra de Bebidas,La Barra de Bebidas,5493515971311,1,16,martes,miercoles,"Zona ZONA SUR - Alta Gracia - Córdoba, Argentina",María González,1,1,-31.403392,-64.198763,true
