pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Bebidas del Sur,2026-03-01 08:00:00,confirmado,73653.57,Pedido historico mock - Bebidas del Sur,true,false,2
P-00002,25001,5493587905250,Bebidas del Sur,2026-03-18 09:19:07,entregado,56158.09,Pedido historico mock - Bebidas del Sur,true,false,2
P-00003,25001,5493587905250,Bebidas del Sur,2026-04-04 10:38:14,facturado,58769.94,Pedido historico mock - Bebidas del Sur,true,false,2
P-00004,25002,5493582641213,La Cerveza de Córdoba,2026-03-08 11:11:23,entregado,240248.85,Pedido historico mock - La Cerveza de Córdoba,true,false,3
P-00005,25002,5493582641213,La Cerveza de Córdoba,2026-03-25 12:30:30,facturado,103830.77,Pedido historico mock - La Cerveza de Córdoba,true,false,3
P-00006,25002,5493582641213,La Cerveza de Córdoba,2026-04-11 13:49:37,confirmado,101169.00,Pedido historico mock - La Cerveza de Córdoba,true,false,3
P-00007,25003,5492991227644,Bebidas y Más,2026-03-15 14:22:46,facturado,84080.36,Pedido historico mock - Bebidas y Más,true,false,4
P-00008,25003,5492991227644,Bebidas y Más,2026-04-01 15:41:53,confirmado,62197.70,Pedido historico mock - Bebidas y Más,true,false,4
P-00009,25003,5492991227644,Bebidas y Más,2026-04-18 16:00:00,entregado,119387.23,Pedido historico mock - Bebidas y Más,true,false,4
P-00010,25004,5493418277249,Distribuidora La Estrella,2026-03-22 17:33:09,confirmado,31157.00,Pedido historico mock - Distribuidora La Estrella,true,false,1
P-00011,25004,5493418277249,Distribuidora La Estrella,2026-04-08 08:52:16,entregado,103307.51,Pedido historico mock - Distribuidora La Estrella,true,false,1
P-00012,25004,5493418277249,Distribuidora La Estrella,2026-04-25 09:11:23,facturado,193708.33,Pedido historico mock - Distribuidora La Estrella,true,false,1
P-00013,25005,5493587747641,El Refugio de las Bebidas,2026-03-29 10:44:32,entregado,87451.52,Pedido historico mock - El Refugio de las Bebidas,true,false,2
P-00014,25005,5493587747641,El Refugio de las Bebidas,2026-04-15 11:03:39,facturado,199433.67,Pedido historico mock - El Refugio de las Bebidas,true,false,2
P-00015,25005,5493587747641,El Refugio de las Bebidas,2026-05-02 12:22:46,confirmado,171691.83,Pedido historico mock - El Refugio de las Bebidas,true,false,2
P-00016,25006,5492614053074,Cerveza Artesanal Córdoba,2026-04-05 13:55:55,facturado,82778.09,Pedido historico mock - Cerveza Artesanal Córdoba,true,false,3
