codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
29022,Fanta Naranja Lata 354ml x6,"Gaseosa sabor naranja, marca Fanta en presentación de 354ml, pack de 6 unidades.","Gaseosa sabor naranja, marca Fanta, presentación en lata de 354 ml, pack de 6.",fanta|naranja|coca|gaseosa naranja,ACTUALIZAR
29027,Fanta Naranja Vidrio 237ml x6,"Gaseosa sabor naranja, marca Fanta en presentación de 237ml, pack de 6 unidades.","Gaseosa sabor naranja, marca Fanta, botella de vidrio de 237 ml, pack de 6.",fanta|naranja|gaseosa naranja,ACTUALIZAR
29030,Schweppes Pomelo Zero 500ml x6,"Gaseosa sin azúcar sabor pomelo, marca Schweppes en presentación de 500ml, pack de 6 unidades.","Gaseosa sin azúcar sabor pomelo, marca Schweppes, presentación 500 ml, pack de 6.",coca|gaseosa|schweppes|pomelo,ACTUALIZAR
29032,Fanta Limón 500ml x6,"Gaseosa sabor limón, marca Fanta en presentación de 500ml, pack de 6 unidades.","Gaseosa sabor limón, marca Fanta, presentación de 500ml en pack de 6 botellas.",fanta|gaseosa|limón,ACTUALIZAR
29033,Fanta Naranja Zero 500ml x6,"Gaseosa sin azúcar sabor naranja, marca Fanta en presentación de 500ml, pack de 6 unidades.","Gaseosa sabor naranja sin azúcar, marca Fanta, presentación 500ml, pack de 6.",fanta|gaseosa|naranja zero,ACTUALIZAR
29034,Fanta Naranja 500ml x12,"Gaseosa sabor naranja, marca Fanta en presentación de 500ml, pack de 12 unidades.","Gaseosa sabor naranja, marca Fanta, presentación en pack de 12 botellas de 500 ml.",fanta|coca|gaseosa naranja,ACTUALIZAR
29039,"Schweppes Pomelo Zero 1,5L x6","Gaseosa sin azúcar sabor pomelo, marca Schweppes en presentación de 1,5l, pack de 6 unidades.","Gaseosa sin azúcar sabor pomelo, marca Schweppes, presentación 1,5 litros, pack de 6.",coca|gaseosa|tonica,ACTUALIZAR
29041,Schweppes Pomelo Zero lata 310ml x6,"Gaseosa sin azúcar sabor pomelo, marca Schweppes en presentación de 310ml, pack de 6 unidades.","Gaseosa sabor pomelo Zero, marca Schweppes, presentación en lata de 310ml, pack x6.",coca|gaseosa|tonica|schweppes,ACTUALIZAR
29048,"Schweppes Pomelo Zero 2,25L x6","Gaseosa sin azúcar sabor pomelo, marca Schweppes en presentación de 2,25l, pack de 6 unidades.","Gaseosa sabor pomelo sin azúcares, marca Schweppes, presentación 2,25L x6.",coca|gaseosa|pomelo|schweppes,ACTUALIZAR
29049,"Fanta Naranja 1,5L x6","Gaseosa sabor naranja, marca Fanta en presentación de 1,5l, pack de 6 unidades.","Gaseosa sabor naranja, marca Fanta, presentación de 1,5 litros, pack de 6 unidades.",fanta|gaseosa naranja,ACTUALIZAR
29050,"Fanta Naranja Zero 2,25L x6","Gaseosa sin azúcar sabor naranja, marca Fanta en presentación de 2,25l, pack de 6 unidades.","Gaseosa Fanta Naranja Zero, 2,25 Lts, pack de 6 unidades.",fanta|gaseosa naranja|fanta zero,ACTUALIZAR
29052,"Fanta Naranja Zero 1,5L x6","Gaseosa sin azúcar sabor naranja, marca Fanta en presentación de 1,5l, pack de 6 unidades.","Gaseosa sabor naranja sin azúcar, marca Fanta, presentación en botella de 1.5L.",fanta|naranja|gaseosa naranja,ACTUALIZAR
29054,Crush Naranja Zero 2.25X6,"Gaseosa sin azúcar sabor naranja, marca Crush, pack de 6 unidades.","Gaseosa sabor naranja sin azúcar, marca Crush, presentación de 2.25 litros, pack de 6.",naranja crush|crush naranja|gaseosa crush,ACTUALIZAR
29055,"Schweppes Citrus 1,5L x6","Gaseosa sabor citrus, marca Schweppes en presentación de 1,5l, pack de 6 unidades.","Gaseosa sabor citrus, marca Schweppes, presentación de 1,5L en pack de 6 unidades.",coca|gaseosa|refresco|sprite,ACTUALIZAR
29056,"Fanta Limón 2,25L x6","Gaseosa sabor limón, marca Fanta en presentación de 2,25l, pack de 6 unidades.","Gaseosa sabor limón, marca Fanta, presentación de 2,25 litros, pack de 6 unidades.",fanta|gaseosa|limón,ACTUALIZAR
29057,"Fanta Naranja 2,25L x6","Gaseosa sabor naranja, marca Fanta en presentación de 2,25l, pack de 6 unidades.","Gaseosa sabor naranja, marca Fanta, presentación de 2,25 litros en pack de 6 unidades.",fanta|gaseosa naranja,ACTUALIZAR
29109,"Cepita Naranja Hot Fill 1,5L x4","Jugo sabor naranja, marca Cepita en presentación de 1,5l, pack de 4 unidades.","Jugo de naranja listo para tomar, marca Cepita, presentación Hot Fill 1,5L x4.",jugo|cepita|naranja,ACTUALIZAR
29116,Cepita Naranja 200ml x6,"Jugo sabor naranja, marca Cepita en presentación de 200ml, pack de 6 unidades.","Jugo de naranja en caja de cartón, marca Cepita, 200ml, pack de 6 unidades.",jugo|cepita|naranja,ACTUALIZAR
29117,Cepita Manzana Roja Hot Fill 300ml x6,"Jugo sabor manzana, marca Cepita en presentación de 300ml, pack de 6 unidades.","Jugo de manzana, marca Cepita, presentación hot fill 300ml x6.",jugo de manzana|cepita|jugo cepita,ACTUALIZAR
29122,Cepita Manzana 200ml x6,"Jugo sabor manzana, marca Cepita en presentación de 200ml, pack de 6 unidades.","Jugo de manzana en caja, marca Cepita, presentación de 200ml, pack de 6 unidades.",jugo|cepita|jugo de manzana,ACTUALIZAR
29125,Cepita Manzana Roja Hot Fill 1L x6,"Jugo sabor manzana, marca Cepita en presentación de 1l, pack de 6 unidades.","Jugo listo para tomar sabor manzana, marca Cepita, presentación 1L x6.",jugo|cepita|jugo de manzana,ACTUALIZAR
29133,Schweppes Pomelo Zero 500ml x6,"Gaseosa sin azúcar sabor pomelo, marca Schweppes en presentación de 500ml, pack de 6 unidades.","Gaseosa sin azúcar sabor pomelo, marca Schweppes, presentación 500 ml, pack de 6.",coca|gaseosa|schweppes|pomelo,ACTUALIZAR
