product_code,precio_unidad,is_mock
LYL-0001,1530.0,true
LYL-0002,871.25,true
LYL-0003,1218.33,true
LYL-0004,920.83,true
LYL-0005,623.33,true
LYL-0006,1841.67,true
LYL-0007,276.25,true
LYL-0008,665.83,true
LYL-0009,722.5,true
LYL-0010,1034.17,true
LYL-0011,651.67,true
LYL-0012,510.0,true
LYL-0013,892.5,true
LYL-0014,344.72,true
LYL-0015,1370.62,true
LYL-0016,613.89,true
LYL-0017,2231.25,true
LYL-0018,1700.0,true
LYL-0019,425.0,true
LYL-0020,580.83,true
LYL-0021,460.42,true
LYL-0022,240.83,true
LYL-0023,1215.5,true
LYL-0024,1114.21,true
LYL-0025,1827.5,true
LYL-0026,1675.21,true
LYL-0027,1147.5,true
LYL-0028,1051.88,true
LYL-0029,1700.0,true
LYL-0030,1558.33,true
LYL-0031,1105.0,true
LYL-0032,1012.92,true
LYL-0033,76.5,true
LYL-0034,878.33,true
LYL-0035,920.83,true
LYL-0036,5610.0,true
LYL-0037,4675.0,true
LYL-0038,2210.0,true
LYL-0039,8075.0,true
LYL-0040,12325.0,true
LYL-0041,16065.0,true
LYL-0042,5355.0,true
LYL-0043,5185.0,true
LYL-0044,7565.0,true
LYL-0045,2550.0,true
LYL-0046,6715.0,true
LYL-0047,3995.0,true
LYL-0048,5270.0,true
LYL-0049,3995.0,true
LYL-0050,3570.0,true
LYL-0051,3655.0,true
LYL-0052,6375.0,true
LYL-0053,6375.0,true
LYL-0054,6375.0,true
LYL-0055,8330.0,true
LYL-0056,8330.0,true
LYL-0057,2635.0,true
LYL-0058,2465.0,true
LYL-0059,2380.0,true
LYL-0060,2677.5,true
LYL-0061,2677.5,true
LYL-0062,2677.5,true
LYL-0063,2677.5,true
LYL-0064,2295.0,true
LYL-0065,1785.0,true
LYL-0066,1674.5,true
LYL-0067,1912.5,true
LYL-0068,1742.5,true
LYL-0069,7225.0,true
LYL-0070,6290.0,true
LYL-0071,5610.0,true
LYL-0072,3825.0,true
LYL-0073,3825.0,true
LYL-0074,4505.0,true
LYL-0075,3825.0,true
LYL-0076,3825.0,true
LYL-0077,4590.0,true
LYL-0078,2125.0,true
LYL-0079,2125.0,true
LYL-0080,1204.17,true
LYL-0081,1090.83,true
LYL-0082,1090.83,true
LYL-0083,1558.33,true
LYL-0084,1289.17,true
LYL-0085,1338.75,true
LYL-0086,1119.17,true
LYL-0087,1175.83,true
LYL-0088,1175.83,true
LYL-0089,1147.5,true
LYL-0090,1912.5,true
LYL-0091,2507.5,true
LYL-0092,2550.0,true
LYL-0093,2550.0,true
LYL-0094,2125.0,true
LYL-0095,1955.0,true
LYL-0096,1955.0,true
LYL-0097,1926.67,true
LYL-0098,1246.67,true
LYL-0099,1629.17,true
LYL-0100,1586.67,true
LYL-0101,2054.17,true
LYL-0102,1671.67,true
LYL-0103,807.5,true
LYL-0104,1331.67,true
LYL-0105,1147.5,true
LYL-0106,2975.0,true
LYL-0107,2677.5,true
LYL-0108,4845.0,true
LYL-0109,4845.0,true
LYL-0110,4930.0,true
LYL-0111,3995.0,true
