codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
LYL-0362,ECCOLE - 9g x 1u,Producto ECCOLE - 9g x 1u de la categoría PRODUCTOS DE LIMPIEZA.,"Adhesivo para zapatillas, marca Eccole, formato de 9g.",pegamento|adhesivo|cola,ACTUALIZAR
LYL-0363,POXI-RAN - 23g x 1u,Producto POXI-RAN - 23g x 1u de la categoría PRODUCTOS DE LIMPIEZA.,"Adhesivo contacto sin tolueno, marca Poxi-ran, formato de 23g.",pegamento|adhesivo|cola,ACTUALIZAR
LYL-0369,Jabón líquido p/manos Polyana x 220m x1u,Producto Jabón líquido p/manos Polyana x 220m x1u de la categoría PRODUCTOS DE LIMPIEZA.,"Jabón líquido para manos, marca Polyana, formato 220 ml.",jabón|jabón para manos|jabón líquido,ACTUALIZAR
LYL-0370,Jabón líquido QUERUBIN P/ROPA x800ml x1u,Producto Jabón líquido QUERUBIN P/ROPA x800ml x1u de la categoría PRODUCTOS DE LIMPIEZA.,"Jabón líquido para ropa floral antibacterial, marca Querubín, 800 mL.",jabon|jabon liquido|jabon para ropa,ACTUALIZAR
LYL-0371,Jabón líquido P/ROPA QUERUBIN x 3L x 1u,Producto Jabón líquido P/ROPA QUERUBIN x 3L x 1u de la categoría PRODUCTOS DE LIMPIEZA.,"Jabón líquido para ropa baja espuma, marca Querubín, formato 3 litros.",jabon|jabon liquido|jabon para ropa,ACTUALIZAR
LYL-0044,SMIRNOFF (Framb -Manz Verde - Nar. y Lima-Pomelo y Lima-Tamarindo),"Vodka Smirnoff con sabores variados, ideal para cócteles.","Bebida alcohólica sabor frambuesa, manzana verde, naranja, lima y pomelo, marca Smirnoff.",trago|bebida|fernet|cocktail,ACTUALIZAR
LYL-0006,Fiestita de los niños: Manzana Fizz / Ananá Fizz / Frutilla / Multifruta,"Gaseosa sabor manzana, ananá, frutilla y multifruta, formato variado.","Sidra sin alcohol sabor manzana, ananá, frutilla y multifruta, marca Fiestita de los niños.",sidra|bebida|refresco,ACTUALIZAR
LYL-0105,Petaca La Triestina x 200cc - 8 Sabores x 1u,"Petaca La Triestina con 8 sabores, formato de 200cc.","Licor seco sabor chocolate menta, marca La Triestina, presentación en petaca de 200cc.",licor|petaca|trago,ACTUALIZAR
LYL-0156,Crazy Pop - Chupetín ácido Frutilla / Manzana / Naranja / Uva x 20u,"Chupetín ácido en sabores frutilla, manzana, naranja y uva, paquete de 20 unidades.","Chupetín ácido sabor frutilla, manzana, naranja y uva, marca Crazy Pop, pack de 20.",chupetin|chupetín|caramelito,ACTUALIZAR
LYL-0157,Xtreme (Gomitas Ácidas) Berry / Rainbow / Tropical x 12u,"Gomitas ácidas en sabores berry, rainbow y tropical, paquete de 12 unidades.","Gomitas ácidas sabor tropical, marca Xtreme, presentación de 12 unidades.",gomitas|gominolas|caramelos ácidos,ACTUALIZAR
LYL-0217,Maní Saborizado Bachilitos x 1000g,"Maní Saborizado Bachilitos, formato de 1000g.","Maní saborizado en presentación de 1000g, marca Bachilitos.",mani|maní salado|maní saborizado,ACTUALIZAR
LYL-0007,Soda Secco 500cc x 6u,"Soda de la marca Secco, formato 500cc x 6 unidades.","Soda sabor limón en botella de 500cc, marca Secco, pack de 6 unidades.",gaseosa|soda|refresco,ACTUALIZAR
LYL-0008,"Soda Secco 1,5L x 6u","Soda de la marca Secco, formato 1,5L x 6 unidades.","Gaseosa sabor limón, marca Soda Secco, botella de 1,5L, pack de 6 unidades.",soda|gaseosa|refresco,ACTUALIZAR
LYL-0009,"Soda Secco 2,25L x 6u","Soda de la marca Secco, formato 2,25L x 6 unidades.","Soda sabor cola, marca Secco, formato de 2,25 litros, pack de 6 unidades.",gaseosa|soda|refresco,ACTUALIZAR
LYL-0010,Soda en Sifón Secco 2L x 6u,"Soda en sifón de la marca Secco, formato 2L x 6 unidades.","Soda en sifón con gas, marca Secco, formato de 2 litros por 6 unidades.",soda|agua con gas|sifón,ACTUALIZAR
LYL-0011,Sporting Isotónica x 500cc x 6u,"Bebida isotónica de la marca Sporting, formato 500cc x 6 unidades.","Bebida isotónica sabor a frutas, marca Sporting, formato 500cc, pack de 6 unidades.",isotónica|bebida deportiva|bebida energizante,ACTUALIZAR
LYL-0023,Speed Lata 250cc x unidad,"Energizante de la marca Speed, formato lata de 250cc.","Bebida energizante en lata de 250 cc, marca Speed.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0024,Speed Pack 250cc                                                      x 24u,"Energizante de la marca Speed, pack de 24 latas de 250cc.","Bebida energizante sin taurina en lata de 250 ml, marca Speed, pack de 24 unidades.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0025,Speed Lata 473cc XL x unidad,"Energizante de la marca Speed, formato lata XL de 473cc.","Bebida energizante en lata de 473 ml, marca Speed.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0026,Speed Pack 473cc XL                                       x 12u,"Energizante de la marca Speed, pack de 12 latas XL de 473cc.","Bebida energizante Speed Unlimited en lata de 473 ml, pack de 12 unidades.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0027,Speed ZERO Lata 250cc x unidad,"Energizante de la marca Speed ZERO, formato lata de 250cc.",Bebida energizante sin alcohol Speed Zero en lata de 250 cc.,bebida energizante|energizante|speed,ACTUALIZAR
LYL-0028,Speed ZERO Pack 250cc x 24u,"Energizante de la marca Speed ZERO, pack de 24 latas de 250cc.","Bebida energizante sin azúcar de 250 mL, marca Speed, pack de 24 latas.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0029,Speed ZERO Lata 473cc XL x unidad,"Energizante de la marca Speed ZERO, formato lata XL de 473cc.","Bebida energizante sin azúcar, marca Speed, lata de 473 ml.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0030,Speed ZERO Pack 473cc XL x 12u,"Energizante de la marca Speed ZERO, pack de 12 latas XL de 473cc.","Bebida energizante sin azúcar, marca Speed, formato lata de 473ml, pack de 12 unidades.",energizante|bebida energética|speed,ACTUALIZAR
LYL-0033,Juguitos para congelar Krosty (25 unidades),"Juguitos para congelar de la marca Krosty, pack de 25 unidades.","Juguitos para congelar sabor frutilla, marca Krosty, presentación de 25 unidades.",juguitos|jugos congelados|popsicles,ACTUALIZAR
LYL-0036,Gancia Americano x 950cc x 1u,"Aperitivo Gancia Americano, formato de 950cc.","Aperitivo Gancia Americano sabor amargo, formato 950cc.",aperitivo|gancia|gancia americano,ACTUALIZAR
LYL-0045,FRIZZÉ Evolution Blue New / Bubble Mood x 1u,"Frizzé Evolution Blue New, espumante refrescante.","Vino espumante dulce, marca Frizzé, sabor Blue, formato 1 litro.",vino espumante|burbujeante|frizzé,ACTUALIZAR
LYL-0055,Navarro Correas NATURE x 750cc                                            x 1u,Navarro Correas NATURE espumante de 750cc.,"Vino espumante brut nature, marca Navarro Correas, formato 750 mL.",champán|espumante,ACTUALIZAR
LYL-0096,BARRIL de Chopp santafesino Sauce                                     x 20lts,"Cerveza de la marca Sauce, formato barril de 20 litros.","Barril de chopp de 20 litros, marca Sauce, cerveza santafesina.",barril|chopp|cerveza|birra,ACTUALIZAR
LYL-0097,BARRIL de Chopp santafesino Sauce                                     x 30lts,"Cerveza de la marca Sauce, formato barril de 30 litros.",Barril de chopp santafesino Sauce de 30 litros.,barril|chopp|cerveza en barril,ACTUALIZAR
LYL-0112,Café al cognac La Triestina x 750cc            x 1u,"Café al cognac La Triestina, formato de 750cc.","Licor de café al cognac, marca La Triestina, formato 750cc.",licor de café|café al cognac,ACTUALIZAR
LYL-0121,GEORGALOS Full Maní x 900g,"Chocolate con maní de la marca Georgalos, formato de 900g.","Alfajor relleno de maní, marca Georgalos, formato 900g.",alfajor|alfajores|full maní,ACTUALIZAR
LYL-0122,GEORGALOS Full Maní Relleno          x 140g,"Chocolate con maní relleno de la marca Georgalos, formato de 140g.","Chocolate con leche relleno de maní, marca Georgalos, presentación de 140 gramos.",chocolate|chocotorta,ACTUALIZAR
LYL-0123,GEORGALOS Full Maní Tableta           x 160g,"Chocolate con maní en tableta de la marca Georgalos, formato de 160g.","Chocolate con leche y maní, marca Georgalos, presentación tableta de 160 g, sin TACC.",chocolate|tableta|maní,ACTUALIZAR
LYL-0130,MISKY TAZA x 100g x 1u,"Taza de chocolate Misky, formato de 100g.","Chocolate amargo en tableta, marca Misky, formato 100g.",chocolate|tableta de chocolate,ACTUALIZAR
LYL-0131,Bocadito Fantoche x 20u,"Bocadito de chocolate Fantoche, formato de 20u.","Bocaditos de dulce de leche cubiertos con chocolate, marca Fantoche, caja de 20 unidades.",bocaditos|dulce de leche|chocolates,ACTUALIZAR
LYL-0132,Bocaditos MARROC x 60u,"Bocaditos de chocolate Marroc, formato de 60u.","Bocaditos de chocolate con maní, marca Felfort, presentación de 60 unidades.",bocaditos|marroc|bombones|chocolates,ACTUALIZAR
LYL-0134,DOS CORAZONES x 26g x 20u,"Chocolate Dos Corazones, formato de 26g.","Bocadito de chocolate marca Felfort, formato 20 unidades de 26 g cada una.",bocadito|chocolate|dos corazones,ACTUALIZAR
LYL-0135,Huevitos KINDER x 12u,"Huevitos de chocolate Kinder, formato de 12u.","Huevo de chocolate con leche relleno cremoso, marca Kinder, pack de 12 unidades.",huevitos|huevo kinder|chocolate kinder,ACTUALIZAR
LYL-0136,Huevitos KINDER x 12u,"Huevitos de chocolate Kinder, formato de 12u.","Huevo de chocolate con sorpresa, marca Kinder, caja de 12 unidades.",huevitos|huevo sorpresa|chocolate con sorpresa,ACTUALIZAR
LYL-0137,PARAGÜITAS FELFORT x 13g x 20u,"Paraguas de chocolate de la marca Felfort, formato de 13g.","Chupetín de chocolate con relleno, marca Felfort, formato de 13g, 20 unidades.",paraguitas|chupetín,ACTUALIZAR
LYL-0140,Budín Valenciano x 170g (Vain-C/Chips-Marm.- C/Fr),"Budín valenciano con vainilla y chips, formato de 170g.","Budín con chips de chocolate, marca Valenciano, formato de 170 g.",budín|pan dulce|panificado,ACTUALIZAR
LYL-0143,Marshmallows Twist x 30u,Marshmallows twist en presentación de 30 unidades.,"Malvaviscos Twist sabor frutilla, marca Lollipop, presentación de 30 unidades de 12 g.",malvaviscos|marshmallows|nubes,ACTUALIZAR
LYL-0145,GONGYS x 28g (Nubes - Trenza),"GONGYS de 28g, incluye nubes y trenza.","Malvaviscos trenzados sabor vainilla, marca Gongys, formato de 28 gramos.",nubes|malvaviscos|gomitas,ACTUALIZAR
LYL-0146,Gomitas YUMMY x 30g x 12u,"Gomitas YUMMY en bolsa de 30g, paquete de 12 unidades.","Gomitas sabor mora y frambuesa, marca Yummy, formato de 30g, caja de 12 unidades.",gomitas|gominolas|chupetines,ACTUALIZAR
LYL-0147,Pastillitas Bull Dog x 12u,Pastillitas Bull Dog en paquete de 12 unidades.,"Pastillas ácidas sabor manzana, marca Bull Dog, presentación de 12 unidades.",pastillas|caramelos|chupetines,ACTUALIZAR
LYL-0148,MORITAS YUMMY / Huevos Fritos YUMMY x 500g,MORITAS YUMMY en bolsa de 500g.,"Gomitas sabor morita, marca Yummy, presentación de 500g.",gomitas|gominolas|chupetines,ACTUALIZAR
LYL-0152,MENTITAS La Casa x 12u,MENTITAS La Casa en paquete de 12 unidades.,"Pastillas de menta sabor cereza, marca La Casa, pack de 12 unidades.",mentitas|pastillas|grageas,ACTUALIZAR
LYL-0153,Chupetín ventilador x 9u,Chupetín ventilador en paquete de 9 unidades.,"Chupetín ventilador sabor frutilla, marca Fun Air, pack de 9 unidades.",chupetin|chupetines|caramelos,ACTUALIZAR
LYL-0159,Puppy House (Perritos) / Caty House (Gatitos) x 8u,"Gomitas en forma de perritos y gatitos, paquete de 8 unidades.","Caramelos en formato de pastillita con juguete de perrito y casa, marca Puppy House.",caramelos|golosinas|pastillas,ACTUALIZAR
LYL-0161,Pizzitas (Gomitas) x 24u x 15g,Gomitas Pizzitas en formato de 24 unidades de 15 gramos.,"Gomitas en forma de pizza, marca Gummi Zone, paquete de 24 unidades de 15g.",gomitas|gominolas|pizzitas,ACTUALIZAR
LYL-0172,Gomitas MISKY FANTASÍA x 1kg x 450u,Gomitas MISKY FANTASÍA en bolsa de 1 kilogramo.,"Gomitas de gelatina sabor frutal, marca Misky, presentación bolsa de 1 kg.",gomitas|gominolas|gomas,ACTUALIZAR
