numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Dulce Sorpresa,Dulce Sorpresa,5493587905250,2,1,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.189156,-58.16186,true
2,Bebidas y Golosinas,Bebidas y Golosinas,5493582641213,3,2,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.195832,-58.160091,true
3,La Golosina Feliz,La Golosina Feliz,5492991227644,4,3,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.19589,-58.164276,true
4,El Refugio de Sabor,El Refugio de Sabor,5493418277249,1,4,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.195063,-58.165364,true
5,Golosinas del Norte,Golosinas del Norte,5493587747641,2,5,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.190008,-58.16102,true
6,Bebidas del Sur,Bebidas del Sur,5492614053074,3,6,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.194763,-58.167028,true
7,Dulces Momentos,Dulces Momentos,5493514079279,4,7,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.190051,-58.159393,true
8,Sabor Argentino,Sabor Argentino,5493876914178,1,8,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.19454,-58.164786,true
9,La Casa de las Golosinas,La Casa de las Golosinas,5492617175545,2,9,lunes,martes,Zona ZONA NORTE - La Paz - Formosa,Juan Pérez,0,0,-26.196068,-58.159699,true
10,Bebidas y Más,Bebidas y Más,5493818437953,3,10,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.166713,-58.176359,true
11,El Paraíso de las Golosinas,El Paraíso de las Golosinas,5493582132179,4,11,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.168435,-58.181224,true
12,Dulces y Bebidas,Dulces y Bebidas,5493872845902,1,12,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.162425,-58.182098,true
13,La Dulcería,La Dulcería,5492997670210,2,13,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.161309,-58.176704,true
14,Golosinas y Refrescos,Golosinas y Refrescos,5493811657614,3,14,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.162296,-58.180524,true
15,Sabor y Color,Sabor y Color,5492994145193,4,15,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.166262,-58.174266,true
16,El Rincón de las Golosinas,El Rincón de las Golosinas,5493515971311,1,16,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.167792,-58.179363,true
17,Bebidas Naturales,Bebidas Naturales,5492994228106,2,17,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.162129,-58.180098,true
18,Dulces y Snacks,Dulces y Snacks,5492998718887,3,18,martes,miercoles,Zona ZONA SUR - San Miguel - Formosa,María González,1,1,-26.161513,-58.174754,true
19,La Tienda de Sabor,La Tienda de Sabor,5492995028869,4,19,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.174275,-58.15382,true
20,Golosinas y Alegría,Golosinas y Alegría,5493517304254,1,20,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.174363,-58.157952,true
21,Bebidas Frías,Bebidas Frías,5493416986538,2,21,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.168919,-58.152997,true
22,Dulce y Salado,Dulce y Salado,5492619239862,3,22,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.172432,-58.157512,true
23,El Sabor de Formosa,El Sabor de Formosa,5493513952681,4,23,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.173942,-58.153487,true
24,La Golosina de Oro,La Golosina de Oro,5493414799650,1,24,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.168359,-58.15727,true
25,Bebidas y Snacks,Bebidas y Snacks,5492992500733,2,25,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.167542,-58.151816,true
26,Dulce Encanto,Dulce Encanto,5492615139305,3,26,miercoles,jueves,Zona ZONA ESTE - Villa del Rosario - Formosa,Carlos López,2,2,-26.168497,-58.157559,true
27,El Mundo de las Golosinas,El Mundo de las Golosinas,5492618861463,4,27,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.184465,-58.189976,true
28,Bebidas para Todos,Bebidas para Todos,5493812941974,1,28,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.184582,-58.190923,true
29,Golosinas y Diversión,Golosinas y Diversión,5493817404433,2,29,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.17899,-58.195595,true
30,Dulce Fiesta,Dulce Fiesta,5493419686914,3,30,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.178985,-58.191726,true
31,La Casa de las Bebidas,La Casa de las Bebidas,5493518648263,4,31,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.180402,-58.196723,true
32,Sabor y Diversión,Sabor y Diversión,5493516216782,1,32,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.184691,-58.189552,true
33,El Rincón del Dulce,El Rincón del Dulce,5492612780568,2,33,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.180988,-58.190913,true
34,Bebidas y Alegría,Bebidas y Alegría,5493582639964,3,34,jueves,viernes,Zona ZONA OESTE - La Floresta - Formosa,Juan Pérez,0,3,-26.185856,-58.195541,true
35,Dulce y Fresco,Dulce y Fresco,5493814729528,4,35,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.152936,-58.166847,true
36,La Dulce Vida,La Dulce Vida,5493876922419,1,36,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.154004,-58.162438,true
37,Golosinas y Risas,Golosinas y Risas,5492618889598,2,37,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.158695,-58.167426,true
38,Bebidas del Mundo,Bebidas del Mundo,5492615021286,3,38,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.158353,-58.164032,true
39,Dulce Tentación,Dulce Tentación,5493813520000,4,39,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.157454,-58.163686,true
40,El Paraíso de las Bebidas,El Paraíso de las Bebidas,5492997489876,1,40,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.15216,-58.163634,true
41,Golosinas y Sorpresas,Golosinas y Sorpresas,5493519107005,2,41,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.157768,-58.166821,true
42,Bebidas y Sabores,Bebidas y Sabores,5493874104594,3,42,viernes,sabado,Zona ZONA NORESTE - El Chorro - Formosa,María González,1,4,-26.151707,-58.162506,true
43,Dulce y Rico,Dulce y Rico,5492617413812,4,43,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.170431,-58.19163,true
44,La Golosina Perfecta,La Golosina Perfecta,5492617236955,1,44,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.170569,-58.193534,true
45,Bebidas de Calidad,Bebidas de Calidad,5492612928724,2,45,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.175417,-58.187823,true
46,Dulce y Natural,Dulce y Natural,5492999435946,3,46,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.170992,-58.187315,true
47,El Rincón de Sabor,El Rincón de Sabor,5493517632424,4,47,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.174892,-58.191488,true
48,Golosinas para Compartir,Golosinas para Compartir,5493416524997,1,48,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.176268,-58.187857,true
49,Bebidas y Momentos,Bebidas y Momentos,5493876499570,2,49,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.171141,-58.191335,true
50,Dulce Alegría,Dulce Alegría,5492998066543,3,50,sabado,lunes,Zona ZONA SUROESTE - San Juan - Formosa,Carlos López,2,5,-26.174042,-58.192834,true
