nombre,zone_type,dias_visita,dia_visita,codigo_ruta,vendedor_idx,geometry_wkt,color,is_mock
Centro 1,route,martes,martes,RUTA1-CENTRO1,0,"SRID=4326;MULTIPOLYGON(((-58.16603867286572 -26.194669290153133, -58.16629459591407 -26.194733202902672, -58.1665555304721 -26.194771862993885, -58.166818990955505 -26.19478490216235, -58.16708246771876 -26.19477219620086, -58.170456167718754 -26.194443896200855, -58.170704053553386 -26.194408114602233, -58.17094756277712 -26.194349540138838, -58.17118460427316 -26.194268675814385, -58.17141314246577 -26.194166216045076, -58.17163121480072 -26.194043040696336, -58.17183694859853 -26.193900207527047, -58.17202857713595 -26.193738943106123, -58.172204454817575 -26.193560632279432, -58.177576954817575 -26.187583532279433, -58.17774695665371 -26.187374283923482, -58.1778952655205 -26.187149139572465, -58.178020405649065 -26.186910339557848, -58.17812113181445 -26.186660260093742, -58.17819644172637 -26.186401389632067, -58.17824558600263 -26.18613630410083, -58.178268075626 -26.18586764127199, -58.178263686810226 -26.185598074513923, -58.17823246322686 -26.18533028618968, -58.178174715570684 -26.185066940965747, -58.17809101846811 -26.184810659296915, -58.177982204759275 -26.184563991351023, -58.17784935721074 -26.184329391633185, -58.177693797741284 -26.184109194561856, -58.17751707426792 -26.183905591239878, -58.17732094530315 -26.18372060765158, -58.17710736245664 -26.183556084502943, -58.17687845101543 -26.183413658905373, -58.17663648879596 -26.1832947480854, -58.17638388347831 -26.183200535282356, -58.17612314864828 -26.18313195797438, -58.16658124864828 -26.18112515797438, -58.16633617203327 -26.1810852702436, -58.16608846900965 -26.18106804263838, -58.1658402302838 -26.18107362056617, -58.16559355108362 -26.18110195694717, -58.165350513474024 -26.1811528126117, -58.162495413474026 -26.1818886126117, -58.1622518751817 -26.1819637865594, -58.1619713751817 -26.1820650865594, -58.16174540721623 -26.18215845090103, -58.161528801305536 -26.182271854168867, -58.161323330080016 -26.182404368308458, -58.16113067504755 -26.182554908868347, -58.160952412832565 -26.182722243874885, -58.158381712832565 -26.185364043874884, -58.15821311025965 -26.18555446978764, -58.15806315458811 -26.18575990141231, -58.15793317381104 -26.185978519466076, -58.15782431902574 -26.186208387888353, -58.15773755423981 -26.186447470986383, -58.15694545423981 -26.188998570986385, -58.15687950387417 -26.189254579061803, -58.15683888061784 -26.189515805661618, -58.156823973149436 -26.189779751399964, -58.15683492410189 -26.190043890874573, -58.15687162869774 -26.190305696829526, -58.156933735751686 -26.19056266433575, -58.157020651030614 -26.190812334757897, -58.157131542939204 -26.191052319278267, -58.15726535047649 -26.191280321752746, -58.15742079338747 -26.191494160680055, -58.15759638441236 -26.191691790074092, -58.15779044351655 -26.191871319039684, -58.15800111396499 -26.19203102986448, -58.158226380087235 -26.192169394453792, -58.15846408656309 -26.192285088951245, -58.158711959044524 -26.192377006405284, -58.164300359044525 -26.194143606405284, -58.164332972865715 -26.194153690153133, -58.16603867286572 -26.194669290153133)))",#287850,false
Coluccio,route,"miércoles,viernes",miércoles,RUTA1-COLUCCIO,0,"SRID=4326;MULTIPOLYGON(((-58.222293302179196 -26.197398675369197, -58.22255188556252 -26.197434928294516, -58.22281276052673 -26.197446059052382, -58.223073492118964 -26.1974319637506, -58.22333164672456 -26.1973927739518, -58.22358481478192 -26.19732885544545, -58.223830633272854 -26.197240804833633, -58.224066807778485 -26.197129443962528, -58.22429113389491 -26.19699581225143, -58.22450151780864 -26.19684115699104, -58.22469599583982 -26.196666921701524, -58.22487275277078 -26.196474732658967, -58.225030138788966 -26.19626638371608, -58.225166684885885 -26.196043819558724, -58.22528111656856 -26.195809117554635, -58.22537236575537 -26.195564468363695, -58.22543958074532 -26.195312155490758, -58.225482134167606 -26.19505453397191, -58.23367303416761 -26.12437633397191, -58.23369055255502 -26.12411452573452, -58.23368260051994 -26.123852252571197, -58.23364925301529 -26.123591986570737, -58.23359082436217 -26.123336180903173, -58.23350786528722 -26.123087246697114, -58.233401157731684 -26.12284753031333, -58.233271707481094 -26.12261929122885, -58.233120734685116 -26.122404680739972, -58.232949662356894 -26.122205721684942, -58.23276010296024 -26.122024289377443, -58.232553843211186 -26.121862093930584, -58.232332827237016 -26.12172066413802, -58.2320991382517 -26.12160133306411, -58.23185497892024 -26.121505225478952, -58.23160265059724 -26.121433247256718, -58.23134453163516 -26.121386076837226, -58.23108305496684 -26.12136415883122, -58.230820685173626 -26.121367699829626, -58.230559895255105 -26.12139666645632, -58.230303143319574 -26.121450785682708, -58.23005284941481 -26.121529547401188, -58.22981137271759 -26.121632209233248, -58.229580989297 -26.121757803526826, -58.22936387066105 -26.121905146477065, -58.22916206328884 -26.122072849284386, -58.228977469341224 -26.12225933124482, -58.173556069341224 -26.18397093124482, -58.17339201720291 -26.1841722792871, -58.173248048957845 -26.18438844423021, -58.1731254940767 -26.184617429905135, -58.17302548428902 -26.184857121750188, -58.17294894313235 -26.185105306337846, -58.17289657742381 -26.185359691814604, -58.17286887073307 -26.18561792906502, -58.17286607891675 -26.185877633404566, -58.17288822775581 -26.186136406600905, -58.172935112717425 -26.18639185902033, -58.17300630084375 -26.186641631694748, -58.17310113475007 -26.18688341810551, -58.17321873869537 -26.18711498548289, -58.173358026669355 -26.187334195424537, -58.173517712421216 -26.187539023642486, -58.17369632133741 -26.1877275786564, -58.173892204058994 -26.18789811926036, -58.174103551712555 -26.188049070602027, -58.1743284126142 -26.188179038725526, -58.174564710292344 -26.188286823443928, -58.1748102626628 -26.188371429422315, -58.1750628021792 -26.188432075369196, -58.222293302179196 -26.197398675369197)))",#4dad63,false
Evita,route,"miércoles,viernes",miércoles,RUTA1-EVITA,0,"SRID=4326;MULTIPOLYGON(((-58.2223026199633 -26.197401959759382, -58.22256149601249 -26.197438247482935, -58.22282266684881 -26.197449356127276, -58.22308368925281 -26.197435181772466, -58.2233421213936 -26.19739585701776, -58.223595545671856 -26.19733174974117, -58.22384159133619 -26.197243459657987, -58.22407795666116 -26.19713181271054, -58.22430243047968 -26.19699785334161, -58.22451291286815 -26.1968428347238, -58.22470743479101 -26.196668207036264, -58.22488417652077 -26.196475603898477, -58.22504148466137 -26.196266827087925, -58.225177887615466 -26.19604382968472, -58.22529210935104 -26.195808697800775, -58.225383081338485 -26.19556363106451, -58.22544995254662 -26.195310922043603, -58.22549209740392 -26.195052934798323, -58.22550912165068 -26.194792082766043, -58.22550086602728 -26.19453080618384, -58.225467407764 -26.194271549260417, -58.225409059858585 -26.19401673731082, -58.22532636814815 -26.19376875406794, -58.22522010620297 -26.193529919383, -58.22509126808983 -26.19330246752364, -58.224941059072634 -26.193088526272646, -58.22477088433735 -26.192890097022794, -58.20674748433735 -26.173823297022793, -58.20657026831534 -26.173652166407336, -58.20637820587261 -26.173497883472134, -58.206172892784174 -26.17336173009641, -58.20595603491973 -26.173244837527655, -58.20572943407018 -26.173148176982515, -58.20549497297726 -26.173072551577324, -58.20405677297727 -26.172680051577323, -58.20402585236764 -26.17267180938723, -58.201501152367655 -26.172014809387232, -58.201181253481586 -26.171951881972298, -58.20085610498049 -26.171927931834684, -58.20031720498047 -26.171920831834683, -58.20002226743845 -26.171933067942774, -58.19973042352 -26.171977396300488, -58.199445154682365 -26.17205328810707, -58.19916986394749 -26.172159838035864, -58.17445516394749 -26.183313338035862, -58.17422108566526 -26.183433002723014, -58.17399974076642 -26.183574843180303, -58.17379322349934 -26.183737517388344, -58.173603487821154 -26.183919486209824, -58.17343232891051 -26.184119027952004, -58.17328136618248 -26.18433425465646, -58.17315202796655 -26.18456312996195, -58.17304553799251 -26.184803488371404, -58.17296290381216 -26.18505305574067, -58.172904907266414 -26.185309470795314, -58.17287209708792 -26.185570307471707, -58.17286478370922 -26.185833097871186, -58.17288303632564 -26.186095355609982, -58.17292668224058 -26.18635459934409, -58.17299530849947 -26.18660837624642, -58.173088265796956 -26.186854285214146, -58.17320467462026 -26.187089999586693, -58.17334343357065 -26.187313289159334, -58.173503229784345 -26.18752204128424, -58.17368255135409 -26.187714280859222, -58.17387970163404 -26.1878881890151, -58.174092815292525 -26.188042120324894, -58.17431987596082 -26.18817461837196, -58.174558735310995 -26.188284429529862, -58.17480713338221 -26.188370514823507, -58.1750627199633 -26.188432059759382, -58.2223026199633 -26.197401959759382)))",#721a76,false
Incone,route,"miércoles,viernes",miércoles,RUTA1-INCONE,0,"SRID=4326;MULTIPOLYGON(((-58.21198986155221 -26.19972717757809, -58.212306538424556 -26.19974600212862, -58.212623239566874 -26.199727590403146, -58.214332139566885 -26.199527090403144, -58.2145976157533 -26.19948244381168, -58.214857333478626 -26.1994116086027, -58.21510871601334 -26.199315287551403, -58.21534926932357 -26.19919443628489, -58.21557660681511 -26.199050253801147, -58.21578847301146 -26.198884170573436, -58.21598276593099 -26.198697834358217, -58.21615755794129 -26.198493093847286, -58.21631111488373 -26.19827198032642, -58.21644191327851 -26.198036687522443, -58.21654865543951 -26.19778954983866, -58.216630282348994 -26.197533019194623, -58.216685984164386 -26.197269640699975, -58.21671520825298 -26.19700202740373, -58.21671766467471 -26.19673283436951, -58.2164578646747 -26.19035283436951, -58.21643652206485 -26.19010656010779, -58.216392767306395 -26.189863265964636, -58.216326966428994 -26.189624987212934, -58.21623966988873 -26.189393717169395, -58.21613160796328 -26.189171390519512, -58.216003684642786 -26.188959867132972, -58.215856970067534 -26.18876091650495, -58.207910870067536 -26.17895801650495, -58.20772473325738 -26.178751137293748, -58.20751830956488 -26.17856449544608, -58.20729378756557 -26.178400069803473, -58.207053547719454 -26.178259603663562, -58.20680013713262 -26.178144586297027, -58.206536242551906 -26.17805623715784, -58.206264661879096 -26.177995492954185, -58.205988274506566 -26.177962997717152, -58.16430827450657 -26.175227897717154, -58.164045257639685 -26.17522346725274, -58.16378305586395 -26.17524462688602, -58.16352415305295 -26.175291176168873, -58.16327100182872 -26.17536267413352, -58.16302600032772 -26.175458443469882, -58.16279146948296 -26.17557757694183, -58.16256963103749 -26.175718945981544, -58.162362586497494 -26.17588121138062, -58.16217229722446 -26.17606283597655, -58.16200056585491 -26.176262099214487, -58.1618490192238 -26.17647711344629, -58.16171909295327 -26.17670584181249, -58.161612017852796 -26.176946117537724, -58.161528808259575 -26.17719566445691, -58.16147025242955 -26.177452118577662, -58.1614369050702 -26.177713050474722, -58.16142908208564 -26.177975988304237, -58.16144685758408 -26.17823844121989, -58.16149006317578 -26.178497922969008, -58.16155828956822 -26.17875197544519, -58.161650890443354 -26.178998191974294, -58.161766988580325 -26.179234240113175, -58.16190548416548 -26.17945788374526, -58.162065065211024 -26.179667004263578, -58.16224421998372 -26.17985962064061, -58.162441251325674 -26.180033908194854, -58.16265429273183 -26.18018821587627, -58.162881326031545 -26.18032108190691, -58.16312020050707 -26.180431247628537, -58.21018720050707 -26.199418047628537, -58.21041254810836 -26.19949756130365, -58.210644038350935 -26.1995568591411, -58.210879861552215 -26.19959547757809, -58.21198986155221 -26.19972717757809)))",#974f89,false
Malvinas,route,"miércoles,viernes",miércoles,RUTA1-MALVINAS,0,"SRID=4326;MULTIPOLYGON(((-58.19870687793818 -26.184541437458194, -58.198755797229104 -26.18479651030022, -58.19882897405585 -26.185045709826284, -58.19892573265794 -26.18528673477247, -58.19904517950607 -26.185517359364034, -58.19918621155352 -26.185735453869597, -58.19934752642235 -26.18593900426841, -58.19952763443042 -26.186126130849082, -58.19972487234799 -26.186295105568004, -58.19993741875707 -26.18644436800719, -58.20016331087149 -26.18657253978414, -58.200400462662515 -26.186678437280694, -58.20064668412253 -26.186761082573287, -58.20089970148896 -26.186819712463723, -58.201157178241544 -26.186853785527013, -58.2014167366793 -26.186862987111223, -58.2017492366793 -26.186858787111223, -58.2019674690663 -26.186847194229355, -58.20218405138548 -26.18681800744021, -58.20761075138548 -26.18586190744021, -58.20786995155029 -26.185802967223363, -58.208122108179516 -26.185718849990053, -58.20836478211856 -26.185610369420786, -58.208595625940546 -26.18547857486683, -58.208812406653344 -26.18532474119965, -58.20901302729972 -26.18515035647885, -58.209195547241535 -26.184957107557924, -58.20935820093191 -26.18474686376703, -58.209499414993616 -26.18452165883064, -58.209617823438684 -26.184283671194958, -58.20971228088178 -26.18403520295545, -58.20978187361977 -26.183778657588274, -58.209825928470075 -26.18351651670103, -58.209844019282535 -26.183251316027757, -58.20983597106161 -26.182985620900325, -58.20980186165911 -26.182722001433554, -58.20974202102118 -26.182463007664026, -58.20965702799664 -26.182211144883173, -58.20954770473768 -26.181968849403127, -58.209415108747045 -26.181738464989877, -58.209260522648634 -26.18152222019161, -58.20908544178045 -26.181322206781566, -58.20889155972995 -26.18114035952398, -58.20868075195165 -26.180978437458748, -58.20845505762557 -26.180838006885946, -58.203930357625566 -26.178322506885944, -58.203691085515736 -26.178204547381473, -58.20344135002803 -26.178110750934753, -58.20318358422764 -26.178042031364125, -58.20292029941563 -26.177999058174745, -58.20265406066243 -26.17798225003587, -58.20238746181743 -26.177991770701947, -58.20067886181743 -26.178137470701948, -58.200422554071075 -26.178171742734882, -58.20017069480064 -26.178230352810623, -58.19992558959165 -26.178312764397226, -58.19968948220118 -26.178418223077518, -58.19946453401794 -26.178545763455197, -58.199252804276334 -26.178694217992344, -58.199056231205695 -26.17886222769737, -58.198876614287244 -26.179048254565558, -58.19871559778115 -26.179250595658388, -58.198574655674555 -26.179467398692665, -58.1984550781883 -26.179696678996798, -58.198357959965925 -26.17993633767902, -58.19828419005299 -26.180184180841177, -58.19823444375854 -26.180437939662244, -58.19820917647314 -26.180695291167723, -58.19820861950013 -26.180953879494727, -58.19823277793817 -26.181211337458194, -58.19870687793818 -26.184541437458194)))",#bc849c,false
San Andres,route,"miércoles,viernes",miércoles,RUTA1-SANANDR,0,"SRID=4326;MULTIPOLYGON(((-58.20972404866523 -26.18842166380739, -58.20976097414643 -26.188773371629594, -58.20983219521629 -26.18911976655243, -58.20993702597701 -26.189457512603436, -58.21007445685104 -26.189783357103504, -58.21024316430393 -26.19009416199198, -58.2104415235907 -26.19038693404788, -58.21066762440297 -26.19065885371626, -58.21091928926632 -26.19090730226207, -58.21119409451055 -26.191129886989994, -58.211489393610925 -26.191324464287433, -58.21180234267569 -26.191489160268638, -58.212129927834276 -26.19162238882128, -58.212468994262515 -26.191722866881566, -58.21281627656537 -26.191789626790854, -58.21316843022441 -26.191822025614716, -58.21352206380739 -26.19181975133477, -58.21387377162959 -26.191782825853576, -58.21422016655243 -26.191711604783702, -58.21455791260343 -26.191606774022986, -58.21488375710351 -26.19146934314896, -58.21519456199198 -26.191300635696063, -58.21548733404788 -26.1911022764093, -58.21575925371626 -26.19087617559703, -58.21600770226207 -26.190624510733677, -58.21623028699 -26.19034970548945, -58.21642486428743 -26.19005440638907, -58.21658956026864 -26.189741457324306, -58.21672278882128 -26.189413872165726, -58.21682326688157 -26.18907480573748, -58.21689002679085 -26.18872752343463, -58.21692242561471 -26.188375369775592, -58.21692015133477 -26.18802173619261, -58.21548655133478 -26.16222623619261, -58.21544962585358 -26.161874528370404, -58.21537840478371 -26.161528133447568, -58.215273574022994 -26.161190387396562, -58.21513614314897 -26.160864542896494, -58.214967435696074 -26.16055373800802, -58.214769076409304 -26.16026096595212, -58.214542975597034 -26.159989046283737, -58.214291310733685 -26.15974059773793, -58.214016505489454 -26.159518013010004, -58.21372120638908 -26.159323435712565, -58.21340825732432 -26.15915873973136, -58.21308067216573 -26.15902551117872, -58.21274160573749 -26.158925033118432, -58.21239432343464 -26.158858273209145, -58.2120421697756 -26.158825874385283, -58.21168853619262 -26.15882814866523, -58.21133682837041 -26.158865074146423, -58.21099043344758 -26.158936295216296, -58.210652687396575 -26.159041125977012, -58.2103268428965 -26.15917855685104, -58.21001603800803 -26.159347264303936, -58.20972326595213 -26.1595456235907, -58.20945134628375 -26.15977172440297, -58.20920289773794 -26.16002338926632, -58.20898031301001 -26.16029819451055, -58.208785735712574 -26.16059349361093, -58.20862103973137 -26.160906442675692, -58.20848781117873 -26.161234027834272, -58.20838733311844 -26.16157309426252, -58.20832057320916 -26.16192037656537, -58.208288174385295 -26.162272530224406, -58.20829044866524 -26.16262616380739, -58.20972404866523 -26.18842166380739)))",#19b9af,false
San Francisco,route,"lunes,jueves",lunes,RUTA1-SANFRAN,0,"SRID=4326;MULTIPOLYGON(((-58.21662480641913 -26.202255418712756, -58.21686194928367 -26.20238132437221, -58.21711041434308 -26.2024830794091, -58.217367749500575 -26.20255967960495, -58.2176314151205 -26.202610368993923, -58.21789880909201 -26.202634647323432, -58.218167292509236 -26.202632274991124, -58.21843421571458 -26.202603275409494, -58.21869694444815 -26.202547934774845, -58.218952885845205 -26.202466799242824, -58.219199514025114 -26.202360669538407, -58.219434395019185 -26.202230593053567, -58.21965521079149 -26.202077853510595, -58.219859782115485 -26.20190395829305, -58.22004609008077 -26.201710623569436, -58.220212296017685 -26.20149975735636, -58.22035675964309 -26.201273440688347, -58.220478055248286 -26.201033907080173, -58.220574985769325 -26.200783520484332, -58.22064659460079 -26.200524751961243, -58.22069217503651 -26.200260155292398, -58.22071127724407 -26.199992341777147, -58.22070371270416 -26.199723954461835, -58.22066955607106 -26.199457642055627, -58.22060914443593 -26.19919603279045, -58.220523074000006 -26.19894170848303, -58.22041219419074 -26.198697179054978, -58.22027759927881 -26.198464857762442, -58.22012061757876 -26.198247037379712, -58.19234131757876 -26.163482337379712, -58.19216600516607 -26.163283737903367, -58.19197209235685 -26.163103255171595, -58.191761442094915 -26.16294262310383, -58.19153607812281 -26.162803384911786, -58.19129816553948 -26.162686878273608, -58.19104998999988 -26.162594222482667, -58.19079393575646 -26.162526307694353, -58.190532462753296 -26.162483786374256, -58.19026808299316 -26.162467067029837, -58.19000333640439 -26.162476310285864, -58.189740766439485 -26.162511427341254, -58.18948289563987 -26.162572080822212, -58.1892322014015 -26.16265768802341, -58.18194650140149 -26.16555158802341, -58.18172163652893 -26.165653018192398, -58.1815069564396 -26.16577452847732, -58.18130424956433 -26.165915106615063, -58.181115204588906 -26.16607358149435, -58.18094139638626 -26.166248632911902, -58.18078427289665 -26.166438802570646, -58.18064514306535 -26.16664250622829, -58.18025924306536 -26.16726690622829, -58.18025068743781 -26.167280843653117, -58.17942368743782 -26.168637243653116, -58.17938839086146 -26.168696840112027, -58.17920839086146 -26.16900984011203, -58.1790393267133 -26.16935990761254, -58.1776505267133 -26.17285800761254, -58.1776464351803 -26.17286837562486, -58.177104935180296 -26.17424887562486, -58.17700886746504 -26.174541994898394, -58.17694682473381 -26.17484415150338, -58.1767125247338 -26.17644395150338, -58.176687237675644 -26.176703293315985, -58.17668704261367 -26.176963864943424, -58.17671194136103 -26.17722324432475, -58.1767617024793 -26.17747902048115, -58.17683586342978 -26.177728815926464, -58.176933734872875 -26.177970308766323, -58.17705440707561 -26.178201254280594, -58.17719675836779 -26.178419505788472, -58.1773594655681 -26.178623034602264, -58.17754101628335 -26.178809948884403, -58.17773972296643 -26.17897851123244, -58.177953738602355 -26.179127154828517, -58.18016123860236 -26.180507554828516, -58.18020980641912 -26.180537218712754, -58.21662480641913 -26.202255418712756)))",#3e26c2,false
San Pedro,route,martes,martes,RUTA1-SANPEDR,0,"SRID=4326;MULTIPOLYGON(((-58.189309935602736 -26.189401617756953, -58.18957025161984 -26.189406402051773, -58.18982982011116 -26.189386116180987, -58.19008623225931 -26.189340948399174, -58.190337108538074 -26.189271317867142, -58.190580120794536 -26.189177870762066, -58.19081301385457 -26.18906147428092, -58.19103362645106 -26.188923208592808, -58.19123991128059 -26.18876435681491, -58.19142995400266 -26.188586393105055, -58.19160199100486 -26.188390968981388, -58.19175442576938 -26.188179897996168, -58.19188584368883 -26.18795513890584, -58.19199502519389 -26.18771877749361, -58.19524532519389 -26.179687177493612, -58.195280663809534 -26.179595053386826, -58.19653896380953 -26.176126753386825, -58.196570175312814 -26.17603569806459, -58.19670657531282 -26.175613398064595, -58.196730536745434 -26.17553518487709, -58.19716083674543 -26.17405078487709, -58.19722234254343 -26.173791384684492, -58.1972579932546 -26.173527186936777, -58.19726744200904 -26.173260762192907, -58.19725059687339 -26.17299470267981, -58.1972076217454 -26.172731597070822, -58.19713893475922 -26.17247400529876, -58.19704520421708 -26.17222443364857, -58.19692734208699 -26.171985310372005, -58.19678649512948 -26.171758962061507, -58.19662403374007 -26.17154759101321, -58.19644153861575 -26.171353253799317, -58.196240785375274 -26.17117784125831, -58.19602372728299 -26.171023060097692, -58.193230227282996 -26.16923206009769, -58.19299725899019 -26.169098541648236, -58.19275219162029 -26.16898879928626, -58.192497444155364 -26.168903916243714, -58.1922355311266 -26.1688447303741, -58.19196903779419 -26.168811825882322, -58.19170059462904 -26.168805527558142, -58.19143285134826 -26.168825897570322, -58.1911684507606 -26.168872734852947, -58.190910002680155 -26.1689455770901, -58.19066005816572 -26.16904370527923, -58.19042108434008 -26.169166150828193, -58.19019544003787 -26.169311705115927, -58.18998535252221 -26.169478931422358, -58.173780752522205 -26.18374843142236, -58.17359078019452 -26.18393301248144, -58.1734197882139 -26.18413530285496, -58.17326941893376 -26.184353359572917, -58.17314111662945 -26.18458508823184, -58.173036113626196 -26.18482826311123, -58.17295541846276 -26.185080548551266, -58.17289980620461 -26.18533952138652, -58.1728698109995 -26.185602694220087, -58.17286572094707 -26.185867539314675, -58.172887575331686 -26.186131512871174, -58.172935164245125 -26.186392079461463, -58.173008030602695 -26.186646736380847, -58.17310547453349 -26.186893037686175, -58.17322656010256 -26.187128617688767, -58.173370124300384 -26.18735121367651, -58.17353478821346 -26.187558687646902, -58.173718970268524 -26.187749046842235, -58.17392090142339 -26.18792046288977, -58.17413864215829 -26.188071289362973, -58.17437010110474 -26.188200077595223, -58.174613055132774 -26.188305590594034, -58.17486517070384 -26.1883868149222, -58.17512402628405 -26.18844297043171, -58.17538713560273 -26.188473517756954, -58.189309935602736 -26.189401617756953)))",#635b0d,false
La pilar,route,martes,martes,RUTA2-LAPILAR,1,"SRID=4326;MULTIPOLYGON(((-58.218090560984436 -26.20353777750384, -58.21835938787841 -26.203548354660896, -58.2186279344737 -26.20353215276805, -58.21889353979817 -26.20348933236648, -58.2191535720241 -26.203420317754603, -58.21940545454646 -26.2033257927838, -58.21964669151392 -26.20320669408227, -58.21987489255974 -26.203064201774183, -58.22008779648739 -26.202899727786072, -58.22028329367631 -26.202714901856343, -58.220459446985664 -26.202511555386547, -58.22061451094909 -26.202291703294403, -58.220746949070154 -26.202057524048385, -58.22085544904716 -26.201811338081754, -58.22093893577648 -26.201555584799856, -58.220996582005554 -26.201292798408563, -58.22102781652993 -26.201025582803364, -58.22103232985323 -26.2007565857679, -58.22101007725387 -26.200488472737636, -58.22096127922822 -26.200223900388615, -58.22088641930572 -26.199965490313, -58.22078623925771 -26.199715803042285, -58.220661731747384 -26.199477312675505, -58.220514130493655 -26.199252382363916, -58.22034489804653 -26.19904324089501, -58.220155711295 -26.198851960607936, -58.21994844485109 -26.19868043685913, -58.21972515247472 -26.198530369241606, -58.21948804672343 -26.198403244744053, -58.219239477028594 -26.19830032301658, -58.19145877702859 -26.18838652301658, -58.191429698959205 -26.188376332721276, -58.176446198959205 -26.183221132721275, -58.17619480096794 -26.18314804701167, -58.175937511090375 -26.183099628111815, -58.17567674359688 -26.18307633035873, -58.175414945389925 -26.183078372366047, -58.17515457304362 -26.183105734972667, -58.17489806975259 -26.183158161422543, -58.17464784240628 -26.18323515977396, -58.17440623900407 -26.18333600751564, -58.17417552662285 -26.18345975834639, -58.17395787014401 -26.183605251054725, -58.17375531193933 -26.18377112041501, -58.17356975270651 -26.18395580999802, -58.173402933633966 -26.184157586775665, -58.17325642006251 -26.18437455738275, -58.173131586797 -26.184604685883336, -58.173029605205926 -26.184845812874865, -58.17295143222991 -26.185095675750823, -58.17289780140227 -26.185351929931837, -58.172869215965974 -26.18561217086596, -58.17286594415144 -26.185873956591678, -58.172888016659606 -26.186134830651987, -58.1729352263739 -26.18639234514447, -58.173007130303645 -26.186644083691075, -58.17310305374088 -26.18688768411215, -58.17322209659147 -26.187120860591847, -58.17336314182108 -26.187341425127, -58.18021154182108 -26.196987325127, -58.18038191520232 -26.19720313482435, -58.18057333363877 -26.19740051743932, -58.18078381599455 -26.197577430108193, -58.18101118382671 -26.197732041826388, -58.18125308393157 -26.197862752398922, -58.18697438393157 -26.20058785239892, -58.187195480319645 -26.2006813539557, -58.18742400122015 -26.20075486825345, -58.18765814382702 -26.200807815336372, -58.187896060984436 -26.20083977750384, -58.218090560984436 -26.20353777750384)))",#889020,false
Obrero,route,martes,martes,RUTA2-OBRERO,1,"SRID=4326;MULTIPOLYGON(((-58.18938188807375 -26.20202458864347, -58.18964258190125 -26.20204794212103, -58.18990431222952 -26.20204596933665, -58.19016462440463 -26.2020186887922, -58.19042107707289 -26.201966356339945, -58.19067126507723 -26.201889462782997, -58.21803176507723 -26.192006762783, -58.21827912938055 -26.191903271480715, -58.21851502132206 -26.191775778186237, -58.21873711900602 -26.191625537822198, -58.21894323631423 -26.19145402921174, -58.219131344424106 -26.191262940522368, -58.21929959177846 -26.191054152649254, -58.21944632231048 -26.19082972070149, -58.21957009174449 -26.19059185377354, -58.21966968181197 -26.190342893201027, -58.219744112243106 -26.19008528951486, -58.21979265041558 -26.189821578320522, -58.21981481856581 -26.189554355339997, -58.21981039849163 -26.189286250861944, -58.21977943370006 -26.18901990385166, -58.219722228979016 -26.18875793597558, -58.219639347397326 -26.18850292579613, -58.219531604762395 -26.188257383390784, -58.219400061590164 -26.188023725645255, -58.2192460126664 -26.18780425246399, -58.21907097430209 -26.187601124132076, -58.21887666940828 -26.187416340051463, -58.2186650105374 -26.187251719060757, -58.21843808105789 -26.187108881532293, -58.21819811464756 -26.186989233422747, -58.21794747330733 -26.186893952434215, -58.21768862411199 -26.186823976422055, -58.21742411492663 -26.18677999416353, -58.193633814926635 -26.18402849416353, -58.19346564687726 -26.184014348487704, -58.175709246877254 -26.183077848487702, -58.17544916044797 -26.183076663096603, -58.17519016437949 -26.18310048309585, -58.174934657179016 -26.183149087893526, -58.17468500504408 -26.18322202737099, -58.17444351994971 -26.183318626051353, -58.17421243823771 -26.183437989354886, -58.17399389990639 -26.18357901188357, -58.1737899287925 -26.18374038765793, -58.1736024138289 -26.18392062221143, -58.17343309155156 -26.184118046430427, -58.17328353001787 -26.18433083201145, -58.17315511428521 -26.184557008392748, -58.173049033584206 -26.184794481003223, -58.17296627030555 -26.185041050659827, -58.17290759090227 -26.185294433933706, -58.17287353879175 -26.185552284296552, -58.17286442932332 -26.185812213851307, -58.1728803468578 -26.186071815445963, -58.17292114398633 -26.18632868496567, -58.172986442895414 -26.18658044359675, -58.173075638865825 -26.186824759856368, -58.177678438865826 -26.197766759856368, -58.17779307497958 -26.19800575587007, -58.17793057105796 -26.198232373083837, -58.17808960457197 -26.198444431742146, -58.17826864583121 -26.198639892123385, -58.178465972697424 -26.198816874159235, -58.1786796871492 -26.198973675518435, -58.17890773353839 -26.199108787980926, -58.17914791836272 -26.19922091194492, -58.17939793136436 -26.199308968927355, -58.18755773136435 -26.201740268927356, -58.18775635961537 -26.201791333045136, -58.18795828807374 -26.201827188643474, -58.18938188807375 -26.20202458864347)))",#adc533,false
