pedido_ref,mes,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,line_total,cantidad_lineas_origen,is_mock
ERP-MARZO-1,marzo,1,10047,POMELO ROSADO 1.5 LTS X6 PLACER,5.0,5520.66,27603.30,2,false
ERP-MARZO-1,marzo,1,10048,CRUNCHIPS MINI 1X70GRS GAONA,5.0,504.13,2520.65,2,false
ERP-MARZO-1,marzo,1,10057,SABORES DE LA VIDA AVENA/PASAS 1X160GRS GAONA,3.0,867.77,2603.31,1,false
ERP-MARZO-1,marzo,1,10059,SABORES DE LA VIDA AVENA/MANZANA 1X160GRS GAONA,2.0,867.77,1735.54,1,false
ERP-MARZO-1,marzo,1,10069,CUBICUB DUO FRUTILLA C/CREMA 1X100GRS GAONA,4.0,669.42,2677.68,1,false
ERP-MARZO-1,marzo,1,10070,CUBICUB FRUTILLA 1X100GRS GAONA,4.0,669.42,2677.68,1,false
ERP-MARZO-1,marzo,1,10073,CUBICUB VAINILLA 1X100GRS GAONA,4.0,669.42,2677.68,1,false
ERP-MARZO-1,marzo,1,10075,CUBICUB BON 1X100GRS GAONA,2.0,669.42,1338.84,1,false
ERP-MARZO-1,marzo,1,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,2.0,549.58,1099.16,1,false
ERP-MARZO-1,marzo,1,10078,SINFONIA LIMON 1X100GRS GAONA,2.0,603.30,1206.60,1,false
ERP-MARZO-1,marzo,1,10079,SINFONIA CHOCOLATE 1X100GRS GAONA,1.0,603.31,603.31,1,false
ERP-MARZO-1,marzo,1,10082,SINFONIA DUO DOS CHOCOLATES 1X100GRS GAONA,3.0,603.31,1809.93,1,false
ERP-MARZO-1,marzo,1,10083,SINFONIA NARANJA/CHOCOLATE 1X100GRS GAONA,2.0,603.30,1206.60,1,false
ERP-MARZO-1,marzo,1,10085,SINFONIA CHOCOLATE 1X50GRS GAONA,1.0,347.11,347.11,1,false
ERP-MARZO-1,marzo,1,10088,SINFONIA DUO DOS CHOCOLATES 1X50GRS GAONA,3.0,347.11,1041.33,1,false
ERP-MARZO-1,marzo,1,10089,SINFONIA FRUTILLA 1X50GRS GAONA,1.0,347.11,347.11,1,false
ERP-MARZO-1,marzo,1,10097,MAGDALENA (CLASICA) VAINILLA 1X200GRS GAONA,2.0,1429.75,2859.50,1,false
ERP-MARZO-1,marzo,1,10098,MAGDALENA COCO RELL. DDL 1X215GRS GAONA,1.0,1429.75,1429.75,1,false
ERP-MARZO-1,marzo,1,10111,CHIPS CHOCO BLANCO 1X230GRS GAONA,7.0,1041.32,7289.24,1,false
ERP-MARZO-1,marzo,1,10112,CHIPS CHOCOLATE 1X230GRS GAONA,3.0,1041.32,3123.96,1,false
ERP-MARZO-1,marzo,1,10113,CHIPS DDL 1X200GRS GAONA,9.0,1041.32,9371.88,2,false
ERP-MARZO-1,marzo,1,10115,ANILLO COCO 1X220GRS GAONA,1.0,895.04,895.04,1,false
ERP-MARZO-1,marzo,1,10123,PEPA BATATA 1X300GRS GAONA,4.0,1041.32,4165.28,1,false
