product_code,articulo,grupo,marca,contador,cantidad,rotacion_raw,rotacion_index,margen_pct,margen_normalizado,clase_ab,interpretacion,ventas_neto,costo,en_catalogo
1,VINO LOS DURMIENTES MALBEC 6X750,#11 VINOS Y LICORES,VERDE FLOR,50,70.0,0.714286,0.7042,0.2297,1.0,A,alta rotación / baja rentabilidad,1171100.95,902096.3,si
10,BARRAS DE CEREAL CHOCOLATE GAONA 15X23GR,#14 ALMACEN,GAONA,11,15.0,0.733333,0.7239,0.301,1.0,B,baja rotación / alta rentabilidad,146776.83,102592.35,si
10009,MAYONESA NATURA 20X125GR,#14 ALMACEN,NATURA,377,574.0,0.656794,0.6447,0.2581,1.0,A,alta rotación / baja rentabilidad,6813598.71,5055337.39,si
10014,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI,#16 SNACK,OVNI,36,206.0,0.174757,0.1457,0.2856,1.0,B,baja rotación / alta rentabilidad,181054.59,129340.9,si
10021,YERBA MATE NATURA SUAVE 1KG,#14 ALMACEN,NATURA,6,13.0,0.461538,0.4426,0.2367,1.0,A,alta rotación / baja rentabilidad,34278.92,26164.0,si
10022,YERBA MATE NATURA SUAVE 500 G,#14 ALMACEN,NATURA,68,382.0,0.17801,0.149,0.2195,1.0,B,baja rotación / alta rentabilidad,479453.48,374220.0,si
10023,YERBA MATE NATURA SELEC. ESPECIAL 500 G,#14 ALMACEN,NATURA,5,12.0,0.416667,0.3961,-0.2283,0.9999,A,alta rotación / baja rentabilidad,20126.04,24721.2,si
10024,YERBA MATE NATURA ORGANICA 500 G,#14 ALMACEN,NATURA,10,28.0,0.357143,0.3345,0.2434,1.0,A,alta rotación / baja rentabilidad,66374.79,50218.91,si
10026,YERBA MATE NATURA SAB. NARANJA 500 G,#14 ALMACEN,NATURA,48,183.0,0.262295,0.2363,0.2012,1.0,A,alta rotación / baja rentabilidad,227384.36,181640.99,si
10030,BOLDO HURLINGHAM X25 SAQ. S/S,#14 ALMACEN,HURLINGHAM,9,18.0,0.5,0.4824,0.286,1.0,A,alta rotación / baja rentabilidad,14941.31,10668.78,si
10032,MEZC. HIERBAS HURLINGHAM X25 SAQ. S/S,#14 ALMACEN,HURLINGHAM,8,24.0,0.333333,0.3098,0.2806,1.0,A,alta rotación / baja rentabilidad,15011.58,10800.0,si
10040,MANAOS LATA COLA X6 UNIDADES,#18 LATA,MANAOS,148,228.0,0.649123,0.6368,0.3188,1.0,B,baja rotación / alta rentabilidad,1047801.97,713747.16,si
10042,MANAOS LATA NARANJA  X6 UNIDADES,#18 LATA,MANAOS,67,85.0,0.788235,0.7808,0.33,1.0,B,baja rotación / alta rentabilidad,397135.71,266089.95,si
10043,MANAOS LATA POMELO  X6 UNIDADES,#18 LATA,MANAOS,74,92.0,0.804348,0.7975,0.3308,1.0,B,baja rotación / alta rentabilidad,430347.33,288003.24,si
10047,POMELO ROSADO 1.5 LTS X6 PLACER,#07 PLACER 1.5 LTS,MANAOS,408,618.0,0.660194,0.6482,0.3381,1.0,B,baja rotación / alta rentabilidad,3663236.62,2424725.07,si
10048,CRUNCHIPS MINI 1X70GRS GAONA,#19 GALLETITAS,GAONA,59,392.0,0.15051,0.1206,0.2971,1.0,B,baja rotación / alta rentabilidad,221454.43,155659.63,si
10049,CRUNCHIPS DDL 1X132GRS GAONA,#19 GALLETITAS,GAONA,97,719.0,0.13491,0.1044,0.3015,1.0,B,baja rotación / alta rentabilidad,689132.09,481387.54,si
10051,CRUNCHIPS COLORES 1X132GRS GAONA,#19 GALLETITAS,GAONA,105,756.0,0.138889,0.1085,0.3017,1.0,B,baja rotación / alta rentabilidad,732423.76,511428.9,si
10052,CRUNCHIPS MANI 1X132GRS GAONA,#19 GALLETITAS,GAONA,67,286.0,0.234266,0.2073,0.3014,1.0,B,baja rotación / alta rentabilidad,271430.56,189612.74,si
10053,CRUNCHIPS 1X132GRS GAONA,#19 GALLETITAS,GAONA,167,1228.0,0.135993,0.1055,0.3001,1.0,B,baja rotación / alta rentabilidad,1175415.87,822707.33,si
10054,CRUNCHIPS DARK 1X132GRS GAONA,#19 GALLETITAS,GAONA,88,465.0,0.189247,0.1607,0.2998,1.0,B,baja rotación / alta rentabilidad,444897.05,311508.99,si
10055,CRUNCHIPS POCKET 1X72GRS GAONA,#19 GALLETITAS,GAONA,37,222.0,0.166667,0.1373,0.2586,1.0,B,baja rotación / alta rentabilidad,95338.85,70684.8,si
10056,CRUNCHIPS COLORES POCKET 1X72GRS GAONA,#19 GALLETITAS,GAONA,38,229.0,0.165939,0.1366,0.2755,1.0,B,baja rotación / alta rentabilidad,99925.64,72393.19,si
10057,SABORES DE LA VIDA AVENA/PASAS 1X160GRS GAONA,#19 GALLETITAS,GAONA,272,1286.0,0.211509,0.1837,0.3018,1.0,B,baja rotación / alta rentabilidad,1219163.06,851272.0,si
10058,SABORES DE LA VIDA AVENA/CHIPS 1X160GRS GAONA,#19 GALLETITAS,GAONA,256,1105.0,0.231674,0.2046,0.3017,1.0,B,baja rotación / alta rentabilidad,1040018.07,726259.16,si
10059,SABORES DE LA VIDA AVENA/MANZANA 1X160GRS GAONA,#19 GALLETITAS,GAONA,216,856.0,0.252336,0.226,0.3017,1.0,B,baja rotación / alta rentabilidad,807888.38,564137.18,si
10060,SABORES DE LA VIDA AVENA/COCO/CHIPS DDL 1X160GRS G,#19 GALLETITAS,GAONA,197,891.0,0.2211,0.1937,0.3017,1.0,B,baja rotación / alta rentabilidad,850889.55,594147.72,si
10061,SABORES DE LA VIDA AVENA/MIEL 1X160GRS GAONA,#19 GALLETITAS,GAONA,182,701.0,0.259629,0.2335,0.3017,1.0,B,baja rotación / alta rentabilidad,664332.59,463935.88,si
10062,SABORES DE LA VIDA AVENA/CACAO/MIEL 1X160GRS GAONA,#19 GALLETITAS,GAONA,175,664.0,0.263554,0.2376,0.3016,1.0,B,baja rotación / alta rentabilidad,631340.84,440902.64,si
10069,CUBICUB DUO FRUTILLA C/CREMA 1X100GRS GAONA,#19 GALLETITAS,GAONA,45,171.0,0.263158,0.2372,-0.1442,0.9999,A,alta rotación / baja rentabilidad,75264.02,86119.44,si
10070,CUBICUB FRUTILLA 1X100GRS GAONA,#19 GALLETITAS,GAONA,14,80.0,0.175,0.1459,0.3005,1.0,B,baja rotación / alta rentabilidad,55297.09,38682.66,si
10071,CUBICUB LEMON PIE 1X100GRS GAONA,#19 GALLETITAS,GAONA,52,194.0,0.268041,0.2423,-1.1474,0.9997,A,alta rotación / baja rentabilidad,44057.84,94610.48,si
10072,CUBICUB ORIGINAL (AVELLANA) 1X100GRS GAONA,#19 GALLETITAS,GAONA,35,129.0,0.271318,0.2456,0.0592,0.9999,A,alta rotación / baja rentabilidad,69743.81,65615.3,si
10073,CUBICUB VAINILLA 1X100GRS GAONA,#19 GALLETITAS,GAONA,28,111.0,0.252252,0.2259,0.1553,1.0,B,baja rotación / alta rentabilidad,67049.14,56636.7,si
10074,CUBICUB VOLCAN DE CHOCOLATE 1X100GRS GAONA,#19 GALLETITAS,GAONA,28,121.0,0.231405,0.2043,0.3008,1.0,B,baja rotación / alta rentabilidad,89942.15,62887.04,si
10075,CUBICUB BON 1X100GRS GAONA,#19 GALLETITAS,GAONA,14,103.0,0.135922,0.1055,0.28,1.0,B,baja rotación / alta rentabilidad,69950.41,50363.88,si
10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,#19 GALLETITAS,GAONA,129,470.0,0.274468,0.2489,-0.9407,0.9998,A,alta rotación / baja rentabilidad,189991.74,368713.58,si
10077,SINFONIA DUO FRUTILLA C/CREMA 1X100GRS GAONA,#19 GALLETITAS,GAONA,88,643.0,0.136858,0.1064,0.2998,1.0,B,baja rotación / alta rentabilidad,428042.81,299719.03,si
10078,SINFONIA LIMON 1X100GRS GAONA,#19 GALLETITAS,GAONA,65,460.0,0.141304,0.111,0.3024,1.0,B,baja rotación / alta rentabilidad,303309.85,211595.41,si
10079,SINFONIA CHOCOLATE 1X100GRS GAONA,#19 GALLETITAS,GAONA,70,378.0,0.185185,0.1565,0.3016,1.0,B,baja rotación / alta rentabilidad,254675.13,177876.28,si
10080,SINFONIA (CLASICA) VAINILLA 1X100GRS GAONA,#19 GALLETITAS,GAONA,119,675.0,0.176296,0.1473,0.3017,1.0,B,baja rotación / alta rentabilidad,441976.71,308620.13,si
10081,SINFONIA FRUTILLA 1X100GRS GAONA,#19 GALLETITAS,GAONA,97,706.0,0.137394,0.107,0.3029,1.0,B,baja rotación / alta rentabilidad,460668.9,321117.34,si
10082,SINFONIA DUO DOS CHOCOLATES 1X100GRS GAONA,#19 GALLETITAS,GAONA,81,567.0,0.142857,0.1127,0.3028,1.0,B,baja rotación / alta rentabilidad,371307.34,258859.12,si
10083,SINFONIA NARANJA/CHOCOLATE 1X100GRS GAONA,#19 GALLETITAS,GAONA,65,423.0,0.153664,0.1238,0.3033,1.0,B,baja rotación / alta rentabilidad,275776.8,192146.22,si
10084,SINFONIA COCO Y DDL 1X100GRS GAONA,#19 GALLETITAS,GAONA,84,350.0,0.24,0.2132,0.302,1.0,B,baja rotación / alta rentabilidad,230622.27,160977.59,si
10085,SINFONIA CHOCOLATE 1X50GRS GAONA,#19 GALLETITAS,GAONA,49,211.0,0.232227,0.2052,0.298,1.0,B,baja rotación / alta rentabilidad,81054.15,56899.74,si
10086,SINFONIA (CLASICA) VAINILLA 1X50GRS GAONA,#19 GALLETITAS,GAONA,47,222.0,0.211712,0.1839,0.3009,1.0,B,baja rotación / alta rentabilidad,87584.74,61229.98,si
10087,SINFONIA DUO FRUTILLA C/CREMA 1X50GRS GAONA,#19 GALLETITAS,GAONA,29,229.0,0.126638,0.0959,0.2909,1.0,B,baja rotación / alta rentabilidad,85730.57,60788.81,si
10088,SINFONIA DUO DOS CHOCOLATES 1X50GRS GAONA,#19 GALLETITAS,GAONA,38,179.0,0.212291,0.1845,0.2949,1.0,B,baja rotación / alta rentabilidad,66258.64,46719.96,si
10089,SINFONIA FRUTILLA 1X50GRS GAONA,#19 GALLETITAS,GAONA,49,457.0,0.107221,0.0758,0.2991,1.0,B,baja rotación / alta rentabilidad,174574.41,122366.53,si
10092,SINFONIA THINS 1X50GRS GAONA,#19 GALLETITAS,GAONA,5,21.0,0.238095,0.2112,0.2961,1.0,B,baja rotación / alta rentabilidad,7289.25,5131.14,si
10093,SINFONIA BLACK 1X100GRS GAONA,#19 GALLETITAS,GAONA,107,868.0,0.123272,0.0924,0.3021,1.0,B,baja rotación / alta rentabilidad,574730.81,401089.11,si
