pedido_ref,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,line_total,cantidad_lineas_origen,is_mock
ERP-MARZO-1000,1000,295,COLA 3 lts. X 6  MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-1000,1000,297,NARANJA 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-1000,1000,300,MANZANA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-1000,1000,301,POMELO BLANCO 3 lts. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-1000,1000,315,SODA SIFON 2 lts. X6 MANAOS,2.0,7966.94,15933.88,1,false
ERP-MARZO-100006,100006,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100006,100006,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100006,100006,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,100008,295,COLA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,100008,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,100008,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,100008,300,MANZANA 3 lts. X 6  MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100008,100008,301,POMELO BLANCO 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100010,100010,10069,CUBICUB DUO FRUTILLA C/CREMA 1X100GRS GAONA,2.0,0.00,0.00,1,false
ERP-MARZO-100010,100010,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,6.0,549.59,3297.54,1,false
ERP-MARZO-100010,100010,10098,MAGDALENA COCO RELL. DDL 1X215GRS GAONA,5.0,1429.75,7148.75,1,false
ERP-MARZO-100010,100010,10124,PEPA 1X300GRS GAONA,5.0,1041.32,5206.60,1,false
ERP-MARZO-100010,100010,10125,PEPA 1X180GRS GAONA,5.0,694.22,3471.10,1,false
ERP-MARZO-100010,100010,295,COLA 3 lts. X 6  MANAOS,4.0,8925.62,35702.48,1,false
ERP-MARZO-100010,100010,296,LIMA LIMON 3 LTS. X 6 MANAOS,2.0,8925.62,17851.24,1,false
ERP-MARZO-100010,100010,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100010,100010,301,POMELO BLANCO 3 lts. X 6 MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100010,100010,432,PALITOS DE MAIZ (AMARILLO) 5X120G OVNI,3.0,3090.91,9272.73,1,false
ERP-MARZO-100012,100012,10047,POMELO ROSADO 1.5 LTS X6 PLACER,2.0,5520.66,11041.32,1,false
ERP-MARZO-100012,100012,295,COLA 3 lts. X 6  MANAOS,3.0,8925.62,26776.86,1,false
ERP-MARZO-100012,100012,296,LIMA LIMON 3 LTS. X 6 MANAOS,1.0,8925.62,8925.62,1,false
ERP-MARZO-100012,100012,297,NARANJA 3 lts. X 6 MANAOS,1.0,8925.62,8925.62,1,false
