product_code,articulo,grupo,marca,contador,cantidad,rotacion_raw,rotacion_index,margen_pct,margen_normalizado,clase_ab,interpretacion,ventas_neto,costo,en_catalogo
1,VINO LOS DURMIENTES MALBEC 6X750,#11 VINOS Y LICORES,VERDE FLOR,13,16.0,0.8125,0.7879,0.2307,0.9887,A,alta rotación / baja rentabilidad,268033.09,206193.44,si
10009,MAYONESA NATURA 20X125GR,#14 ALMACEN,NATURA,94,135.0,0.696296,0.6565,0.2585,0.9905,A,alta rotación / baja rentabilidad,1524862.81,1130719.85,si
10014,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI,#16 SNACK,OVNI,8,69.0,0.115942,0.0,0.2903,0.9925,B,baja rotación / alta rentabilidad,54702.48,38822.23,si
10021,YERBA MATE NATURA SUAVE 1KG,#14 ALMACEN,NATURA,3,5.0,0.6,0.5475,0.2571,0.9904,A,alta rotación / baja rentabilidad,14201.65,10550.0,si
10022,YERBA MATE NATURA SUAVE 500 G,#14 ALMACEN,NATURA,2,8.0,0.25,0.1516,0.2581,0.9904,B,baja rotación / alta rentabilidad,11645.45,8640.0,si
10024,YERBA MATE NATURA ORGANICA 500 G,#14 ALMACEN,NATURA,2,3.0,0.666667,0.623,0.2748,0.9915,A,alta rotación / baja rentabilidad,8021.08,5816.85,si
10026,YERBA MATE NATURA SAB. NARANJA 500 G,#14 ALMACEN,NATURA,4,11.0,0.363636,0.2802,0.281,0.9919,A,alta rotación / baja rentabilidad,16741.74,12036.53,si
10030,BOLDO HURLINGHAM X25 SAQ. S/S,#14 ALMACEN,HURLINGHAM,1,3.0,0.333333,0.2459,0.2899,0.9924,A,alta rotación / baja rentabilidad,2504.13,1778.13,si
10032,MEZC. HIERBAS HURLINGHAM X25 SAQ. S/S,#14 ALMACEN,HURLINGHAM,2,11.0,0.181818,0.0745,0.2836,0.992,B,baja rotación / alta rentabilidad,6909.09,4950.0,si
10040,MANAOS LATA COLA X6 UNIDADES,#18 LATA,MANAOS,57,90.0,0.633333,0.5852,0.3308,0.995,B,baja rotación / alta rentabilidad,420991.88,281742.3,si
10042,MANAOS LATA NARANJA  X6 UNIDADES,#18 LATA,MANAOS,37,48.0,0.770833,0.7408,0.3294,0.9949,B,baja rotación / alta rentabilidad,224061.24,150262.56,si
10043,MANAOS LATA POMELO  X6 UNIDADES,#18 LATA,MANAOS,31,34.0,0.911765,0.9002,0.3308,0.995,B,baja rotación / alta rentabilidad,159041.43,106435.98,si
10047,POMELO ROSADO 1.5 LTS X6 PLACER,#07 PLACER 1.5 LTS,MANAOS,133,235.0,0.565957,0.509,0.3304,0.995,B,baja rotación / alta rentabilidad,1296527.07,868216.9,si
10048,CRUNCHIPS MINI 1X70GRS GAONA,#19 GALLETITAS,GAONA,10,49.0,0.204082,0.0997,0.2954,0.9928,B,baja rotación / alta rentabilidad,24450.41,17228.4,si
10049,CRUNCHIPS DDL 1X132GRS GAONA,#19 GALLETITAS,GAONA,22,102.0,0.215686,0.1128,0.3031,0.9933,B,baja rotación / alta rentabilidad,88382.33,61590.66,si
10051,CRUNCHIPS COLORES 1X132GRS GAONA,#19 GALLETITAS,GAONA,20,102.0,0.196078,0.0906,0.3035,0.9933,B,baja rotación / alta rentabilidad,88425.71,61590.66,si
10052,CRUNCHIPS MANI 1X132GRS GAONA,#19 GALLETITAS,GAONA,17,57.0,0.298246,0.2062,0.3029,0.9932,B,baja rotación / alta rentabilidad,49376.09,34418.31,si
10053,CRUNCHIPS 1X132GRS GAONA,#19 GALLETITAS,GAONA,42,228.0,0.184211,0.0772,0.3003,0.9931,B,baja rotación / alta rentabilidad,196766.71,137673.24,si
10054,CRUNCHIPS DARK 1X132GRS GAONA,#19 GALLETITAS,GAONA,19,69.0,0.275362,0.1803,0.3042,0.9933,B,baja rotación / alta rentabilidad,59876.11,41664.27,si
10055,CRUNCHIPS POCKET 1X72GRS GAONA,#19 GALLETITAS,GAONA,11,42.0,0.261905,0.1651,0.2989,0.993,B,baja rotación / alta rentabilidad,18049.58,12654.6,si
10056,CRUNCHIPS COLORES POCKET 1X72GRS GAONA,#19 GALLETITAS,GAONA,14,68.0,0.205882,0.1017,0.2963,0.9928,B,baja rotación / alta rentabilidad,29115.71,20488.4,si
10057,SABORES DE LA VIDA AVENA/PASAS 1X160GRS GAONA,#19 GALLETITAS,GAONA,86,338.0,0.254438,0.1567,0.3029,0.9932,B,baja rotación / alta rentabilidad,292785.43,204094.54,si
10058,SABORES DE LA VIDA AVENA/CHIPS 1X160GRS GAONA,#19 GALLETITAS,GAONA,81,320.0,0.253125,0.1552,0.3027,0.9932,B,baja rotación / alta rentabilidad,277122.2,193225.6,si
10059,SABORES DE LA VIDA AVENA/MANZANA 1X160GRS GAONA,#19 GALLETITAS,GAONA,62,228.0,0.27193,0.1764,0.3032,0.9933,B,baja rotación / alta rentabilidad,197591.13,137673.24,si
10060,SABORES DE LA VIDA AVENA/COCO/CHIPS DDL 1X160GRS G,#19 GALLETITAS,GAONA,66,238.0,0.277311,0.1825,0.3031,0.9933,B,baja rotación / alta rentabilidad,206225.41,143711.54,si
10061,SABORES DE LA VIDA AVENA/MIEL 1X160GRS GAONA,#19 GALLETITAS,GAONA,52,173.0,0.300578,0.2089,0.3029,0.9932,B,baja rotación / alta rentabilidad,149863.83,104462.59,si
10062,SABORES DE LA VIDA AVENA/CACAO/MIEL 1X160GRS GAONA,#19 GALLETITAS,GAONA,49,171.0,0.28655,0.193,0.3029,0.9932,B,baja rotación / alta rentabilidad,148128.26,103254.93,si
10069,CUBICUB DUO FRUTILLA C/CREMA 1X100GRS GAONA,#19 GALLETITAS,GAONA,27,93.0,0.290323,0.1973,-2.0902,0.8437,A,alta rotación / baja rentabilidad,14024.36,43338.0,si
10070,CUBICUB FRUTILLA 1X100GRS GAONA,#19 GALLETITAS,GAONA,9,34.0,0.264706,0.1683,0.3029,0.9932,B,baja rotación / alta rentabilidad,22726.84,15844.0,si
10071,CUBICUB LEMON PIE 1X100GRS GAONA,#19 GALLETITAS,GAONA,39,143.0,0.272727,0.1773,-15.591,0.0,A,alta rotación / baja rentabilidad,4016.52,66638.0,si
10072,CUBICUB ORIGINAL (AVELLANA) 1X100GRS GAONA,#19 GALLETITAS,GAONA,15,36.0,0.416667,0.3402,0.0,0.9743,A,alta rotación / baja rentabilidad,0.0,16776.0,si
10073,CUBICUB VAINILLA 1X100GRS GAONA,#19 GALLETITAS,GAONA,11,48.0,0.229167,0.1281,-0.2399,0.9593,B,baja rotación / alta rentabilidad,18040.89,22368.0,si
