codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
10014,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI,"Aritos galácticos sabor cebolla, marca OVNI, presentación de 60 gramos.",aritos|snacks|snack|palitos|gusanitos,ACTUALIZAR
10115,ANILLO COCO 1X220GRS GAONA,ANILLO COCO 1X220GRS GAONA,"Galleta anillo de coco, marca Gaona, presentación de 220 gramos.",galleta gaona|anillo de coco|galleta de coco|anillos gaona,ACTUALIZAR
10116,ANILLO LIMON 1X220GRS GAONA,GAONA ANILLO LIMON 16X220G,"Galletitas tipo anillo sabor limón, marca Gaona, presentación de 220 gramos.",galletitas|anillos|gaona,ACTUALIZAR
10163,ARMA TU CUMPLE,ARMA TU CUMPLE,"Combo o kit surtido de golosinas y artículos para festejo de cumpleaños.",combo de golosinas|artículos de fiesta|kit de cumpleaños|cumpleaños,ACTUALIZAR
10030,BOLDO HURLINGHAM X25 SAQ. S/S,BOLDO HURLINGHAM X25 SAQ. S/S,"Boldo en saquitos individuales, marca Hurlingham, presentación de 25 unidades.",té de boldo|saquitos de boldo|boldo hurlingham,ACTUALIZAR
457,CHIMICHURRI BASILIA 1 X 25GR,CHIMICHURRI BASILIA 1 X 25GR,"Chimichurri en polvo, marca Basilia, presentado en paquete de 25 gramos.",chimichurri|aderezo|salsa chimichurri,ACTUALIZAR
10114,CHIPS COLORES 1X200GRS GAONA,CHIPS COLORES 1X200GRS GAONA,"Galletas chips de colores, marca Gaona, presentación de 200 gramos.",galletitas|chips de colores|galletas gaona,ACTUALIZAR
10113,CHIPS DDL 1X200GRS GAONA,CHIPS DDL 1X200GRS GAONA,"Chips de galleta con dulce de leche, marca Gaona, 200 gramos.",galletitas|chips|gaona|chips de dulce de leche,ACTUALIZAR
299,CITRUS 3 lts. X 6 MANAOS,CITRUS 3 lts. X 6 MANAOS,"Gaseosa sabor citrus, marca Manaos, presentación de 3 litros en pack de 6.",gaseosa manaos|manaos citrus|citrus manaos|gaseosa de naranja|gaseosa de pomelo,ACTUALIZAR
10140,COLA 1.5 LTS X 6 MANAOS,COLA 1.5 LTS X 6 MANAOS,"Gaseosa cola sabor original, marca Manaos, presentación de 1.5 litros, pack de 6 unidades.",gaseosa cola|manaos cola|cola manaos|gaseosa manaos,ACTUALIZAR
289,COLA 2.25 lts. X 6 MANAOS,COLA 2.25 lts. X 6 MANAOS,"Gaseosa cola sin azúcar, marca Manaos, formato pack de 6 unidades de 2.25 litros.",gaseosa cola|cola manaos|manaos cola|gaseosa sin azúcar|pack de cola,ACTUALIZAR
295,COLA 3 lts. X 6 MANAOS,COLA 3 lts. X 6 MANAOS,"Gaseosa cola en botella de 3 litros, marca Manaos, pack de 6 unidades.",gaseosa|cola|manaos|gaseosa manaos|pack de gaseosa|gaseosa cola,ACTUALIZAR
281,COLA 600ml X 12 MANAOS,COLA 600ml X 12 MANAOS,"Gaseosa cola sabor clásico, marca Manaos, presentación de 600ml en pack de 12 unidades.",gaseosa|cola|manaos|agua saborizada|refresco,ACTUALIZAR
464,CONITOS GALACTICOS 1X180GR OVNI,CONITOS GALACTICOS 1X180GR OVNI,"Conitos galácticos sabor jamón serrano, marca OVNI, presentación de 180 gramos.",conitos|snacks|papas galácticas,ACTUALIZAR
10053,CRUNCHIPS 1X132GRS GAONA,CRUNCHIPS 1X132GRS GAONA,"Galletitas dulces sabor dulce de leche, marca Crunchips, peso neto 132 g.",galletitas|masitas|cookies,ACTUALIZAR
10051,CRUNCHIPS COLORES 1X132GRS GAONA,CRUNCHIPS COLORES 1X132GRS GAONA,"Galletitas saladas Crunchips colores, marca Gaona, presentación de 132 gramos.",galletitas|crunchips|masitas|galletas,ACTUALIZAR
10056,CRUNCHIPS COLORES POCKET 1X72GRS GAONA,CRUNCHIPS COLORES POCKET 1X72GRS GAONA,"Galletitas dulces sabor vainilla, marca Gaona, presentación pocket de 72 gramos.",galletitas|masitas|cookies|crunchips,ACTUALIZAR
10054,CRUNCHIPS DARK 1X132GRS GAONA,CRUNCHIPS DARK 1X132GRS GAONA,"Galleta Crunchips sabor chocolate negro, marca Gaona, presentación de 132 gramos.",galleta crunchips|crunchips|galletitas crunchips,ACTUALIZAR
10049,CRUNCHIPS DDL 1X132GRS GAONA,CRUNCHIPS DDL 1X132GRS GAONA,"Galletitas dulces sabor dulce de leche, marca Gaona, presentación 132g.",galletitas|crunchips|galletitas gaona,ACTUALIZAR
10048,CRUNCHIPS MINI 1X70GRS GAONA,CRUNCHIPS MINI 1X70GRS GAONA,"Galletitas saladas Crunchips mini de 70 gramos, marca Gaona.",galletitas|crunchips|gaona,ACTUALIZAR
10055,CRUNCHIPS POCKET 1X72GRS GAONA,GACRUNCHIPS POCKET 1X72GRS GAONA,"Galletitas Crunchips Pocket sabor clásico, marca Gaona, presentación de 72 gramos.",galletitas|crunchips|galleta pocket|crunchips gaona,ACTUALIZAR
10075,CUBICUB BON 1X100GRS GAONA,CUBICUB BON 1X100GRS GAONA,"Galletita Cubicub Bon de chocolate con crema, marca Gaona, 100 gramos.",galletitas|cubicub|cubicub bon,ACTUALIZAR
10070,CUBICUB FRUTILLA 1X100GRS GAONA,CUBICUB FRUTILLA 1X100GRS GAONA,"Galletitas Cubicub rellenas con crema sabor frutilla, marca Gaona, 100 gramos.",galletitas|cubicub|galletitas gaona|galletitas frutilla,ACTUALIZAR
10071,CUBICUB LEMON PIE 1X100GRS GAONA,CUBICUB LEMON PIE 1X100GRS GAONA,"Galletitas rellenas con crema sabor lemon pie, marca Gaona, 100 gramos.",galletitas|cubicub|galletitas de limón|galletitas gaona,ACTUALIZAR
323,F-NANDITO VII DOBLE 1 litro X6,F-NANDITO VII DOBLE 1 litro X6,"Fernet con cola F-Nandito VII, presentación de 1 litro, pack de 6 unidades.",fernet|fernet cola|f-nandito|f-nandito vii|fernet con cola,ACTUALIZAR
361,F-NANDITO VII SIMPLE 1 LITRO X6,F-NANDITO VII SIMPLE 1 LITRO X6,"Aperitivo a base de fernet con cola listo para tomar (graduación simple o suave), marca Fernandito VII, presentación de 1 litro por 6 unidades.",aperitivo|fernandito|fernet con cola|bebida alcohólica,ACTUALIZAR
395,GRANADINA 3 LTS X6 MANAOS,GRANADINA 3 LTS X6 MANAOS,"Granadina sabor frutilla, marca Manaos, presentación de 3 litros en pack de 6 unidades.",granadina|granadina manaos|sirope de granadina|sirope manaos,ACTUALIZAR
