product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
10065,BACARDI CARTA BLANCA 980ml PT 40°,21488.57,364,12,unidad,unidad,Bebidas,Bebidas blancas,Bacardi,980 ml,BACARDI CARTA BLANCA 980ml PT 40°|10065|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Bacardi|caja bacardi|bulto bacardi|carta|blanca,0.9,0.79,"Ron, marca Bacardi, 980 ml, caja x12, bebidas blancas, carta blanca.",,true,true,Sucursal Córdoba
10066,BACARDI CARTA ORO 980ml PT 40°,21487.56,364,12,unidad,unidad,Bebidas,Bebidas blancas,Bacardi,980 ml,BACARDI CARTA ORO 980ml PT 40°|10066|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Bacardi|caja bacardi|bulto bacardi|carta|oro,0.9,0.79,"Ron, marca Bacardi, 980 ml, caja x12, bebidas blancas, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10067,BACARDI CARTA BLANCA 700ml 40°,25569.03,364,12,unidad,unidad,Bebidas,Bebidas blancas,Bacardi,700 ml,BACARDI CARTA BLANCA 700ml 40°|10067|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Bacardi|caja bacardi|bulto bacardi|carta|blanca,0.9,0.79,"Ron, marca Bacardi, 700 ml, caja x12, bebidas blancas, carta blanca.",,true,true,Sucursal Córdoba
10068,BACARDI CARTA ORO 700ml 40°,25315.63,364,12,unidad,unidad,Bebidas,Bebidas blancas,Bacardi,700 ml,BACARDI CARTA ORO 700ml 40°|10068|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Bacardi|caja bacardi|bulto bacardi|carta|oro,0.9,0.79,"Ron, marca Bacardi, 700 ml, caja x12, bebidas blancas, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10069,JAMAICA 1L GOLD RUM,9557.55,360,8,unidad,unidad,Bebidas,Bebidas blancas,Jamaica,1 L,JAMAICA 1L GOLD RUM|10069|bebidas blancas|caja|bulto|unidad|caja x8|bulto x8|x8|Jamaica|caja jamaica|bulto jamaica|gold|rum,0.89,0.78,"Ron, marca Jamaica, 1 L, caja x8, bebidas blancas, gold.",,true,true,Sucursal Córdoba
10070,JAMAICA 1L DRY RUM x8,9557.55,360,8,unidad,unidad,Bebidas,Bebidas blancas,Jamaica,1 L,JAMAICA 1L DRY RUM x8|10070|bebidas blancas|caja|bulto|unidad|caja x8|bulto x8|x8|Jamaica|caja jamaica|bulto jamaica|dry|rum,0.89,0.78,"Ron, marca Jamaica, 1 L, caja x8, bebidas blancas, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10077,VODKA NIKOV TRADICIONAL 1L,6304.88,360,6,unidad,unidad,Bebidas,Bebidas blancas,Nikov,1 L,VODKA NIKOV TRADICIONAL 1L|10077|bebidas blancas|caja|bulto|unidad|caja x6|bulto x6|x6|Nikov|caja nikov|bulto nikov|vodka|tradicional,0.89,0.78,"Vodka, marca Nikov, 1 L, caja x6, bebidas blancas, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10081,GIN BOMBAY 750ml SAPPHIRE,31158.38,360,12,unidad,unidad,Bebidas,Bebidas blancas,Bombay,750 ml,GIN BOMBAY 750ml SAPPHIRE|10081|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Bombay|caja bombay|bulto bombay|gin|750,0.89,0.78,"Gin, marca Bombay, 750 ml, caja x12, bebidas blancas, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10101,AMARULA 750ml COFFEE,28373.51,360,12,unidad,unidad,Bebidas,Bebidas blancas,Amarula,750 ml,AMARULA 750ml COFFEE|10101|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Amarula|caja amarula|bulto amarula|750|coffee,0.89,0.78,"Bebidas blancas, marca Amarula, 750 ml, caja x12, bebidas blancas.",,true,true,Sucursal Córdoba
10102,AMARULA 750ml RASPBERRY,27944.78,360,12,unidad,unidad,Bebidas,Bebidas blancas,Amarula,750 ml,AMARULA 750ml RASPBERRY|10102|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Amarula|caja amarula|bulto amarula|750|raspberry,0.89,0.78,"Bebidas blancas, marca Amarula, 750 ml, caja x12, bebidas blancas.",,true,true,Sucursal Córdoba
10103,AMARULA 750ml 17°,27944.78,360,12,unidad,unidad,Bebidas,Bebidas blancas,Amarula,750 ml,AMARULA 750ml 17°|10103|bebidas blancas|caja|bulto|unidad|caja x12|bulto x12|x12|Amarula|caja amarula|bulto amarula|750,0.89,0.78,"Bebidas blancas, marca Amarula, 750 ml, caja x12, bebidas blancas.",,true,true,Sucursal Córdoba
10121,TRES TORRES 1.5L SERRANO PET,1040.71,356,12,unidad,unidad,Bebidas,Amargos,Tres Torres,1.5 L,TRES TORRES 1.5L SERRANO PET|10121|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tres Torres|caja tres torres|bulto tres torres|tres|torres,0.88,0.77,"Amargos, marca Tres Torres, 1.5 L, caja x12, amargos, serrano.",,true,true,Sucursal Córdoba
10122,TRES TORRES 1.5L BLANCO PET,1037.92,356,12,unidad,unidad,Bebidas,Amargos,Tres Torres,1.5 L,TRES TORRES 1.5L BLANCO PET|10122|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tres Torres|caja tres torres|bulto tres torres|tres|torres,0.88,0.77,"Amargos, marca Tres Torres, 1.5 L, caja x12, amargos.",,true,true,Sucursal Córdoba
10123,TRES TORRES 1.5L LIMON PET,1037.92,356,12,unidad,unidad,Bebidas,Amargos,Tres Torres,1.5 L,TRES TORRES 1.5L LIMON PET|10123|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tres Torres|caja tres torres|bulto tres torres|tres|torres,0.88,0.77,"Amargos, marca Tres Torres, 1.5 L, caja x12, amargos, limón.",,true,true,Sucursal Córdoba
10124,TRES TORRES 1.5L POMELO ROSADO,1037.92,356,12,unidad,unidad,Bebidas,Amargos,Tres Torres,1.5 L,TRES TORRES 1.5L POMELO ROSADO|10124|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tres Torres|caja tres torres|bulto tres torres|tres|torres,0.88,0.77,"Amargos, marca Tres Torres, 1.5 L, caja x12, amargos, pomelo.",,true,true,Sucursal Córdoba
10125,TACCONI 1.5L SERRANO PET,1933.20,356,12,unidad,unidad,Bebidas,Amargos,Tacconi,1.5 L,TACCONI 1.5L SERRANO PET|10125|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tacconi|caja tacconi|bulto tacconi|serrano|pet,0.88,0.77,"Amargos, marca Tacconi, 1.5 L, caja x12, amargos, serrano.",,true,true,Sucursal Córdoba
10126,TACCONI 1.5L LIMON PET,1933.20,356,12,unidad,unidad,Bebidas,Amargos,Tacconi,1.5 L,TACCONI 1.5L LIMON PET|10126|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tacconi|caja tacconi|bulto tacconi|limon|pet,0.88,0.77,"Amargos, marca Tacconi, 1.5 L, caja x12, amargos, limón.",,true,true,Sucursal Córdoba
10127,TACCONI 1.5L BLANCO PET,1933.20,356,12,unidad,unidad,Bebidas,Amargos,Tacconi,1.5 L,TACCONI 1.5L BLANCO PET|10127|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tacconi|caja tacconi|bulto tacconi|blanco|pet,0.88,0.77,"Amargos, marca Tacconi, 1.5 L, caja x12, amargos, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10129,TACCONI 1.5L POMELO PET,1933.20,353,12,unidad,unidad,Bebidas,Amargos,Tacconi,1.5 L,TACCONI 1.5L POMELO PET|10129|amargos|caja|bulto|unidad|caja x12|bulto x12|x12|Tacconi|caja tacconi|bulto tacconi|pomelo|pet,0.87,0.77,"Amargos, marca Tacconi, 1.5 L, caja x12, amargos, pomelo.",,true,true,Sucursal Córdoba
10053,FERNET 1882 750ml,7705.10,353,6,unidad,unidad,Bebidas,Aperitivos,Fernet 1882,750 ml,FERNET 1882 750ml|10053|aperitivos|caja|bulto|unidad|caja x6|bulto x6|x6|Fernet 1882|caja fernet 1882|bulto fernet 1882|fernet|1882,0.87,0.77,"Fernet, marca Fernet 1882, 750 ml, caja x6, aperitivos, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
10054,FERNET 1882 450ml,6249.16,353,6,unidad,unidad,Bebidas,Aperitivos,Fernet 1882,450 ml,FERNET 1882 450ml|10054|aperitivos|caja|bulto|unidad|caja x6|bulto x6|x6|Fernet 1882|caja fernet 1882|bulto fernet 1882|fernet|1882,0.87,0.77,"Fernet, marca Fernet 1882, 450 ml, caja x6, aperitivos, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
