product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
1079,PANTENE 200ml SH LISO INFINITO,4422.60,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,200 ml,PANTENE 200ml SH LISO INFINITO|1079|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|shampoo|200,0.95,0.84,"Shampoo, marca Pantene, 200 ml, caja x12, cuidado de cabello, liso infinito.",,true,true,Sucursal Córdoba
15006,PANTENE 400ml SH LISO INFINITO,7401.32,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,400 ml,PANTENE 400ml SH LISO INFINITO|15006|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|shampoo|400,0.95,0.84,"Shampoo, marca Pantene, 400 ml, caja x12, cuidado de cabello, liso infinito.",,true,true,Sucursal Córdoba
116,PANTENE 300ml SH KERATINA,6662.80,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,300 ml,PANTENE 300ml SH KERATINA|116|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|shampoo|300,0.95,0.84,"Shampoo, marca Pantene, 300 ml, caja x12, cuidado de cabello, keratina.",,true,true,Sucursal Córdoba
118,PANTENE 250ml AC KERATINA,6662.80,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,250 ml,PANTENE 250ml AC KERATINA|118|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|250|keratina,0.95,0.84,"Acondicionador, marca Pantene, 250 ml, caja x12, cuidado de cabello, keratina.",,true,true,Sucursal Córdoba
1453,PANTENE 400ml SH RESTAURACION,7401.32,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,400 ml,PANTENE 400ml SH RESTAURACION|1453|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|shampoo|400,0.95,0.84,"Shampoo, marca Pantene, 400 ml, caja x12, cuidado de cabello, restauración.",,true,true,Sucursal Córdoba
1451,PANTENE 400ml AC RESTAURACION,7401.32,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,400 ml,PANTENE 400ml AC RESTAURACION|1451|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|400|restauracion,0.95,0.84,"Acondicionador, marca Pantene, 400 ml, caja x12, cuidado de cabello, restauración.",,true,true,Sucursal Córdoba
17500,PANTENE CREM. PEIN. KERATINA X 300ML,8490.55,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,300 ml,PANTENE CREM. PEIN. KERATINA X 300ML|17500|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Pantene|caja pantene|bulto pantene|crem|pein,0.95,0.84,"Crema de peinar, marca Pantene, 300 ml, caja x12, cuidado de cabello, keratina.",,true,true,Sucursal Córdoba
1871,PANTENE SACHET SH RESTAURACION 10ML,198.96,386,576,unidad,unidad,Cuidado personal,Cuidado de cabello,Pantene,10 ml,PANTENE SACHET SH RESTAURACION 10ML|1871|cuidado de cabello|caja|bulto|unidad|caja x576|bulto x576|x576|Pantene|caja pantene|bulto pantene|sachet|sobrecito,0.95,0.84,"Sachet de shampoo, marca Pantene, 10 ml, caja x576, cuidado de cabello, restauración.",,true,true,Sucursal Córdoba
552,HS 180ml SH ANTICOMEZON,5363.72,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Head & Shoulders,180 ml,HS 180ml SH ANTICOMEZON|552|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Head & Shoulders|caja head & shoulders|bulto head & shoulders|shampoo|180,0.95,0.84,"Shampoo, marca Head & Shoulders, 180 ml, caja x12, cuidado de cabello, anticómezón.",,true,true,Sucursal Córdoba
551,HS 375ml SH ANTICOMEZON,9545.67,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Head & Shoulders,375 ml,HS 375ml SH ANTICOMEZON|551|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Head & Shoulders|caja head & shoulders|bulto head & shoulders|shampoo|375,0.95,0.84,"Shampoo, marca Head & Shoulders, 375 ml, caja x12, cuidado de cabello, anticómezón.",,true,true,Sucursal Córdoba
7636,HS 375ml SH MANZANA FRESH,9545.67,386,12,unidad,unidad,Cuidado personal,Cuidado de cabello,Head & Shoulders,375 ml,HS 375ml SH MANZANA FRESH|7636|cuidado de cabello|caja|bulto|unidad|caja x12|bulto x12|x12|Head & Shoulders|caja head & shoulders|bulto head & shoulders|shampoo|375,0.95,0.84,"Shampoo, marca Head & Shoulders, 375 ml, caja x12, cuidado de cabello, manzana.",,true,true,Sucursal Córdoba
1880,PASTA ORAL-B 150gr 123,4888.74,383,24,unidad,unidad,Cuidado personal,Cuidado bucal,Oral-B,150 g,PASTA ORAL-B 150gr 123|1880|cuidado bucal|caja|bulto|unidad|caja x24|bulto x24|x24|Oral-B|caja oral-b|bulto oral-b|pasta|oral,0.94,0.83,"Pasta dental, marca Oral-B, 150 g, caja x24, cuidado bucal.",,true,true,Sucursal Córdoba
8006,PASTA ORAL-B 70g 123,1799.48,383,48,unidad,unidad,Cuidado personal,Cuidado bucal,Oral-B,70 g,PASTA ORAL-B 70g 123|8006|cuidado bucal|caja|bulto|unidad|caja x48|bulto x48|x48|Oral-B|caja oral-b|bulto oral-b|pasta|oral,0.94,0.83,"Pasta dental, marca Oral-B, 70 g, caja x48, cuidado bucal.",,true,true,Sucursal Córdoba
8105,CEP. ORAL-B 123 x1,1076.67,380,36,unidad,unidad,Cuidado personal,Cuidado bucal,Oral-B,Cepillo dental,CEP. ORAL-B 123 x1|8105|cuidado bucal|caja|bulto|unidad|caja x36|bulto x36|x36|Oral-B|caja oral-b|bulto oral-b|cep|oral,0.93,0.82,"Cepillo dental, marca Oral-B, caja x36, cuidado bucal, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
8106,CEP. ORAL-B 123 x2,3162.28,380,36,unidad,unidad,Cuidado personal,Cuidado bucal,Oral-B,Cepillo dental,CEP. ORAL-B 123 x2|8106|cuidado bucal|caja|bulto|unidad|caja x36|bulto x36|x36|Oral-B|caja oral-b|bulto oral-b|cep|oral,0.93,0.82,"Cepillo dental, marca Oral-B, caja x36, cuidado bucal, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
1194,PAMPERS BABYDRY PEQ X8,4115.19,380,16,unidad,unidad,Cuidado personal,Pañales,Pampers,Pañal,PAMPERS BABYDRY PEQ X8|1194|pañales|caja|bulto|unidad|caja x16|bulto x16|x16|Pampers|caja pampers|bulto pampers|babydry|peq,0.93,0.82,"Pañal, marca Pampers, caja x16, pañales, talle P, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
1191,PAMPERS BABYDRY MED x8,3840.85,377,16,unidad,unidad,Cuidado personal,Pañales,Pampers,Pañal,PAMPERS BABYDRY MED x8|1191|pañales|caja|bulto|unidad|caja x16|bulto x16|x16|Pampers|caja pampers|bulto pampers|babydry|med,0.92,0.81,"Pañal, marca Pampers, caja x16, pañales, talle M, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
1192,PAMPERS BABYDRY GDE X8,3840.85,377,16,unidad,unidad,Cuidado personal,Pañales,Pampers,Pañal,PAMPERS BABYDRY GDE X8|1192|pañales|caja|bulto|unidad|caja x16|bulto x16|x16|Pampers|caja pampers|bulto pampers|babydry|gde,0.92,0.81,"Pañal, marca Pampers, caja x16, pañales, talle G, lista ESEKA-U sucursal Córdoba.",,true,true,Sucursal Córdoba
