product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
F001,LAVANDINA COMUN X 1 LT X 1 SEDILE,800.00,402,1,unidad,unidad,Limpieza,Lavandina,SEDILE,,lavandina comun x 1 lt x 1 sedile|lavandina|limpieza|F001|sedile|sedile lavandina|comun,0.92,0.74,"Lavandina de limpieza, marca Sedile, lavandina comun.",,true,true,Hoja1
F002,LAVANDINA COMUN X 4 LT X 1 SEDILE,2900.00,402,1,unidad,unidad,Limpieza,Lavandina,SEDILE,,lavandina comun x 4 lt x 1 sedile|lavandina|limpieza|F002|sedile|sedile lavandina|comun,0.92,0.74,"Lavandina de limpieza, marca Sedile, lavandina comun.",,true,true,Hoja1
F003,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,1020.00,402,1,unidad,unidad,Limpieza,Lavandina,ESENCIAL,,lavandina concentrada x 1l x 1 esencial|lavandina|limpieza|F003|esencial|esencial lavandina|concentrada,0.92,0.74,"Lavandina de limpieza, marca Esencial, lavandina concentrada.",,true,true,Hoja1
F004,LAVANDINA CONCENTRADA X 2L X 1 ESENCIAL,1910.00,402,1,unidad,unidad,Limpieza,Lavandina,ESENCIAL,,lavandina concentrada x 2l x 1 esencial|lavandina|limpieza|F004|esencial|esencial lavandina|concentrada,0.92,0.74,"Lavandina de limpieza, marca Esencial, lavandina concentrada.",,true,true,Hoja1
F005,LAVANDINA CONCENTRADA X 4L X1 ESENCIAL,3610.00,398,1,unidad,unidad,Limpieza,Lavandina,ESENCIAL,,lavandina concentrada x 4l x1 esencial|lavandina|limpieza|F005|esencial|esencial lavandina|concentrada,0.91,0.73,"Lavandina de limpieza, marca Esencial, lavandina concentrada.",,true,true,Hoja1
F006,COLAGENO LAVAVAJILLAS 1 X 750CC ESENCIAL,1273.00,398,1,unidad,unidad,Limpieza,Lavavajillas,ESENCIAL,,colageno lavavajillas 1 x 750cc esencial|lavavajillas|limpieza|F006|esencial|esencial lavavajillas|colageno,0.91,0.73,"Lavavajillas de limpieza, marca Esencial, colageno lavavajillas 1.",,true,true,Hoja1
F007,GLICERINA VAVAJILLAS 1 X 750CC ESENCIAL,1273.00,398,1,unidad,unidad,Limpieza,Lavavajillas,ESENCIAL,,glicerina vavajillas 1 x 750cc esencial|lavavajillas|limpieza|F007|esencial|esencial lavavajillas|glicerina|vavajillas,0.91,0.73,"Lavavajillas de limpieza, marca Esencial, glicerina vavajillas 1.",,true,true,Hoja1
F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,1273.00,398,1,unidad,unidad,Limpieza,Lavavajillas,ESENCIAL,,aloe vera lavavajillas 1 x 750cc esencial|lavavajillas|limpieza|F008|esencial|esencial lavavajillas|aloe|vera,0.91,0.73,"Lavavajillas de limpieza, marca Esencial, aloe vera lavavajillas 1.",,true,true,Hoja1
F009,GLICERINA LAVAVAJILLAS 1 X750CC SEDILE,1275.00,398,1,unidad,unidad,Limpieza,Lavavajillas,SEDILE,,glicerina lavavajillas 1 x750cc sedile|lavavajillas|limpieza|F009|sedile|sedile lavavajillas|glicerina,0.91,0.73,"Lavavajillas de limpieza, marca Sedile, glicerina lavavajillas 1 x750cc sedile.",,true,true,Hoja1
F010,ALOE VERA LAVAVAJILLAS 1 X750CC SEDILE,1275.00,398,1,unidad,unidad,Limpieza,Lavavajillas,SEDILE,,aloe vera lavavajillas 1 x750cc sedile|lavavajillas|limpieza|F010|sedile|sedile lavavajillas|aloe|vera,0.91,0.73,"Lavavajillas de limpieza, marca Sedile, aloe vera lavavajillas 1 x750cc sedile.",,true,true,Hoja1
