lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista Base (Público),1.00,F001,800.00,true
1,Lista Base (Público),1.00,F003,1020.00,true
1,Lista Base (Público),1.00,F008,1273.00,true
1,Lista Base (Público),1.00,F015,1034.00,true
1,Lista Base (Público),1.00,F027,1885.00,true
1,Lista Base (Público),1.00,F041,660.00,true
1,Lista Base (Público),1.00,F048,1850.00,true
1,Lista Base (Público),1.00,F067,550.00,true
1,Lista Base (Público),1.00,F116,850.00,true
1,Lista Base (Público),1.00,F121,740.00,true
1,Lista Base (Público),1.00,F201,4050.00,true
1,Lista Base (Público),1.00,F227,2165.00,true
1,Lista Base (Público),1.00,F055,3250.00,true
1,Lista Base (Público),1.00,F060,1360.00,true
1,Lista Base (Público),1.00,F281,13990.00,true
1,Lista Base (Público),1.00,F034,7960.00,true
1,Lista Base (Público),1.00,F355,6340.00,true
1,Lista Base (Público),1.00,F361,3790.00,true
1,Lista Base (Público),1.00,F401,2180.00,true
1,Lista Base (Público),1.00,F140,2100.00,true
1,Lista Base (Público),1.00,F138,1020.00,true
1,Lista Base (Público),1.00,F144,1930.00,true
1,Lista Base (Público),1.00,F171,2790.00,true
1,Lista Base (Público),1.00,F410,1400.00,true
1,Lista Base (Público),1.00,F037,1440.00,true
2,Lista Minorista Sugerido,1.15,F001,920.00,true
2,Lista Minorista Sugerido,1.15,F003,1173.00,true
2,Lista Minorista Sugerido,1.15,F008,1463.95,true
2,Lista Minorista Sugerido,1.15,F015,1189.10,true
2,Lista Minorista Sugerido,1.15,F027,2167.75,true
2,Lista Minorista Sugerido,1.15,F041,759.00,true
2,Lista Minorista Sugerido,1.15,F048,2127.50,true
2,Lista Minorista Sugerido,1.15,F067,632.50,true
2,Lista Minorista Sugerido,1.15,F116,977.50,true
2,Lista Minorista Sugerido,1.15,F121,851.00,true
2,Lista Minorista Sugerido,1.15,F201,4657.50,true
2,Lista Minorista Sugerido,1.15,F227,2489.75,true
2,Lista Minorista Sugerido,1.15,F055,3737.50,true
2,Lista Minorista Sugerido,1.15,F060,1564.00,true
2,Lista Minorista Sugerido,1.15,F281,16088.50,true
2,Lista Minorista Sugerido,1.15,F034,9154.00,true
2,Lista Minorista Sugerido,1.15,F355,7291.00,true
2,Lista Minorista Sugerido,1.15,F361,4358.50,true
2,Lista Minorista Sugerido,1.15,F401,2507.00,true
2,Lista Minorista Sugerido,1.15,F140,2415.00,true
2,Lista Minorista Sugerido,1.15,F138,1173.00,true
2,Lista Minorista Sugerido,1.15,F144,2219.50,true
2,Lista Minorista Sugerido,1.15,F171,3208.50,true
2,Lista Minorista Sugerido,1.15,F410,1610.00,true
2,Lista Minorista Sugerido,1.15,F037,1656.00,true
3,Lista Mayorista Especial,0.90,F001,720.00,true
3,Lista Mayorista Especial,0.90,F003,918.00,true
3,Lista Mayorista Especial,0.90,F008,1145.70,true
3,Lista Mayorista Especial,0.90,F015,930.60,true
3,Lista Mayorista Especial,0.90,F027,1696.50,true
3,Lista Mayorista Especial,0.90,F041,594.00,true
3,Lista Mayorista Especial,0.90,F048,1665.00,true
3,Lista Mayorista Especial,0.90,F067,495.00,true
3,Lista Mayorista Especial,0.90,F116,765.00,true
3,Lista Mayorista Especial,0.90,F121,666.00,true
3,Lista Mayorista Especial,0.90,F201,3645.00,true
3,Lista Mayorista Especial,0.90,F227,1948.50,true
3,Lista Mayorista Especial,0.90,F055,2925.00,true
3,Lista Mayorista Especial,0.90,F060,1224.00,true
3,Lista Mayorista Especial,0.90,F281,12591.00,true
3,Lista Mayorista Especial,0.90,F034,7164.00,true
3,Lista Mayorista Especial,0.90,F355,5706.00,true
3,Lista Mayorista Especial,0.90,F361,3411.00,true
3,Lista Mayorista Especial,0.90,F401,1962.00,true
3,Lista Mayorista Especial,0.90,F140,1890.00,true
3,Lista Mayorista Especial,0.90,F138,918.00,true
3,Lista Mayorista Especial,0.90,F144,1737.00,true
3,Lista Mayorista Especial,0.90,F171,2511.00,true
3,Lista Mayorista Especial,0.90,F410,1260.00,true
3,Lista Mayorista Especial,0.90,F037,1296.00,true
4,Lista Gran Distribuidor,0.85,F001,680.00,true
4,Lista Gran Distribuidor,0.85,F003,867.00,true
4,Lista Gran Distribuidor,0.85,F008,1082.05,true
4,Lista Gran Distribuidor,0.85,F015,878.90,true
4,Lista Gran Distribuidor,0.85,F027,1602.25,true
4,Lista Gran Distribuidor,0.85,F041,561.00,true
4,Lista Gran Distribuidor,0.85,F048,1572.50,true
4,Lista Gran Distribuidor,0.85,F067,467.50,true
4,Lista Gran Distribuidor,0.85,F116,722.50,true
4,Lista Gran Distribuidor,0.85,F121,629.00,true
4,Lista Gran Distribuidor,0.85,F201,3442.50,true
4,Lista Gran Distribuidor,0.85,F227,1840.25,true
4,Lista Gran Distribuidor,0.85,F055,2762.50,true
4,Lista Gran Distribuidor,0.85,F060,1156.00,true
4,Lista Gran Distribuidor,0.85,F281,11891.50,true
4,Lista Gran Distribuidor,0.85,F034,6766.00,true
4,Lista Gran Distribuidor,0.85,F355,5389.00,true
4,Lista Gran Distribuidor,0.85,F361,3221.50,true
4,Lista Gran Distribuidor,0.85,F401,1853.00,true
4,Lista Gran Distribuidor,0.85,F140,1785.00,true
4,Lista Gran Distribuidor,0.85,F138,867.00,true
4,Lista Gran Distribuidor,0.85,F144,1640.50,true
4,Lista Gran Distribuidor,0.85,F171,2371.50,true
4,Lista Gran Distribuidor,0.85,F410,1190.00,true
4,Lista Gran Distribuidor,0.85,F037,1224.00,true
