product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
F001,LAVANDINA COMUN X 1 LT X 1 SEDILE,800.00,386,1,unidad,unidad,Limpieza,Lavandina,SEDILE,,lavandina comun x 1 lt x 1 sedile|lavandina|limpieza|F001|sedile|sedile lavandina|comun,0.95,0.81,"Lavandina de limpieza, marca Sedile, lavandina comun.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F001.jpg,true,true,Hoja1
F003,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,1020.00,380,1,unidad,unidad,Limpieza,Lavandina,ESENCIAL,,lavandina concentrada x 1l x 1 esencial|lavandina|limpieza|F003|esencial|esencial lavandina|concentrada,0.93,0.79,"Lavandina de limpieza, marca Esencial, lavandina concentrada.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F003.jpg,true,true,Hoja1
F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,1273.00,374,1,unidad,unidad,Limpieza,Lavavajillas,ESENCIAL,,aloe vera lavavajillas 1 x 750cc esencial|lavavajillas|limpieza|F008|esencial|esencial lavavajillas|aloe|vera,0.91,0.77,"Lavavajillas de limpieza, marca Esencial, aloe vera lavavajillas 1.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F008.jpg,true,true,Hoja1
F015,LIQ DESINF 1 X900CC ESENCIAL PINO,1034.00,369,1,unidad,unidad,Limpieza,Desinfectante,ESENCIAL,,liq desinf 1 x900cc esencial pino|desinfectante|limpieza|F015|esencial|esencial desinfectante|liq|desinf,0.89,0.76,"Desinfectante de limpieza, marca Esencial, liq desinf 1 x900cc esencial pino.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F015.jpg,true,true,Hoja1
F027,LIQ P LAVAR ROPA 1 X800 CLOW,1885.00,363,1,unidad,unidad,Limpieza,Ropa,CLOW,,liq p lavar ropa 1 x800 clow|ropa|limpieza|F027|clow|clow ropa|liq|lavar,0.87,0.74,"Ropa de limpieza, marca Clow, liq p lavar ropa 1 x800 clow.",,true,true,Hoja1
F041,PAPEL HIG. X 1 X 50MTS,660.00,358,1,unidad,unidad,Papel,Higiene,,,papel hig. x 1 x 50mts|higiene|papel|F041|hig|mts,0.85,0.72,"Higiene de papel, papel hig..",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F041.jpg,true,true,Hoja1
F048,ROLLO COCINA X3X50P,1850.00,352,1,unidad,unidad,Papel,Cocina,,,rollo cocina x3x50p|cocina|papel|F048|rollo,0.83,0.71,"Cocina de papel, rollo cocina x3x50p.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F048.jpg,true,true,Hoja1
F067,ARROZ MITAI CALIDAD 0000,550.00,346,1,unidad,unidad,Almacén,Secos,MITAI,,arroz mitai calidad 0000|secos|almacén|F067|mitai|mitai secos|arroz|calidad,0.81,0.69,"Secos de almacén, marca Mitai, arroz mitai calidad 0000.",,true,true,Hoja1
F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,850.00,341,1,unidad,unidad,Almacén,Secos,MAROLIO,,fideo spaghetti marolio 1u x 500gr|secos|almacén|F116|marolio|marolio secos|fideo|spaghetti,0.79,0.67,"Secos de almacén, marca Marolio, fideo spaghetti marolio.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F116.jpg,true,true,Hoja1
F121,FIDEO TIRABUZON SANTA ISABEL 1U X 500GR,740.00,335,1,unidad,unidad,Almacén,Secos,SANTA ISABEL,,fideo tirabuzon santa isabel 1u x 500gr|secos|almacén|F121|santa isabel|santa isabel secos|fideo|tirabuzon,0.77,0.65,"Secos de almacén, marca Santa Isabel, fideo tirabuzon santa isabel.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F121.jpg,true,true,Hoja1
F201,YERBA PLAYADITO 1U X 1KG,4050.00,330,1,unidad,unidad,Infusiones,Yerba,PLAYADITO,,yerba playadito 1u x 1kg|yerba|infusiones|F201|playadito|playadito yerba,0.75,0.64,"Yerba de infusiones, marca Playadito, yerba playadito.",,true,true,Hoja1
F227,YERBA PLAYADITO 1U X 500GR,2165.00,324,1,unidad,unidad,Infusiones,Yerba,PLAYADITO,,yerba playadito 1u x 500gr|yerba|infusiones|F227|playadito|playadito yerba,0.73,0.62,"Yerba de infusiones, marca Playadito, yerba playadito.",,true,true,Hoja1
F055,TAKIS FUEGO 1 P 140 G FLOW BAR EXP,3250.00,318,1,unidad,unidad,Snacks,Picadas,TAKIS,,takis fuego 1 p 140 g flow bar exp|picadas|snacks|F055|takis|takis picadas|fuego|flow,0.71,0.6,"Picadas de snacks, marca Takis, takis fuego 1 p 140 g flow bar exp.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F055.jpg,true,true,Hoja1
F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,1360.00,313,1,unidad,unidad,Snacks,Picadas,TAKIS,,takis original 1p 49 flow bar exp|picadas|snacks|F060|takis|takis picadas|original|flow,0.69,0.59,"Picadas de snacks, marca Takis, takis original 1p 49 flow bar exp.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F060.jpg,true,true,Hoja1
F281,BELDENT FRUTILLA X 20UN,13990.00,307,20,unidad,unidad,Golosinas,Kiosco,BELDENT,,beldent frutilla x 20un|kiosco|golosinas|F281|beldent|beldent kiosco|frutilla,0.67,0.57,"Kiosco de golosinas, marca Beldent, pack x20, beldent frutilla.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F281.jpg,true,true,Hoja1
F034,ALFAJOR GENIO TRIPLE NEGRO X 24U,7960.00,302,24,unidad,unidad,Golosinas,Kiosco,GENIO,,alfajor genio triple negro x 24u|kiosco|golosinas|F034|genio|genio kiosco|alfajor|triple,0.65,0.55,"Kiosco de golosinas, marca Genio, pack x24, alfajor genio triple negro.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F034.jpg,true,true,Hoja1
F355,MARLBORO BOX 20,6340.00,296,1,unidad,unidad,Cigarrillos,Box,MARLBORO,,marlboro box 20|box|cigarrillos|F355|marlboro|marlboro box,0.63,0.54,"Box de cigarrillos, marca Marlboro, marlboro box 20.",,true,true,Hoja1
F361,MARLBORO PURPLE 12,3790.00,290,1,unidad,unidad,Cigarrillos,Box,MARLBORO,,marlboro purple 12|box|cigarrillos|F361|marlboro|marlboro box|purple,0.61,0.52,"Box de cigarrillos, marca Marlboro, marlboro purple 12.",,true,true,Hoja1
F401,LUCKY RED 20,2180.00,285,1,unidad,unidad,Cigarrillos,Box,LUCKY,,lucky red 20|box|cigarrillos|F401|lucky|lucky box|red,0.59,0.5,"Box de cigarrillos, marca Lucky, lucky red 20.",,true,true,Hoja1
F140,RAPIDITAS CLASIC 1U X 240GR,2100.00,279,1,unidad,unidad,Panificados,Panadería,,,rapiditas clasic 1u x 240gr|panadería|panificados|F140|rapiditas|clasic,0.57,0.48,"Panadería de panificados, rapiditas clasic.",https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-forsa/F140.jpg,true,true,Hoja1
