numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Almacén La Esquina,Almacén La Esquina,5493587905250,2,1,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.345877,-64.270159,true
2,Kiosco El Rincón,Kiosco El Rincón,5493582641213,3,2,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.345916,-64.264262,true
3,Distribuidora La Familia,Distribuidora La Familia,5492991227644,4,3,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.345723,-64.270374,true
4,Panadería El Buen Pan,Panadería El Buen Pan,5493418277249,1,4,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.348481,-64.266747,true
5,Golosinas y Snacks El Sabor,Golosinas y Snacks El Sabor,5493587747641,2,5,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.348717,-64.26736,true
6,Cigarrillos y Más,Cigarrillos y Más,5492614053074,3,6,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.349479,-64.261199,true
7,Limpieza Total,Limpieza Total,5493514079279,4,7,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.348859,-64.261938,true
8,Almacén del Barrio,Almacén del Barrio,5493876914178,1,8,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.350224,-64.268674,true
9,Kiosco La Amistad,Kiosco La Amistad,5492617175545,2,9,lunes,martes,"Zona ZONA NOROESTE - Barrio Alta Córdoba - Córdoba Capital, Córdoba, Argentina",Juan Pérez,0,0,-31.345131,-64.262955,true
10,Bebidas y Alimentos,Bebidas y Alimentos,5493818437953,3,10,martes,miercoles,"Zona ZONA NORTE - Barrio General Paz - Córdoba Capital, Córdoba, Argentina",María González,1,1,-31.349646,-64.24849,true
