product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja,marca,precio_tiendanube,barcode
6300,Jabón Sri Sri Ayurvédico Con Limón Y Tea Tree,3981.73,50,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Jabones,,Jabón Sri Sri Ayurvédico Con Limón Y Tea Tree|Sri Sri Tattva|Sri Sri Tattva Jabón Sri Sri Ayurvédico Con Limón Y Tea Tree|6300,0.800,0.800,"Jabón Sri Sri Ayurvédico Con Limón Y Tea Tree, marca Sri Sri Tattva, higiene personal.",,true,false,tiendanube,Sri Sri Tattva,6636.21,8904150190104
6127,Skarchitos Copos De Maíz Azucarados Cereal Granix 500 Grs,3529.48,632,1,unidad,unidad,Alimentos y Bebidas,Almacén,Cereales y Barras,,Skarchitos Copos De Maíz Azucarados Cereal Granix 500 Grs|Alimentos Granix|Alimentos Granix Skarchitos Copos De Maíz Azucarados Cereal Granix 500 Grs|6127|500 Grs,0.185,0.185,"Skarchitos Copos De Maíz Azucarados Cereal Granix 500 Grs, marca Alimentos Granix, almacén.",,true,false,tiendanube,Alimentos Granix,5882.46,7790045000624
6125,Galletitas Granix De Salvado Sin Sal Tripack 690gr,4209.41,56,3,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Galletitas Granix De Salvado Sin Sal Tripack 690gr|Granix|Granix Galletitas De Salvado Sin Sal Tripack 690gr|6125|690gr|sin sal|bajo en sodio,0.215,0.215,"Galletitas Granix De Salvado Sin Sal Tripack 690gr, almacén, almacén.",,true,false,tiendanube,Granix,7015.69,7790045826101
6124,Bocaditos Granix Cereal Relleno Chocolate Blanco 180g,3101.54,0,1,unidad,unidad,Alimentos y Bebidas,Almacén,Cereales y Barras,,Bocaditos Granix Cereal Relleno Chocolate Blanco 180g|Granix|Granix Bocaditos Cereal Relleno Chocolate Blanco 180g|6124|180g,0.215,0.215,"Bocaditos Granix Cereal Relleno Chocolate Blanco 180g, almacén, almacén, presentación individual.",,true,false,tiendanube,Granix,5169.23,7790045825470
6129,Galletitas Granix Salvado Tripack X 720grs,4754.38,111,3,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Galletitas Granix Salvado Tripack X 720grs|Granix|Granix Galletitas Salvado Tripack X 720grs|6129|720grs,0.215,0.215,"Galletitas Granix Salvado Tripack X 720grs, almacén, almacén, presentación individual.",,true,false,tiendanube,Granix,7923.96,7790045826231
6128,Granix Copos De Maíz Sin Azúcar Bolsa 3 Kg,15542.80,46,1,unidad,unidad,Alimentos y Bebidas,Almacén,Cereales y Barras,,Granix Copos De Maíz Sin Azúcar Bolsa 3 Kg|Granix|6128|3 Kg,0.215,0.215,"Granix Copos De Maíz Sin Azúcar Bolsa 3 Kg, almacén.",,true,false,tiendanube,Granix,25904.67,7790045001232
6126,Galletitas Granix Sándwich Tripack X 600grs,3640.16,0,3,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Galletitas Granix Sándwich Tripack X 600grs|Granix|Granix Galletitas Sándwich Tripack X 600grs|6126|600grs,0.215,0.215,"Galletitas Granix Sándwich Tripack X 600grs, almacén, almacén, presentación individual.",,true,false,tiendanube,Granix,6066.94,7790045001379
6123,Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g,4031.85,525,1,unidad,unidad,Alimentos y Bebidas,Almacén,Cereales y Barras,,Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g|Granix|6123|350g,0.215,0.215,"Granix Aritos Cereal Frutal Bajo En Sodio Bolsa 350g, almacén.",,true,false,tiendanube,Granix,6719.75,7790045826972
6120,Aceite De Oliva Virgen Laur Cruz De Piedra Organico 500ml,15462.90,90,1,unidad,unidad,Alimentos y Bebidas,Almacén,Aceites y Vinagres,,Aceite De Oliva Virgen Laur Cruz De Piedra Organico 500ml|Laur|Laur Aceite De Oliva Virgen Cruz De Piedra Organico 500ml|6120|500ml|organico,0.259,0.259,"Aceite De Oliva Virgen Laur Cruz De Piedra Organico 500ml, almacén.",,true,false,tiendanube,Laur,25771.50,7798159942489
6068,Pasta Dental Sudanta Ultra Blanqueadora - 200g Srisri Tattva,7898.81,0,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Cuidado Bucal,,Pasta Dental Sudanta Ultra Blanqueadora - 200g Srisri Tattva|Sri Sri Tattva|Sri Sri Tattva Pasta Dental Sudanta Ultra Blanqueadora - 200g Srisri Tattva|6068|200g,0.800,0.800,"Pasta Dental Sudanta Ultra Blanqueadora - 200g Srisri Tattva, marca Sri Sri Tattva, higiene personal.",,true,false,tiendanube,Sri Sri Tattva,13164.69,8904150196250
6067,Pasta Dental Con Pimienta Extra Fresh Sudanta 200 Gr,8952.01,119,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Cuidado Bucal,,Pasta Dental Con Pimienta Extra Fresh Sudanta 200 Gr|Sri Sri Tattva|Sri Sri Tattva Pasta Dental Con Pimienta Extra Fresh Sudanta 200 Gr|6067|200 Gr,0.800,0.800,"Pasta Dental Con Pimienta Extra Fresh Sudanta 200 Gr, marca Sri Sri Tattva, higiene personal.",,true,false,tiendanube,Sri Sri Tattva,14920.01,8904150196229
6066,Pasta Dental Ayurvédica En Gel Sudanta Encías Sanas 200 Gr,8952.01,91,1,unidad,unidad,Belleza y Cuidado Personal,Higiene Personal,Cuidado Bucal,,Pasta Dental Ayurvédica En Gel Sudanta Encías Sanas 200 Gr|Sri Sri Tattva|Sri Sri Tattva Pasta Dental Ayurvédica En Gel Sudanta Encías Sanas 200 Gr|6066|200 Gr,0.800,0.800,"Pasta Dental Ayurvédica En Gel Sudanta Encías Sanas 200 Gr, marca Sri Sri Tattva, higiene personal.",,true,false,tiendanube,Sri Sri Tattva,14920.01,8904150196199
6065,Stevia Hileret Endulzante En Polvo 400 Sobres,9741.73,4231,1,unidad,unidad,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,,Stevia Hileret Endulzante En Polvo 400 Sobres|Hileret|Hileret Stevia Endulzante En Polvo 400 Sobres|6065|sin tacc|sin gluten|sin t.a.c.c.,0.239,0.239,"Stevia Hileret Endulzante En Polvo 400 Sobres, almacén, almacén, presentación individual.",,true,false,tiendanube,Hileret,16236.21,7794940000789
6055,Ghee Manteca Clarificada Cows Pure Sri Sri 150 G Sin Tacc,6837.83,3,1,unidad,unidad,Alimentos y Bebidas,Frescos,Lácteos,,Ghee Manteca Clarificada Cows Pure Sri Sri 150 G Sin Tacc|Sri Sri Tattva|Sri Sri Tattva Ghee Manteca Clarificada Cows Pure Sri Sri 150 G Sin Tacc|6055|150 G|sin tacc|sin gluten|sin t.a.c.c.,0.800,0.800,"Ghee Manteca Clarificada Cows Pure Sri Sri 150 G Sin Tacc, marca Sri Sri Tattva, frescos.",,true,false,tiendanube,Sri Sri Tattva,11396.38,8904150128107
6063,Frutigran Avena Y Frutos Rojos Galletitas Granix 250 Grs,2347.25,227,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Avena Y Frutos Rojos Galletitas Granix 250 Grs|Frutigran|6063|250 Grs,0.220,0.220,"Frutigran Avena Y Frutos Rojos Galletitas Granix 250 Grs, almacén.",,true,false,tiendanube,Frutigran,3912.09,7790045825791
6062,Frutigran Galletitas Granix Avena Sabor Tropical 255g,2362.16,309,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Galletitas Granix Avena Sabor Tropical 255g|Frutigran|6062|255g,0.220,0.220,"Frutigran Galletitas Granix Avena Sabor Tropical 255g, almacén, almacén, presentación individual.",,true,false,tiendanube,Frutigran,3936.93,
6060,Frutigran Chips Chocolate Con Omega 9 Galletitas Granix 255g,2381.62,911,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Chips Chocolate Con Omega 9 Galletitas Granix 255g|Frutigran|6060|9 G,0.220,0.220,"Frutigran Chips Chocolate Con Omega 9 Galletitas Granix 255g, almacén.",,true,false,tiendanube,Frutigran,3969.36,
6162,Vinagre De Sidra De Manzana 450mg Sundance X 60 Capsulas,15760.98,26,1,unidad,unidad,Suplementos,Nutricionales,Suplementos Alimenticios,,Vinagre De Sidra De Manzana 450mg Sundance X 60 Capsulas|Sundance|Sundance Vinagre De Sidra De Manzana 450mg X 60 Capsulas|6162|60 Capsulas|vegano|vegana|plant based,0.264,0.264,"Vinagre De Sidra De Manzana 450mg Sundance X 60 Capsulas, nutricionales.",,true,false,tiendanube,Sundance,26268.30,840093105769
6058,Frutigran Salvado Galletitas Granix X 250gr,1822.75,725,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Salvado Galletitas Granix X 250gr|Frutigran|6058|250gr,0.220,0.220,"Frutigran Salvado Galletitas Granix X 250gr, almacén, almacén, presentación individual.",,true,false,tiendanube,Frutigran,3037.91,7790045001195
6054,Skin Hair And Nails Pelo Piel Uñas Natural Life X60 Caps,17172.51,68,1,unidad,unidad,Suplementos,Nutricionales,Vitaminas y Minerales,,Skin Hair And Nails Pelo Piel Uñas Natural Life X60 Caps|Natural Life|Natural Life Skin Hair And Nails Pelo Piel Uñas X60 Caps|6054,0.259,0.259,"Skin Hair And Nails Pelo Piel Uñas Natural Life X60 Caps, nutricionales.",,true,false,tiendanube,Natural Life,28620.85,7798026680704
6053,Frutigran Avena Sesamo Amaranto Girasol Granix 260gr.,1925.05,888,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Avena Sesamo Amaranto Girasol Granix 260gr.|Frutigran|6053|260gr,0.220,0.220,"Frutigran Avena Sesamo Amaranto Girasol Granix 260gr, almacén, almacén, presentación individual.",,true,false,tiendanube,Frutigran,3208.41,7790045825401
6052,Frutigran Avena Y Pasas Galletitas Granix 250g,1925.03,704,1,unidad,unidad,Alimentos y Bebidas,Almacén,Galletitas,,Frutigran Avena Y Pasas Galletitas Granix 250g|Frutigran|6052|250g,0.220,0.220,"Frutigran Avena Y Pasas Galletitas Granix 250g, almacén, almacén, presentación individual.",,true,false,tiendanube,Frutigran,3208.38,7790045001188
6220,Azucar Light Hileret Bolsa X 500 Grs,1942.79,1223,1,unidad,unidad,Alimentos y Bebidas,Almacén,Azúcar y Endulzantes,,Azucar Light Hileret Bolsa X 500 Grs|Hileret|Hileret Azucar Light Bolsa X 500 Grs|6220|500 Grs,0.239,0.239,"Azucar Light Hileret Bolsa X 500 Grs, almacén, endulzante, presentación individual.",,true,false,tiendanube,Hileret,3237.99,7794940000536
