product_code,precio_unidad,is_mock
9,9004.21,true
7,9560.2,true
11,9560.2,true
211,16675.95,true
1334,16675.95,true
195,13663.14,true
1095,13663.14,true
1098,10681.69,true
104,14865.42,true
1096,13399.88,true
1097,10501.11,true
1099,12742.2,true
17,18577.73,true
170,9078.34,true
257,15334.92,true
142,14714.3,true
171,9628.64,true
1101,9628.64,true
1100,9628.64,true
208,19875.99,true
184,2820.82,true
197,0.01,true
180,1062.57,true
67,9670.45,true
312,287253.84,true
378,10749.18,true
1274,1607.15,true
363,2532.85,true
662,946.61,true
671,1892.27,true
1244,0.01,true
338,1607.15,true
339,1607.15,true
678,0.01,true
1084,0.01,true
269,7393.27,true
176,1715.5,true
122,2966.24,true
1684,0.01,true
177,0.01,true
12,0.01,true
212,1439.88,true
105,1439.88,true
72,1439.88,true
230,1439.88,true
359,1439.88,true
253,2397.89,true
254,2397.89,true
81,652.94,true
313,652.94,true
62,652.94,true
102,652.94,true
82,652.94,true
737,823.05,true
736,823.05,true
133,497.06,true
131,497.06,true
132,497.06,true
134,497.06,true
136,497.06,true
425,812.6,true
143,812.6,true
141,812.6,true
694,812.6,true
318,812.6,true
139,812.6,true
138,812.6,true
1077,812.6,true
1262,701.41,true
148,1673.68,true
149,1673.68,true
144,1673.68,true
145,1673.68,true
205,2642.15,true
214,2642.15,true
216,2026.28,true
311,2026.28,true
225,2491.04,true
31,2277.2,true
B1,5399.3,true
B2,5399.3,true
B3,0.01,true
B4,4985.87,true
B5,4569.58,true
B6,3082.2,true
B7,4226.49,true
B8,3392.97,true
B9,3392.97,true
B10,2565.17,true
B11,2988.1,true
B12,2565.17,true
B13,0.01,true
B14,2112.77,true
B15,2112.77,true
B16,1933.14,true
B17,1933.14,true
B18,1933.14,true
B19,2198.31,true
B20,2198.31,true
B21,2198.31,true
B22,1485.5,true
B23,2682.06,true
B24,1168.06,true
V1,1445.57,true
V2,0.01,true
V3,1445.57,true
V4,1445.57,true
V5,1445.57,true
V6,3078.39,true
V7,1135.74,true
V8,0.01,true
T1,1509.26,true
T2,1957.85,true
T3,3110.7,true
T4,1560.57,true
T5,379.21,true
T6,346.9,true
T7,466.66,true
T8,693.81,true
T9,396.32,true
C1,313.95,true
C2,313.95,true
C3,313.95,true
C4,313.95,true
C5,313.95,true
C6,313.95,true
C7,627.9,true
C8,627.9,true
C9,627.9,true
C10,837.2,true
Z1,934.85,true
Z2,934.85,true
Z3,1448.76,true
Z4,1448.76,true
Z5,1448.76,true
Z6,1448.76,true
Z7,1448.76,true
Z8,1977.88,true
Z9,1977.88,true
Z10,933.16,true
Z11,933.16,true
Z12,2676.06,true
Z13,2676.06,true
Z14,2491.96,true
Z15,2491.96,true
Z16,2491.96,true
Z17,2491.96,true
Z18,2776.1,true
X1,1224.75,true
X2,1224.75,true
X3,1224.75,true
X4,1224.75,true
X5,1224.75,true
X6,1224.75,true
X7,1224.75,true
X8,1224.75,true
X9,1224.75,true
Y1,1853.31,true
Y2,5132.23,true
Y3,1796.28,true
Y4,603.04,true
Y5,705.69,true
Y6,384.92,true
Y7,708.4,true
Y8,708.4,true
Y9,708.4,true
Y10,814.66,true
Y11,1062.6,true
Y12,1270.29,true
Y13,1545.6,true
Y14,1141.49,true
Y15,1067.43,true
Y16,1067.43,true
Y17,1067.43,true
Y18,1067.43,true
Y19,1067.43,true
Y20,659.29,true
Y21,313.95,true
Y22,492.66,true
Y23,278.53,true
Y24,286.58,true
Y25,252.77,true
Y26,384.79,true
Y27,252.77,true
Y28,199.64,true
Y29,745.43,true
Y30,1150.0,true
