product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
110,Aceite de Oliva Extra Virgen 250cc GULLO,7560.00,402,1,unidad,unidad,Aceites,Aceites comestibles,GULLO,250 cc,Aceite de Oliva Extra Virgen 250cc GULLO|110|GULLO|GULLO Aceite|Aceite de Oliva|Aceite de Oliva Extra Virgen GULLO,0.8,1.0,"Aceite de Oliva Extra Virgen, marca GULLO, 250 cc, rubro aceites.",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,true,Lista 1 PDF
10,Aceite de Oliva Extra Virgen 500cc GULLO,11750.76,410,1,unidad,unidad,Aceites,Aceites comestibles,GULLO,500 cc,Aceite de Oliva Extra Virgen 500cc GULLO|10|GULLO|GULLO Aceite|Aceite de Oliva|Aceite de Oliva Extra Virgen GULLO,0.82,1.0,"Aceite de Oliva Extra Virgen, marca GULLO, 500 cc, rubro aceites.",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,true,Lista 1 PDF
705,Aceite de Oliva Extra Virgen CORMILLOT 500cc,14549.75,475,1,unidad,unidad,Aceites,Aceites comestibles,CORMILLOT,500 cc,Aceite de Oliva Extra Virgen CORMILLOT 500cc|705|CORMILLOT|CORMILLOT Aceite|Aceite de Oliva|Aceite de Oliva Extra Virgen CORMILLOT,0.94,1.0,"Aceite de Oliva Extra Virgen, marca CORMILLOT, 500 cc, rubro aceites.",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,true,Lista 1 PDF
10271,"Aceite Girasol 4,5 Lts LEIRA",9613.80,247,1,unidad,unidad,Aceites,Aceites comestibles,LEIRA,4.5 lts,"Aceite Girasol 4,5 Lts LEIRA|10271|LEIRA|LEIRA Aceite|Aceite Girasol 4,5|Aceite Girasol LEIRA",0.45,0.2,"Aceite Girasol 4,5 Lts, marca LEIRA, 4.5 lts, rubro aceites.",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,true,Lista 1 PDF
271,Aceite Girasol 900 LEIRA,2280.60,184,1,unidad,unidad,Aceites,Aceites comestibles,LEIRA,LEIRA,Aceite Girasol 900 LEIRA|271|LEIRA|LEIRA Aceite|Aceite Girasol 900,0.39,0.2,"Aceite Girasol 900, marca LEIRA, rubro aceites, presentación aceites comestibles.",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,true,Lista 1 PDF
108,Aceituna Garrafa T1 7000g GULLO,27500.76,409,1,unidad,unidad,Conservas,Aceitunas,GULLO,7000 g,Aceituna Garrafa T1 7000g GULLO|108|GULLO|GULLO Aceituna|Aceituna Garrafa T1|Aceituna Garrafa T1 GULLO,0.81,1.0,"Aceitunas Aceituna Garrafa T1 7000g, marca GULLO, 7000 g, rubro conservas.",https://images.unsplash.com/photo-1609501676725-7186f017a4b7?w=400,true,true,Lista 1 PDF
649,Aceituna Negra Cond VANOLI frasco 330 G,3330.43,469,1,unidad,unidad,Conservas,Aceitunas,VANOLI,330 g,Aceituna Negra Cond VANOLI frasco 330 G|649|VANOLI|VANOLI Aceituna|Aceituna Negra Cond|Aceituna Negra Cond VANOLI frasco,0.91,1.0,"Aceitunas Aceituna Negra Cond frasco 330, marca VANOLI, 330 g, rubro conservas.",https://images.unsplash.com/photo-1609501676725-7186f017a4b7?w=400,true,true,Lista 1 PDF
650,Aceituna Negra VANOLI 150 G,1102.64,357,1,unidad,unidad,Conservas,Aceitunas,VANOLI,150 g,Aceituna Negra VANOLI 150 G|650|VANOLI|VANOLI Aceituna|Aceituna Negra 150|Aceituna Negra VANOLI,0.75,1.0,"Aceitunas Aceituna Negra 150 G, marca VANOLI, 150 g, rubro conservas.",https://images.unsplash.com/photo-1609501676725-7186f017a4b7?w=400,true,true,Lista 1 PDF
10650,Aceituna Negra VANOLI Doy Pack 180/300 G,2098.20,397,1,unidad,unidad,Conservas,Aceitunas,VANOLI,300 g,Aceituna Negra VANOLI Doy Pack 180/300 G|10650|VANOLI|VANOLI Aceituna|Aceituna Negra Doy|Aceituna Negra VANOLI Doy Pack 180/,0.79,1.0,"Aceitunas Aceituna Negra Doy Pack 180/300, marca VANOLI, 300 g, rubro conservas.",https://images.unsplash.com/photo-1609501676725-7186f017a4b7?w=400,true,true,Lista 1 PDF
11650,Aceituna Negra VANOLI Frasco 330 G,4074.27,485,1,unidad,unidad,Conservas,Aceitunas,VANOLI,330 g,Aceituna Negra VANOLI Frasco 330 G|11650|VANOLI|VANOLI Aceituna|Aceituna Negra Frasco|Aceituna Negra VANOLI Frasco,0.94,1.0,"Aceitunas Aceituna Negra Frasco 330 G, marca VANOLI, 330 g, rubro conservas.",https://images.unsplash.com/photo-1609501676725-7186f017a4b7?w=400,true,true,Lista 1 PDF
