pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Almacén Don Julio,2026-03-01 08:00:00,confirmado,18094.20,Pedido historico mock - Almacén Don Julio,true,false,2
P-00002,25001,5493587905250,Almacén Don Julio,2026-03-18 09:19:07,entregado,172374.60,Pedido historico mock - Almacén Don Julio,true,false,2
P-00003,25001,5493587905250,Almacén Don Julio,2026-04-04 10:38:14,facturado,79911.20,Pedido historico mock - Almacén Don Julio,true,false,2
P-00004,25002,5493582641213,Despensa La Costanera,2026-03-08 11:11:23,entregado,23421.57,Pedido historico mock - Despensa La Costanera,true,false,3
P-00005,25002,5493582641213,Despensa La Costanera,2026-03-25 12:30:30,facturado,89759.37,Pedido historico mock - Despensa La Costanera,true,false,3
P-00006,25002,5493582641213,Despensa La Costanera,2026-04-11 13:49:37,confirmado,9679.83,Pedido historico mock - Despensa La Costanera,true,false,3
P-00007,25003,5492991227644,Fiambrería El Paraná,2026-03-15 14:22:46,facturado,154595.38,Pedido historico mock - Fiambrería El Paraná,true,false,4
P-00008,25003,5492991227644,Fiambrería El Paraná,2026-04-01 15:41:53,confirmado,78975.05,Pedido historico mock - Fiambrería El Paraná,true,false,4
P-00009,25003,5492991227644,Fiambrería El Paraná,2026-04-18 16:00:00,entregado,6152.54,Pedido historico mock - Fiambrería El Paraná,true,false,4
P-00010,25004,5493418277249,Minimarket Concordia Sur,2026-03-22 17:33:09,confirmado,7590.42,Pedido historico mock - Minimarket Concordia Sur,true,false,1
P-00011,25004,5493418277249,Minimarket Concordia Sur,2026-04-08 08:52:16,entregado,55712.88,Pedido historico mock - Minimarket Concordia Sur,true,false,1
P-00012,25004,5493418277249,Minimarket Concordia Sur,2026-04-25 09:11:23,facturado,9464.32,Pedido historico mock - Minimarket Concordia Sur,true,false,1
P-00013,25005,5493587747641,Autoservicio Salto Grande,2026-03-29 10:44:32,entregado,36920.00,Pedido historico mock - Autoservicio Salto Grande,true,false,2
P-00014,25005,5493587747641,Autoservicio Salto Grande,2026-04-15 11:03:39,facturado,12840.64,Pedido historico mock - Autoservicio Salto Grande,true,false,2
P-00015,25005,5493587747641,Autoservicio Salto Grande,2026-05-02 12:22:46,confirmado,43386.26,Pedido historico mock - Autoservicio Salto Grande,true,false,2
P-00016,25006,5492614053074,Proveeduría Villa Adela,2026-04-05 13:55:55,facturado,11443.95,Pedido historico mock - Proveeduría Villa Adela,true,false,3
P-00017,25006,5492614053074,Proveeduría Villa Adela,2026-04-22 14:14:02,confirmado,42489.17,Pedido historico mock - Proveeduría Villa Adela,true,false,3
P-00018,25006,5492614053074,Proveeduría Villa Adela,2026-05-09 15:33:09,entregado,48791.76,Pedido historico mock - Proveeduría Villa Adela,true,false,3
P-00019,25007,5493514079279,Almacén Los Naranjos,2026-04-12 16:06:18,confirmado,59688.82,Pedido historico mock - Almacén Los Naranjos,true,false,4
P-00020,25007,5493514079279,Almacén Los Naranjos,2026-04-29 17:25:25,entregado,2687.38,Pedido historico mock - Almacén Los Naranjos,true,false,4
P-00021,25007,5493514079279,Almacén Los Naranjos,2026-05-16 08:44:32,facturado,24011.33,Pedido historico mock - Almacén Los Naranjos,true,false,4
P-00022,25008,5493876914178,Rotisería Uruguay,2026-04-19 09:17:41,entregado,84400.00,Pedido historico mock - Rotisería Uruguay,true,false,1
P-00023,25008,5493876914178,Rotisería Uruguay,2026-05-06 10:36:48,facturado,19063.99,Pedido historico mock - Rotisería Uruguay,true,false,1
P-00024,25008,5493876914178,Rotisería Uruguay,2026-05-23 11:55:55,confirmado,43404.22,Pedido historico mock - Rotisería Uruguay,true,false,1
P-00025,25009,5492617175545,Despensa San Martín,2026-04-26 12:28:04,facturado,8780.90,Pedido historico mock - Despensa San Martín,true,false,2
P-00026,25009,5492617175545,Despensa San Martín,2026-05-13 13:47:11,confirmado,73152.94,Pedido historico mock - Despensa San Martín,true,false,2
P-00027,25009,5492617175545,Despensa San Martín,2026-05-30 14:06:18,entregado,20282.40,Pedido historico mock - Despensa San Martín,true,false,2
P-00028,25010,5493818437953,Fiambrería Cremigal Express,2026-05-03 15:39:27,confirmado,86521.93,Pedido historico mock - Fiambrería Cremigal Express,true,false,3
P-00029,25010,5493818437953,Fiambrería Cremigal Express,2026-05-20 16:58:34,entregado,233722.38,Pedido historico mock - Fiambrería Cremigal Express,true,false,3
P-00030,25010,5493818437953,Fiambrería Cremigal Express,2026-03-06 17:17:41,facturado,75426.00,Pedido historico mock - Fiambrería Cremigal Express,true,false,3
P-00031,25011,5493582132179,Minimarket Laguna del Junco,2026-05-10 08:50:50,entregado,8157.93,Pedido historico mock - Minimarket Laguna del Junco,true,false,4
P-00032,25011,5493582132179,Minimarket Laguna del Junco,2026-05-27 09:09:57,facturado,37261.36,Pedido historico mock - Minimarket Laguna del Junco,true,false,4
P-00033,25011,5493582132179,Minimarket Laguna del Junco,2026-03-13 10:28:04,confirmado,61370.80,Pedido historico mock - Minimarket Laguna del Junco,true,false,4
P-00034,25012,5493872845902,Almacén El Puente,2026-05-17 11:01:13,facturado,8158.80,Pedido historico mock - Almacén El Puente,true,false,1
P-00035,25012,5493872845902,Almacén El Puente,2026-03-03 12:20:20,confirmado,50530.65,Pedido historico mock - Almacén El Puente,true,false,1
P-00036,25012,5493872845902,Almacén El Puente,2026-03-20 13:39:27,entregado,1765.21,Pedido historico mock - Almacén El Puente,true,false,1
P-00037,25013,5492997670210,Autoservicio Belgrano,2026-05-24 14:12:36,confirmado,102528.16,Pedido historico mock - Autoservicio Belgrano,true,false,2
P-00038,25013,5492997670210,Autoservicio Belgrano,2026-03-10 15:31:43,entregado,10725.19,Pedido historico mock - Autoservicio Belgrano,true,false,2
P-00039,25013,5492997670210,Autoservicio Belgrano,2026-03-27 16:50:50,facturado,10771.24,Pedido historico mock - Autoservicio Belgrano,true,false,2
P-00040,25014,5493811657614,Proveeduría Zorraquín,2026-05-31 17:23:59,entregado,12231.52,Pedido historico mock - Proveeduría Zorraquín,true,false,3
P-00041,25014,5493811657614,Proveeduría Zorraquín,2026-03-17 08:42:06,facturado,84524.06,Pedido historico mock - Proveeduría Zorraquín,true,false,3
P-00042,25014,5493811657614,Proveeduría Zorraquín,2026-04-03 09:01:13,confirmado,207396.76,Pedido historico mock - Proveeduría Zorraquín,true,false,3
P-00043,25015,5492994145193,Despensa Centro Este,2026-03-07 10:34:22,facturado,64125.52,Pedido historico mock - Despensa Centro Este,true,false,4
P-00044,25015,5492994145193,Despensa Centro Este,2026-03-24 11:53:29,confirmado,103704.80,Pedido historico mock - Despensa Centro Este,true,false,4
P-00045,25015,5492994145193,Despensa Centro Este,2026-04-10 12:12:36,entregado,4021.06,Pedido historico mock - Despensa Centro Este,true,false,4
P-00046,25016,5493515971311,Fiambrería Paladini Point,2026-03-14 13:45:45,confirmado,10560.24,Pedido historico mock - Fiambrería Paladini Point,true,false,1
P-00047,25016,5493515971311,Fiambrería Paladini Point,2026-03-31 14:04:52,entregado,11310.00,Pedido historico mock - Fiambrería Paladini Point,true,false,1
P-00048,25016,5493515971311,Fiambrería Paladini Point,2026-04-17 15:23:59,facturado,32985.13,Pedido historico mock - Fiambrería Paladini Point,true,false,1
P-00049,25017,5492994228106,Almacén Doña Rosa,2026-03-21 16:56:08,entregado,26139.66,Pedido historico mock - Almacén Doña Rosa,true,false,2
P-00050,25017,5492994228106,Almacén Doña Rosa,2026-04-07 17:15:15,facturado,31708.61,Pedido historico mock - Almacén Doña Rosa,true,false,2
P-00051,25017,5492994228106,Almacén Doña Rosa,2026-04-24 08:34:22,confirmado,7802.08,Pedido historico mock - Almacén Doña Rosa,true,false,2
P-00052,25018,5492998718887,Minimarket Río Uruguay,2026-03-28 09:07:31,facturado,52481.52,Pedido historico mock - Minimarket Río Uruguay,true,false,3
P-00053,25018,5492998718887,Minimarket Río Uruguay,2026-04-14 10:26:38,confirmado,75126.91,Pedido historico mock - Minimarket Río Uruguay,true,false,3
P-00054,25018,5492998718887,Minimarket Río Uruguay,2026-05-01 11:45:45,entregado,4631.56,Pedido historico mock - Minimarket Río Uruguay,true,false,3
P-00055,25019,5492995028869,Rotisería Concordia,2026-04-04 12:18:54,confirmado,57798.42,Pedido historico mock - Rotisería Concordia,true,false,4
P-00056,25019,5492995028869,Rotisería Concordia,2026-04-21 13:37:01,entregado,41389.56,Pedido historico mock - Rotisería Concordia,true,false,4
P-00057,25019,5492995028869,Rotisería Concordia,2026-05-08 14:56:08,facturado,39496.08,Pedido historico mock - Rotisería Concordia,true,false,4
P-00058,25020,5493517304254,Autoservicio Av. San Martín,2026-04-11 15:29:17,entregado,113808.79,Pedido historico mock - Autoservicio Av. San Martín,true,false,1
