product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
PSQ-0001,ACIDO MURIATICO X5L,4862.62,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0001|ACIDO MURIATICO X5L|acido muriatico x5l|PSQ|PSQ acido|unidad|bidón 5 litros|bidon 5 litros,0.40,0.40,"Acido muriatico x5l, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0002,ACIDO SULFONICO 92% PULCHRUM X LT GRANEL,5472.52,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0002|ACIDO SULFONICO 92% PULCHRUM X LT GRANEL|acido sulfonico 92% pulchrum x lt granel|PSQ|PSQ acido|unidad,0.40,0.40,"Acido sulfonico 92% pulchrum x LT granel, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0003,ACONDICIONADOR P/PISOS X1L,1163.31,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0003|ACONDICIONADOR P/PISOS X1L|acondicionador p/pisos x1l|PSQ|PSQ acondicionador|unidad|litro|1 litro,0.40,0.40,"Acondicionador p/pisos x1l, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0004,ACONDICIONADOR P/PISOS X5L,3223.33,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0004|ACONDICIONADOR P/PISOS X5L|acondicionador p/pisos x5l|PSQ|PSQ acondicionador|unidad|bidón 5 litros|bidon 5 litros,0.40,0.40,"Acondicionador p/pisos x5l, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0005,AGITADOR CAFE BLANCO RETPLASTX 5000 (10),13063.69,50,10,paquete,unidad,Descartables,Gastronomía,Cubiertos y vasos,Delivery,PSQ-0005|AGITADOR CAFE BLANCO RETPLASTX 5000 (10)|agitador cafe blanco retplastx 5000 (10)|PSQ|PSQ agitador|paquete|caja|bulto,0.40,0.40,"Agitador cafe blanco retplastx 5000 (10), marca PSQ, gastronomía, paquete x10, lista B.",,true,true,LISTA B
PSQ-0006,AGITADOR DE CAFE MADERA IBERIA 11CM X 1500 U,9357.89,50,1500,paquete,unidad,Descartables,Gastronomía,Cubiertos y vasos,Delivery,PSQ-0006|AGITADOR DE CAFE MADERA IBERIA 11CM X 1500 U|agitador de cafe madera iberia 11cm x 1500 u|Iberia|Iberia agitador|paquete|caja|bulto,0.40,0.40,"Agitador de cafe madera iberia 11cm x 1500 u, marca Iberia, gastronomía, paquete x1500, lista B.",,true,true,LISTA B
PSQ-0007,AGITADOR MADERA IBERIA 15CM X 5000,36164.60,50,1,unidad,unidad,Descartables,Gastronomía,Cubiertos y vasos,Delivery,PSQ-0007|AGITADOR MADERA IBERIA 15CM X 5000|agitador madera iberia 15cm x 5000|Iberia|Iberia agitador|unidad,0.40,0.40,"Agitador madera iberia 15cm x 5000, marca Iberia, gastronomía, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0008,ALA EN POLVO 400GRS,1366.12,50,1,unidad,unidad,Limpieza,Marcas de góndola,Terceros,Supermercado,PSQ-0008|ALA EN POLVO 400GRS|ala en polvo 400grs|Ala|Ala ala|unidad,0.55,0.55,"Ala en polvo 400grs, marca Ala, marcas de góndola, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0009,ALA EN POLVO 800GRS,3626.20,50,1,unidad,unidad,Limpieza,Marcas de góndola,Terceros,Supermercado,PSQ-0009|ALA EN POLVO 800GRS|ala en polvo 800grs|Ala|Ala ala|unidad,0.55,0.55,"Ala en polvo 800grs, marca Ala, marcas de góndola, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0010,ALA EN POLVO X 3KG,9194.76,50,1,unidad,unidad,Limpieza,Marcas de góndola,Terceros,Supermercado,PSQ-0010|ALA EN POLVO X 3KG|ala en polvo x 3kg|Ala|Ala ala|unidad,0.55,0.55,"Ala en polvo x 3kg, marca Ala, marcas de góndola, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0011,ALCOHOL CETOESTEARILICO X KG,8031.86,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0011|ALCOHOL CETOESTEARILICO X KG|alcohol cetoestearilico x kg|PSQ|PSQ alcohol|unidad,0.40,0.40,"Alcohol cetoestearilico x kg, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0012,ALCOHOL EN GEL 1LT,2132.73,50,1,unidad,unidad,Limpieza,Líquidos,Bidón 1 L / 5 L,PSQ,PSQ-0012|ALCOHOL EN GEL 1LT|alcohol en gel 1lt|PSQ|PSQ alcohol|unidad|litro|1 litro,0.40,0.40,"Alcohol en gel 1lt, marca PSQ, líquidos, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0013,ALCOHOL EN GEL X5L,15656.16,50,1,unidad,unidad,Limpieza,Líquidos,Bidón 1 L / 5 L,PSQ,PSQ-0013|ALCOHOL EN GEL X5L|alcohol en gel x5l|PSQ|PSQ alcohol|unidad|bidón 5 litros|bidon 5 litros,0.40,0.40,"Alcohol en gel x5l, marca PSQ, líquidos, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0014,ALGUICIDA 1:60000 X1L,2423.55,50,1,unidad,unidad,Pileta,Tratamiento de agua,Cloro,PSQ,PSQ-0014|ALGUICIDA 1:60000 X1L|alguicida 1:60000 x1l|PSQ|PSQ alguicida|unidad|litro|1 litro,0.48,0.48,"Alguicida 1:60000 x1l, marca PSQ, tratamiento de agua, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0015,ALGUICIDA 1:60000 X5L,48386.73,50,1,unidad,unidad,Pileta,Tratamiento de agua,Cloro,PSQ,PSQ-0015|ALGUICIDA 1:60000 X5L|alguicida 1:60000 x5l|PSQ|PSQ alguicida|unidad|bidón 5 litros|bidon 5 litros,0.48,0.48,"Alguicida 1:60000 x5l, marca PSQ, tratamiento de agua, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0016,ANTI-HONGOS GATILLO 500ML PSQ,1751.98,260,1,unidad,unidad,Limpieza,Línea PSQ,Gatillo / listo para usar,PSQ,PSQ-0016|ANTI-HONGOS GATILLO 500ML PSQ|anti-hongos gatillo 500ml psq|PSQ|PSQ anti-hongos|unidad|gatillo|con gatillo,0.90,0.90,"Anti-hongos gatillo 500ml PSQ, marca PSQ, línea psq, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,12263.18,260,1,unidad,unidad,Limpieza,Línea PSQ,Gatillo / listo para usar,PSQ,PSQ-0017|ANTI-HONGOS X 5LTS PSQUIMICA|anti-hongos x 5lts psquimica|PSQ|PSQ anti-hongos|unidad|bidón 5 litros|bidon 5 litros,0.90,0.90,"Anti-hongos x 5lts PSQUIMICA, marca PSQ, línea psq, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0018,ARRANQUE 15 X 20,2904.17,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0018|ARRANQUE 15 X 20|arranque 15 x 20|PSQ|PSQ arranque|unidad,0.40,0.40,"Arranque 15 x 20, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0019,ARRANQUE 15 X 25,2915.50,50,1,unidad,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0019|ARRANQUE 15 X 25|arranque 15 x 25|PSQ|PSQ arranque|unidad,0.40,0.40,"Arranque 15 x 25, marca PSQ, general, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0020,ARRANQUE AD CHICA 600GR 20 X 30 X UNID. (12),3997.91,50,12,paquete,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0020|ARRANQUE AD CHICA 600GR 20 X 30 X UNID. (12)|arranque ad chica 600gr 20 x 30 x unid. (12)|PSQ|PSQ arranque|paquete|caja|bulto,0.40,0.40,"Arranque ad chica 600gr 20 x 30 x unid. (12), marca PSQ, general, paquete x12, lista B.",,true,true,LISTA B
PSQ-0021,ARRANQUE AD CHICA 600GR 25 X 35 X UNID. (12),4155.73,50,12,paquete,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0021|ARRANQUE AD CHICA 600GR 25 X 35 X UNID. (12)|arranque ad chica 600gr 25 x 35 x unid. (12)|PSQ|PSQ arranque|paquete|caja|bulto,0.40,0.40,"Arranque ad chica 600gr 25 x 35 x unid. (12), marca PSQ, general, paquete x12, lista B.",,true,true,LISTA B
PSQ-0022,ARRANQUE AD CHICA 600GR 30 X 40 X UNID. (12),3988.85,50,12,paquete,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0022|ARRANQUE AD CHICA 600GR 30 X 40 X UNID. (12)|arranque ad chica 600gr 30 x 40 x unid. (12)|PSQ|PSQ arranque|paquete|caja|bulto,0.40,0.40,"Arranque ad chica 600gr 30 x 40 x unid. (12), marca PSQ, general, paquete x12, lista B.",,true,true,LISTA B
PSQ-0023,ARRANQUE AD CHICA 600GR 35 X 45 X UNID. (12),2471.23,50,12,paquete,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0023|ARRANQUE AD CHICA 600GR 35 X 45 X UNID. (12)|arranque ad chica 600gr 35 x 45 x unid. (12)|PSQ|PSQ arranque|paquete|caja|bulto,0.40,0.40,"Arranque ad chica 600gr 35 x 45 x unid. (12), marca PSQ, general, paquete x12, lista B.",,true,true,LISTA B
PSQ-0024,ARRANQUE AD CHICA 600GR 40 X 50 X UNID. (12),4017.16,50,12,paquete,unidad,Limpieza,General,Catálogo,PSQ,PSQ-0024|ARRANQUE AD CHICA 600GR 40 X 50 X UNID. (12)|arranque ad chica 600gr 40 x 50 x unid. (12)|PSQ|PSQ arranque|paquete|caja|bulto,0.40,0.40,"Arranque ad chica 600gr 40 x 50 x unid. (12), marca PSQ, general, paquete x12, lista B.",,true,true,LISTA B
PSQ-0025,"ARRANQUE AD GRANDE 1,2KG 20 X 30 X UNID. (8)",4622.82,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0025|ARRANQUE AD GRANDE 1,2KG 20 X 30 X UNID. (8)|arranque ad grande 1,2kg 20 x 30 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 20 x 30 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
PSQ-0026,"ARRANQUE AD GRANDE 1,2KG 25 X 35 X UNID. (8)",8104.51,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0026|ARRANQUE AD GRANDE 1,2KG 25 X 35 X UNID. (8)|arranque ad grande 1,2kg 25 x 35 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 25 x 35 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
PSQ-0027,"ARRANQUE AD GRANDE 1,2KG 30 X 40 X UNID. (8)",7763.98,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0027|ARRANQUE AD GRANDE 1,2KG 30 X 40 X UNID. (8)|arranque ad grande 1,2kg 30 x 40 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 30 x 40 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
PSQ-0028,"ARRANQUE AD GRANDE 1,2KG 35 X 45 X UNID. (8)",4622.82,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0028|ARRANQUE AD GRANDE 1,2KG 35 X 45 X UNID. (8)|arranque ad grande 1,2kg 35 x 45 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 35 x 45 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
PSQ-0029,"ARRANQUE AD GRANDE 1,2KG 40 X 50 X UNID. (8)",7763.98,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0029|ARRANQUE AD GRANDE 1,2KG 40 X 50 X UNID. (8)|arranque ad grande 1,2kg 40 x 50 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 40 x 50 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
PSQ-0030,"ARRANQUE AD GRANDE 1,2KG 45 X 60 X UNID. (8)",4622.82,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0030|ARRANQUE AD GRANDE 1,2KG 45 X 60 X UNID. (8)|arranque ad grande 1,2kg 45 x 60 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 45 x 60 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
PSQ-0031,"ARRANQUE AD GRANDE 1,2KG 50 X 70 X UNID. (8)",8136.21,50,8,paquete,unidad,Limpieza,General,Catálogo,PSQ,"PSQ-0031|ARRANQUE AD GRANDE 1,2KG 50 X 70 X UNID. (8)|arranque ad grande 1,2kg 50 x 70 x unid. (8)|PSQ|PSQ arranque|paquete|caja|bulto",0.40,0.40,"Arranque ad grande 1,2kg 50 x 70 x unid. (8), marca PSQ, general, paquete x8, lista B.",,true,true,LISTA B
